dataset_discovery	config_discovery	sender	receiver	ligand	receptor	eligible_05_discovery	eligible_10_discovery	eligible_20_discovery	mean_control_score_discovery	mean_stroke_score_discovery	score_difference_discovery	welch_p_discovery	exact_permutation_p_discovery	ligand_mean_log2fc_discovery	receptor_mean_log2fc_discovery	ligand_min_padj_discovery	receptor_min_padj_discovery	ligand_any_changed_discovery	receptor_any_changed_discovery	candidate_changed_component_discovery	ligand_min_detection_stroke_discovery	receptor_min_detection_stroke_discovery	welch_fdr_discovery	welch_fdr_eligible_05_discovery	welch_fdr_eligible_10_discovery	welch_fdr_eligible_20_discovery	dataset_validation	config_validation	eligible_05_validation	eligible_10_validation	eligible_20_validation	mean_control_score_validation	mean_stroke_score_validation	score_difference_validation	welch_p_validation	exact_permutation_p_validation	ligand_mean_log2fc_validation	receptor_mean_log2fc_validation	ligand_min_padj_validation	receptor_min_padj_validation	ligand_any_changed_validation	receptor_any_changed_validation	candidate_changed_component_validation	ligand_min_detection_stroke_validation	receptor_min_detection_stroke_validation	welch_fdr_validation	welch_fdr_eligible_05_validation	welch_fdr_eligible_10_validation	welch_fdr_eligible_20_validation	same_direction	both_eligible10	discovery_selected
GSE174574	primary	Astrocyte	Endothelial	Actr2	Adrb2	True	True	False	0.2222808454062602	0.2116000436380457	-0.0106808017682144	0.4756772155246206	0.5	-0.0080978710483426	-0.1401586406711295	0.9919224669320288	0.4774066749358343	False	False	False	0.1923925937406393	0.1217026867006647		0.5552021989250217	0.5536821608357321		GSE245386	primary	True	True	False	0.2303643107798902	0.1851919196661173	-0.0451723911137728	0.2150359621110699	0.3	-0.1086113602365048	-0.5546861027685379	0.9146429121647394	0.1201844574395456	False	False	False	0.3938644475481067	0.1285432999207544		0.538501074608654	0.4884200968681315		True	True	False
GSE174574	primary	Astrocyte	Endothelial	Adam10	Cadm1	True	True	False	0.2659608363533421	0.2156121650214309	-0.0503486713319112	0.0112385103775009	0.1	-0.2013010038611297	-0.572325191328289	0.6561573338883235	8.454896674277671e-08	False	True	True	0.132754167794114	0.183217783170818		0.0327175166974353	0.0335468908769164		GSE245386	primary	True	True	True	0.5754362119492736	0.4980872694549779	-0.0773489424942957	0.0581021476053115	0.1	-0.009332526127039	-0.5139130197176822	0.9928142396808084	4.247033084525295e-05	False	True	True	0.4471601489757915	0.4875958250921965		0.393435693119414	0.366831355643704	0.3297557865549225	True	True	True
GSE174574	primary	Astrocyte	Endothelial	Adam10	Il6ra	True	True	False	0.1936924873959409	0.2111285065586875	0.0174360191627465	0.0403795995902913	0.1	-0.2013010038611297	0.3829628041074077	0.6561573338883235	0.0035925554585655	False	False	False	0.132754167794114	0.1767003479590115		0.0814070002435285	0.0812078613982525		GSE245386	primary	True	True	True	0.3859094087792125	0.4908633698556107	0.1049539610763982	0.0890564889417743	0.1	-0.009332526127039	0.9254459403012898	0.9928142396808084	6.2828511475938e-13	False	True	True	0.4471601489757915	0.4925997780376776		0.4226386231942292	0.3807552537866976	0.3443991350453551	True	True	False
GSE174574	primary	Astrocyte	Endothelial	Adam10	Notch1	True	True	False	0.2535616397348011	0.2556695313357121	0.0021078916009109	0.8537986800965754	0.9	-0.2013010038611297	0.1687349111392415	0.6561573338883235	0.1688312334974081	False	False	False	0.132754167794114	0.2557523233621729		0.891640172843238	0.8881469028590814		GSE245386	primary	True	True	True	0.5707025982901542	0.6535919699934417	0.0828893717032874	0.1132512425296441	0.1	-0.009332526127039	0.4884969130317023	0.9928142396808084	5.713859991756355e-05	False	False	False	0.4471601489757915	0.7185339472610801		0.4481514502817518	0.4101164697989528	0.3591088743259568	True	True	False
GSE174574	primary	Astrocyte	Endothelial	Adam10	Trem2	True	True	False	0.2260438055609269	0.1954088522329383	-0.0306349533279886	0.097252522969925	0.1	-0.2013010038611297	-0.292190656180135	0.6561573338883235	0.0594891051189569	False	False	False	0.132754167794114	0.1522425126833443		0.1560178772751563	0.1593005127380672		GSE245386	primary	True	True	True	0.4123757312294479	0.3163874747171537	-0.0959882565122941	0.0685177035707966	0.2	-0.009332526127039	-0.8442362035935397	0.9928142396808084	0.0001354500927983	False	True	True	0.4471601489757915	0.2576872422068169		0.3949760801414831	0.3687175411232123	0.3297557865549225	True	True	False
GSE174574	primary	Astrocyte	Endothelial	Adam10	Tspan12	True	True	False	0.2961780874105373	0.2547004138109422	-0.041477673599595	0.0341493022212384	0.1	-0.2013010038611297	-0.3425352654332562	0.6561573338883235	0.0012689643794707	False	False	False	0.132754167794114	0.2524326671597323		0.0727293215289515	0.0733480224576269		GSE245386	primary	True	True	True	0.4486696532430716	0.3910962854471848	-0.0575733677958868	0.0063040902418507	0.1	-0.009332526127039	-0.5064724534548399	0.9928142396808084	0.0004358783917997	False	True	True	0.4471601489757915	0.3704192269028041		0.2534812509631816	0.216457298800228	0.1866762532740963	True	True	False
GSE174574	primary	Astrocyte	Endothelial	Adam10	Tspan14	True	True	False	0.2072277694000922	0.2423301915603462	0.0351024221602539	0.0536962495304863	0.1	-0.2013010038611297	0.6584946498130942	0.6561573338883235	2.6201818830820244e-08	False	True	True	0.132754167794114	0.2324295202459904		0.0996091143398634	0.1007152452333473		GSE245386	primary	True	True	True	0.4093545226820992	0.4590154664603886	0.0496609437782893	0.018816932325651	0.1	-0.009332526127039	0.3887228087799134	0.9928142396808084	0.0267792178710496	False	False	False	0.4471601489757915	0.4696423587743722		0.2970308805889282	0.2736217697993153	0.2537250874878106	True	True	True
GSE174574	primary	Astrocyte	Endothelial	Adam10	Tspan17	True	True	False	0.2515928754221372	0.2146294608394344	-0.0369634145827028	0.034242585069997	0.1	-0.2013010038611297	-0.3933366084806579	0.6561573338883235	0.0007338350682499	False	False	False	0.132754167794114	0.1829096862964172		0.0727293215289515	0.0733480224576269		GSE245386	primary	True	True	True	0.3147701480314748	0.2760014327254068	-0.038768715306068	0.2940161094086495	0.1	-0.009332526127039	-0.4177990848912665	0.9928142396808084	0.0240824900745074	False	False	False	0.4471601489757915	0.2155149843235609		0.5954038293916273	0.5368676507584409	0.5185600579443692	True	True	False
GSE174574	primary	Astrocyte	Endothelial	Adam10	Tspan5	True	True	False	0.3743808223669551	0.3381886332792476	-0.0361921890877075	0.032315299921095	0.1	-0.2013010038611297	-0.204981551345971	0.6561573338883235	0.0224737294899229	False	False	False	0.132754167794114	0.4161098695312804		0.0698237863970428	0.0708978095238569		GSE245386	primary	True	True	True	0.8825091223727141	0.8935018810814361	0.010992758708722	0.8310671607194734	0.7	-0.009332526127039	0.1437517704559165	0.9928142396808084	0.4439261858545381	False	False	False	0.4471601489757915	0.875741118940256		0.9313835585169904	0.921346777880964	0.920805248829776	False	True	False
GSE174574	primary	Astrocyte	Endothelial	Adam15	Itga5	True	True	False	0.1176590993246872	0.2168432189368551	0.0991841196121679	0.0005274287162589	0.1	0.3896722491351834	1.5016052891856764	0.1524416428803239	2.091897734038406e-18	False	True	True	0.2140756728829377	0.1184583715053416		0.0054476883843732	0.0053035887579372		GSE245386	primary	True	True	False	0.147019097822422	0.2215025901701057	0.0744834923476837	0.331615392521294	0.1	0.9738054667440268	0.4006630596867772	0.0793474437951861	0.1148195076493986	False	False	False	0.2387492240844196	0.2666876603696447		0.6227448802846554	0.5640490123935252		True	True	True
GSE174574	primary	Astrocyte	Endothelial	Adam15	Itgb1	True	True	True	0.3814969522154746	0.4935494065186268	0.1120524543031522	0.0069872415876712	0.1	0.3896722491351834	0.5414646013920811	0.1524416428803239	9.040428588134037e-14	False	True	True	0.2140756728829377	0.4956281982747497		0.022575693556731	0.023483911113611	0.0212412144265207	GSE245386	primary	True	True	False	0.3871253689012687	0.5107417100890624	0.1236163411877936	0.288069766673439	0.1	0.9738054667440268	0.014211423009056	0.0793474437951861	0.964922086583359	False	False	False	0.2387492240844196	0.8029422841957786		0.5923180496463858	0.5345207022022723		True	True	True
GSE174574	primary	Astrocyte	Endothelial	Agrn	Dag1	True	True	False	0.2175026315958479	0.1655950609297558	-0.0519075706660921	0.0135206262189995	0.1	-0.8707004823257245	-0.0846435106174932	0.0001840851372087	0.6778352120828006	True	False	True	0.1181166943676313	0.1250494645127831		0.0366710509680779	0.0368005014381792		GSE245386	primary	True	True	False	0.2505900663353759	0.2571151092978231	0.0065250429624472	0.8329148377717605	0.9	-0.1767620534513632	0.0592527587287809	0.8880011108556186	0.8331714128606742	False	False	False	0.2047059279950341	0.4025163741549237		0.9313835585169904	0.9214742726681956		False	True	True
GSE174574	primary	Astrocyte	Endothelial	Agrn	Itgb1	True	True	False	0.4104004857407702	0.3586909178544744	-0.0517095678862958	0.1384724205499718	0.2	-0.8707004823257245	0.5414646013920811	0.0001840851372087	9.040428588134037e-14	True	True	True	0.1181166943676313	0.4956281982747497		0.2063403262740686	0.2088625676628741		GSE245386	primary	True	True	False	0.4711619660685724	0.4748465311790202	0.0036845651104477	0.9520891304439424	0.9	-0.1767620534513632	0.014211423009056	0.8880011108556186	0.964922086583359	False	False	False	0.2047059279950341	0.8029422841957786		0.9794337268796692	0.9698551561301972		False	True	True
