sender	receiver	ligand	receptor	sample	condition	score	ligand_logexpr	receptor_logexpr	dataset
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSM5319987	Sham	0.023254660045458	0.0091178935955286	0.0593096649093407	GSE174574
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSM5319988	Sham	0.0301357902552117	0.0144811278710439	0.062713751469736	GSE174574
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSM5319989	Sham	0.0496770087386829	0.0405914183047703	0.0607962298507113	GSE174574
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSM5319990	MCAO	0.5946397002022504	2.2288112944326715	0.1586479635758611	GSE174574
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSM5319991	MCAO	0.5974246361706897	2.127203254394184	0.1677865973392039	GSE174574
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSM5319992	MCAO	0.5444775081827896	1.846494318354744	0.1605505925309787	GSE174574
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSM7841720	Sham	0.0466289806992126	0.0113847617445215	0.1909800037839029	GSE245386
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSM7841721	Sham	0.0306462386959043	0.0053978897203642	0.1739924294235081	GSE245386
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSM7841722	Sham	0.0351756845300014	0.0064362585386253	0.1922434866046352	GSE245386
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSM7841723	MCAO	0.4076335999408026	0.5573032795147487	0.298159292989233	GSE245386
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSM7841724	MCAO	0.1356840509697369	0.1016663006721646	0.1810842094759007	GSE245386
Astrocyte	Endothelial	Timp3	Kdr	GSM5319987	Sham	1.191654627893962	1.0960841384323363	1.2955581623616013	GSE174574
Astrocyte	Endothelial	Timp3	Kdr	GSM5319988	Sham	1.15200362481658	1.097707325512867	1.2089856018501932	GSE174574
Astrocyte	Endothelial	Timp3	Kdr	GSM5319989	Sham	1.1261588115427053	1.0284914229450692	1.2331008703832558	GSE174574
Astrocyte	Endothelial	Timp3	Kdr	GSM5319990	MCAO	0.8580462367702024	0.8074117758694621	0.9118560893450952	GSE174574
Astrocyte	Endothelial	Timp3	Kdr	GSM5319991	MCAO	0.8309502396590082	0.7740757973698853	0.8920034745117138	GSE174574
Astrocyte	Endothelial	Timp3	Kdr	GSM5319992	MCAO	0.8728124341598187	0.8661149517368019	0.8795617067877232	GSE174574
Astrocyte	Endothelial	Timp3	Kdr	GSM7841720	Sham	1.0952300227968843	0.9213266941112164	1.3019581550199444	GSE245386
Astrocyte	Endothelial	Timp3	Kdr	GSM7841721	Sham	1.2970741186128192	1.0990422311479802	1.5307885552476967	GSE245386
Astrocyte	Endothelial	Timp3	Kdr	GSM7841722	Sham	1.352130694665732	1.2512550593321052	1.4611388795767362	GSE245386
Astrocyte	Endothelial	Timp3	Kdr	GSM7841723	MCAO	0.768562257437892	0.6562886252241626	0.9000429397298673	GSE245386
Astrocyte	Endothelial	Timp3	Kdr	GSM7841724	MCAO	0.9149501733364528	0.9474668199030404	0.883549483847966	GSE245386
Endothelial	Astrocyte	Ptn	Ptprz1	GSM5319987	Sham	1.5541883000011578	1.730894046693485	1.3955223177726013	GSE174574
Endothelial	Astrocyte	Ptn	Ptprz1	GSM5319988	Sham	1.5243251232505104	1.7286784021448616	1.344129178966841	GSE174574
Endothelial	Astrocyte	Ptn	Ptprz1	GSM5319989	Sham	1.533128754829775	1.706380573335671	1.3774674979398749	GSE174574
Endothelial	Astrocyte	Ptn	Ptprz1	GSM5319990	MCAO	1.2038493277220614	1.048103413892498	1.3827387494851784	GSE174574
Endothelial	Astrocyte	Ptn	Ptprz1	GSM5319991	MCAO	1.138584653374879	0.9824565829003188	1.3195239723202354	GSE174574
Endothelial	Astrocyte	Ptn	Ptprz1	GSM5319992	MCAO	1.1557419863086205	0.937150208875371	1.4253206436559964	GSE174574
