dataset	panel	gene	effect	ci_low	ci_high	pvalue	padj	method	control
GSE174574	BBB_junction	Cldn5	-0.0669943224920863	-0.162516953131156	0.0285283081469834	0.169244240067213	0.3283706818484843	PyDESeq2 Wald	Sham
GSE174574	BBB_junction	Ocln	-0.3696398120955724	-0.4958477818696429	-0.2434318423215018	9.440987237895352e-09	1.2111862705083972e-07	PyDESeq2 Wald	Sham
GSE174574	BBB_junction	Tjp1	-0.762525423366849	-0.8992338644670281	-0.6258169822666699	8.069570170919833e-28	4.533667379277867e-26	PyDESeq2 Wald	Sham
GSE174574	BBB_junction	Tjp2	-0.3339162189932883	-0.5853691794129379	-0.0824632585736387	0.0092472286962022	0.0340428157779815	PyDESeq2 Wald	Sham
GSE174574	BBB_transport	Mfsd2a	-0.8411770399423331	-0.9937134696720028	-0.6886406102126634	3.133775724722252e-27	1.7019386733551088e-25	PyDESeq2 Wald	Sham
GSE174574	BBB_transport	Slc2a1	0.3373876229018374	0.2375507835778684	0.4372244622258063	3.505438388607124e-11	5.905395099270939e-10	PyDESeq2 Wald	Sham
GSE174574	BBB_transport	Slco1c1	-0.7330972371788624	-0.8392782212752495	-0.6269162530824753	1.0084947132403214e-41	9.201505763604691e-40	PyDESeq2 Wald	Sham
GSE174574	BBB_transport	Abcb1a	-0.9789618079776616	-1.3376189746082257	-0.6203046413470975	8.802295728439947e-08	9.900412503240394e-07	PyDESeq2 Wald	Sham
GSE174574	BBB_transport	Abcb1b	1.9757251512473373	1.1091984446409155	2.842251857853759	7.862283298723483e-06	6.337055902610695e-05	PyDESeq2 Wald	Sham
GSE174574	BBB_transport	Abcg2	-0.5275117863042994	-0.6310644540852337	-0.4239591185233651	1.7817135601022818e-23	7.697137557941865e-22	PyDESeq2 Wald	Sham
GSE174574	Endothelial_activation	Icam1	0.8867366801345269	0.4925073463087014	1.2809660139603525	1.0403555519389007e-05	8.211249183296306e-05	PyDESeq2 Wald	Sham
GSE174574	Endothelial_activation	Vcam1	-0.0023991486731781	-0.1662509183598707	0.1614526210135145	0.977104899924878	0.9878451718503	PyDESeq2 Wald	Sham
GSE174574	Endothelial_activation	Sele	2.984368138693433	1.6416234034581658	4.327112873928701	1.3229624488545484e-05	0.0001023635463309	PyDESeq2 Wald	Sham
GSE174574	Endothelial_activation	Selp	3.803234329996289	3.010143608843241	4.596325051149337	5.503157582671753e-21	1.986187095897827e-19	PyDESeq2 Wald	Sham
GSE174574	Endothelial_activation	Ccl2	2.971651421320165	2.672940807268303	3.270362035372027	1.1284331959043907e-84	3.386784368234099e-82	PyDESeq2 Wald	Sham
GSE174574	Endothelial_activation	Cxcl10	2.99627910028488	2.4155468916862795	3.5770113088834803	4.858237243481303e-24	2.2074978391196923e-22	PyDESeq2 Wald	Sham
GSE174574	Angiogenesis_associated	Apln	2.6540734765143283	2.163162306493962	3.1449846465346947	3.090465376005483e-26	1.6021253460610243e-24	PyDESeq2 Wald	Sham
GSE174574	Angiogenesis_associated	Esm1	0.0638696306552679	-0.8647403556545663	0.992479616965102	0.8927633219917275	0.9414670076112484	PyDESeq2 Wald	Sham
GSE174574	Angiogenesis_associated	Dll4	0.3131449853198714	0.0725493148478715	0.5537406557918713	0.0107408413111875	0.038546033717462	PyDESeq2 Wald	Sham
GSE174574	Angiogenesis_associated	Angpt2	2.610033333781866	2.335941911127288	2.8841247564364445	9.702453961234548e-78	2.3053434880808343e-75	PyDESeq2 Wald	Sham
GSE174574	Angiogenesis_associated	Pgf	1.943288306501494	1.1923004702373656	2.6942761427656228	3.941118716231544e-07	4.00253419043818e-06	PyDESeq2 Wald	Sham
GSE174574	Angiogenesis_associated	Flt1	-0.3392516435339548	-0.4393794950271676	-0.239123792040742	3.1189666640225166e-11	5.301313681546466e-10	PyDESeq2 Wald	Sham
GSE245386	BBB_junction	Cldn5	-0.4086527486419319	-0.6201273820606403	-0.1971781152232234	0.0001521729627554	0.0013308582592305	PyDESeq2 Wald	Sham
GSE245386	BBB_junction	Ocln	-0.0569096292578518	-0.2840147637932947	0.1701955052775911	0.6233197789636085	0.8182213365940526	PyDESeq2 Wald	Sham
GSE245386	BBB_junction	Tjp1	0.2433241821178075	0.0211534133336278	0.4654949509019872	0.0318238399778372	0.1210577283551437	PyDESeq2 Wald	Sham
GSE245386	BBB_junction	Tjp2	-0.1929156908227878	-0.4487995088602113	0.0629681272146357	0.139493079844277	0.3466833693237149	PyDESeq2 Wald	Sham
GSE245386	BBB_transport	Mfsd2a	-0.2362080103197903	-0.6067500666253911	0.1343340459858105	0.2115065206681684	0.4517769437965677	PyDESeq2 Wald	Sham
GSE245386	BBB_transport	Slc2a1	1.6798224539288575	1.4471503401701742	1.912494567687541	1.8514802134933306e-45	4.029614436081555e-43	PyDESeq2 Wald	Sham
GSE245386	BBB_transport	Slco1c1	-0.7155930733092568	-0.9910633183919056	-0.440122828226608	3.5520329819341654e-07	5.326301425173918e-06	PyDESeq2 Wald	Sham
GSE245386	BBB_transport	Abcb1a	0.0757452522274907	-0.1328039793279358	0.2842944837829172	0.476543045102151	0.7147872265710595	PyDESeq2 Wald	Sham
GSE245386	BBB_transport	Abcb1b	1.0706255123946096	0.5175921353584204	1.6236588894307986	0.0001480050580085	0.0012966400567915	PyDESeq2 Wald	Sham
GSE245386	BBB_transport	Abcg2	0.0310436775663201	-0.1756842959334142	0.2377716510660544	0.7685081028512117	0.8982370387272279	PyDESeq2 Wald	Sham
GSE245386	Endothelial_activation	Icam1	0.5474759212086732	0.2654147218159475	0.8295371206013988	0.000142190715004	0.0012514590081376	PyDESeq2 Wald	Sham
GSE245386	Endothelial_activation	Vcam1	0.358461030844957	0.12658830468096	0.590333757008954	0.0024452140345498	0.0150699174014429	PyDESeq2 Wald	Sham
GSE245386	Endothelial_activation	Sele	1.6353763542760975	-0.1023446039725328	3.373097312524728	0.0651009767544191	0.2063698253960831	PyDESeq2 Wald	Sham
GSE245386	Endothelial_activation	Selp	-1.4894079921104406	-4.36465800972641	1.3858420255055288	0.3099631225824424	0.5642737925491466	PyDESeq2 Wald	Sham
GSE245386	Endothelial_activation	Ccl2	1.3808951462332295	-0.6193795434294433	3.3811698358959026	0.1760264317203471	0.4038799227800435	PyDESeq2 Wald	Sham
GSE245386	Endothelial_activation	Cxcl10	-0.4166417115869436	-1.259803500487303	0.4265200773134158	0.3327855057599239	0.587279877244578	PyDESeq2 Wald	Sham
GSE245386	Angiogenesis_associated	Apln	1.631468003670344	0.6828709769378858	2.5800650304028023	0.0007490826561728	0.0054240847275633	PyDESeq2 Wald	Sham
GSE245386	Angiogenesis_associated	Esm1	-3.0657274410898565	-3.7053206650716977	-2.426134217108016	5.7347608304466355e-21	3.625273080989813e-19	PyDESeq2 Wald	Sham
GSE245386	Angiogenesis_associated	Dll4	-0.3098114889355539	-0.5948241844758646	-0.0247987933952431	0.0331271815323517	0.1246154594186119	PyDESeq2 Wald	Sham
GSE245386	Angiogenesis_associated	Angpt2	2.71877902081524	2.301974916070635	3.1355831255598448	1.990691001998663e-37	3.2965410234184385e-35	PyDESeq2 Wald	Sham
GSE245386	Angiogenesis_associated	Pgf	2.562919762560653	1.703500998311846	3.4223385268094595	5.064972497200318e-09	1.0166647693655713e-07	PyDESeq2 Wald	Sham
GSE245386	Angiogenesis_associated	Flt1	-0.3688640781269207	-0.5990537924147673	-0.138674363839074	0.0016850269683619	0.0108752619834045	PyDESeq2 Wald	Sham
GSE163752	BBB_junction	Cldn5	-0.1615758317305164	-0.5108228882401336	0.1876712247791006	0.2877318336894161	0.68502098843505	paired t on log2 normalized+1	Contralateral
GSE163752	BBB_junction	Ocln	-0.5463840664736829	-1.2060032730250798	0.1132351400777139	0.0864811243449125	0.460343300096284	paired t on log2 normalized+1	Contralateral
GSE163752	BBB_junction	Tjp1	-0.8086553028082974	-1.476321361674922	-0.1409892439416727	0.0264487192250494	0.3055106329603306	paired t on log2 normalized+1	Contralateral
GSE163752	BBB_junction	Tjp2	-0.0167266613437263	-0.9661144769509116	0.9326611542634587	0.9656297421967488	0.9908243042868878	paired t on log2 normalized+1	Contralateral
GSE163752	BBB_transport	Mfsd2a	-0.8985611899777636	-1.7873613733569786	-0.0097610065985485	0.0483187969986218	0.3764654875308385	paired t on log2 normalized+1	Contralateral
GSE163752	BBB_transport	Slc2a1	-0.5440767653688887	-1.169261449113003	0.0811079183752253	0.0754899772103938	0.4390490913407651	paired t on log2 normalized+1	Contralateral
GSE163752	BBB_transport	Slco1c1	-0.8365761534168158	-1.3134083922354245	-0.3597439145982071	0.0063412166774132	0.1920791107100734	paired t on log2 normalized+1	Contralateral
GSE163752	BBB_transport	Abcb1a	-1.0651960594087162	-1.5441341390682626	-0.5862579797491698	0.0022888982932929	0.1453929831594469	paired t on log2 normalized+1	Contralateral
GSE163752	BBB_transport	Abcb1b	2.4790266538080954	0.6295303068823306	4.32852300073386	0.0183252402507702	0.2691506203224179	paired t on log2 normalized+1	Contralateral
