sample	time	ligand	receptor	n_spots	spearman_same_spot	spearman_neighbor	ligand_fraction	receptor_fraction	pair
GSM7437221	Control	Spp1	Itga5	2416	0.0146669630556001	-0.0340919411362078	0.2309602649006622	0.035182119205298	Spp1 - Itga5
GSM7437221	Control	Ptn	Ptprz1	2416	0.0443898042964159	-0.0381704522035387	0.9896523178807948	0.8311258278145696	Ptn - Ptprz1
GSM7437221	Control	Plat	Lrp1	2416	0.0067555025017373	-0.0261197910028394	0.3091887417218543	0.9163907284768212	Plat - Lrp1
GSM7437221	Control	Timp3	Kdr	2416	0.0518543390977748	0.0565677865776264	0.6121688741721855	0.1229304635761589	Timp3 - Kdr
GSM7437222	Day 1	Spp1	Itga5	2498	0.1566350303554604	0.2860942549293807	0.4007205764611689	0.0728582866293034	Spp1 - Itga5
GSM7437222	Day 1	Ptn	Ptprz1	2498	0.2337310307863557	0.2629269330031021	0.7742193755004003	0.5720576461168935	Ptn - Ptprz1
GSM7437222	Day 1	Plat	Lrp1	2498	0.0938162232142147	0.1265548366570291	0.3294635708566854	0.7257806244995997	Plat - Lrp1
GSM7437222	Day 1	Timp3	Kdr	2498	0.0799093458982561	0.057285005643765	0.4415532425940752	0.0844675740592474	Timp3 - Kdr
GSM7437223	Day 3	Spp1	Itga5	2548	0.3290966755000962	0.5395541609908504	0.5596546310832025	0.0890894819466248	Spp1 - Itga5
GSM7437223	Day 3	Ptn	Ptprz1	2548	0.2058988068244743	0.2975446630234417	0.8489010989010989	0.6687598116169545	Ptn - Ptprz1
GSM7437223	Day 3	Plat	Lrp1	2548	0.0394834415312354	0.0502991391047797	0.314756671899529	0.82574568288854	Plat - Lrp1
GSM7437223	Day 3	Timp3	Kdr	2548	0.0427683625152457	0.0064456085858522	0.5105965463108321	0.1059654631083202	Timp3 - Kdr
GSM7437224	Day 7a	Spp1	Itga5	2591	0.260464275517311	0.3833034478671364	0.4183712852180625	0.0760324199150907	Spp1 - Itga5
GSM7437224	Day 7a	Ptn	Ptprz1	2591	0.1131467088437319	0.1169106609179674	0.9027402547279044	0.7294480895407178	Ptn - Ptprz1
GSM7437224	Day 7a	Plat	Lrp1	2591	0.0336163305287259	0.1017881420041499	0.2798147433423388	0.8351987649556156	Plat - Lrp1
GSM7437224	Day 7a	Timp3	Kdr	2591	0.0113440643018351	0.0367621634503292	0.5658047086067155	0.0964878425318409	Timp3 - Kdr
GSM7437225	Day 7b	Spp1	Itga5	1916	0.061877908786205	0.1345577406241043	0.1231732776617954	0.0360125260960334	Spp1 - Itga5
GSM7437225	Day 7b	Ptn	Ptprz1	1916	0.1307119921421758	0.1326582583430449	0.8919624217118998	0.657098121085595	Ptn - Ptprz1
GSM7437225	Day 7b	Plat	Lrp1	1916	0.0740998604369161	0.1169280889212986	0.1884133611691023	0.7306889352818372	Plat - Lrp1
GSM7437225	Day 7b	Timp3	Kdr	1916	0.0870823435268131	0.0871106347924266	0.4138830897703549	0.0777661795407098	Timp3 - Kdr
