dataset	sample	condition	config	cell_type	n_cells	total_target_counts	removed_cells
GSE174574	GSM5319987	Sham	primary	Astrocyte	365	1170918	
GSE174574	GSM5319987	Sham	primary	Endothelial	1486	3842028	
GSE174574	GSM5319988	Sham	primary	Astrocyte	370	1195590	
GSE174574	GSM5319988	Sham	primary	Endothelial	1360	3735945	
GSE174574	GSM5319989	Sham	primary	Astrocyte	463	1592073	
GSE174574	GSM5319989	Sham	primary	Endothelial	1667	4548588	
GSE174574	GSM5319990	MCAO	primary	Astrocyte	784	2934723	
GSE174574	GSM5319990	MCAO	primary	Endothelial	1961	6005268	
GSE174574	GSM5319991	MCAO	primary	Astrocyte	746	2788916	
GSE174574	GSM5319991	MCAO	primary	Endothelial	1843	5448774	
GSE174574	GSM5319992	MCAO	primary	Astrocyte	514	2327745	
GSE174574	GSM5319992	MCAO	primary	Endothelial	1552	5550504	
GSE245386	GSM7841720	Sham	primary	Astrocyte	748	3693507	
GSE245386	GSM7841720	Sham	primary	Endothelial	1958	15113629	
GSE245386	GSM7841721	Sham	primary	Astrocyte	537	4240209	
GSE245386	GSM7841721	Sham	primary	Endothelial	1860	15721775	
GSE245386	GSM7841722	Sham	primary	Astrocyte	378	2866233	
GSE245386	GSM7841722	Sham	primary	Endothelial	2238	20186028	
GSE245386	GSM7841723	MCAO	primary	Astrocyte	288	2367264	
GSE245386	GSM7841723	MCAO	primary	Endothelial	1996	20824642	
GSE245386	GSM7841724	MCAO	primary	Astrocyte	716	6120618	
GSE245386	GSM7841724	MCAO	primary	Endothelial	2147	16683386	
