dataset	sample	condition	config	cell_type	gene	raw_detection	corrected_detection_gt0	corrected_detection_ge1	raw_mean_count	corrected_mean_estimated_count	raw_mean_logcp10k	corrected_mean_logcp10k
GSE174574	GSM5319987	Sham	primary	Astrocyte	C1qa	0.5178082191780807	0.5178082191780807	0.0054794520547945	1.1643835616438365	0.1752160961299629	0.8924279995573534	0.124698382960664
GSE174574	GSM5319988	Sham	primary	Astrocyte	C1qa	0.5945945945945911	0.5945945945945911	0.1378378378378378	1.6459459459459418	0.7848011328483401	1.0917202872815304	0.7306809149799488
GSE174574	GSM5319989	Sham	primary	Astrocyte	C1qa	0.6371490280777568	0.6371490280777568	0.0647948164146868	1.622030237580988	0.5759825459432972	1.1164392574182445	0.554930759182723
GSE174574	GSM5319990	MCAO	primary	Astrocyte	C1qa	0.7028061224489829	0.7028061224489829	0.1913265306122443	2.104591836734695	0.6656907910966323	1.3222415674782733	0.8730872586916499
GSE174574	GSM5319991	MCAO	primary	Astrocyte	C1qa	0.6957104557640754	0.6957104557640754	0.1246648793565684	2.4209115281501186	0.6244708997162671	1.3276853699955056	0.7989622371149251
GSE174574	GSM5319992	MCAO	primary	Astrocyte	C1qa	0.7198443579766514	0.7198443579766514	0.2217898832684819	2.303501945525288	0.9031991341332376	1.2459302894467312	0.8530646532785509
GSE245386	GSM7841720	Sham	primary	Astrocyte	C1qa	0.7379679144385053	0.7379679144385053	0.1029411764705883	2.973262032085549	1.0112903650647518	1.6910450263806085	0.4564805669415319
GSE245386	GSM7841721	Sham	primary	Astrocyte	C1qa	0.6405959031657391	0.6405959031657391	0.031657355679702	2.567970204841724	1.088818185653814	0.9343714641699884	0.1232047319560599
GSE245386	GSM7841722	Sham	primary	Astrocyte	C1qa	0.6243386243386282	0.6243386243386282	0.0423280423280423	3.140211640211641	1.7668235546055404	0.9982637692988944	0.1757404106396264
GSE245386	GSM7841723	MCAO	primary	Astrocyte	C1qa	0.7291666666666646	0.7291666666666646	0.0381944444444444	5.656250000000016	2.8133320809480806	1.3730344880797576	0.2009613432861087
GSE245386	GSM7841724	MCAO	primary	Astrocyte	C1qa	0.674581005586597	0.674581005586597	0.0139664804469273	2.789106145251408	0.5730718170581499	0.942639526235892	0.0618814822500518
GSE174574	GSM5319987	Sham	primary	Astrocyte	Lyz2	0.2547945205479447	0.2547945205479447	0.0136986301369863	0.4739726027397254	0.1841132267563224	0.3948746172532035	0.2169470989208431
GSE174574	GSM5319988	Sham	primary	Astrocyte	Lyz2	0.2837837837837834	0.2837837837837834	0.0162162162162162	0.4378378378378368	0.2013431372095398	0.4462040643360211	0.2596157066018741
GSE174574	GSM5319989	Sham	primary	Astrocyte	Lyz2	0.3088552915766749	0.3088552915766749	0.0086393088552915	0.7170626349892024	0.376065185390835	0.4858182732712092	0.2100746765417137
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Lyz2	0.5688775510204069	0.5688775510204069	0.024234693877551	1.4642857142857144	0.4127411426414791	0.9438160767864034	0.3739843785835131
