baseline_dataset	third_dataset	universe	config	metric	n_candidates	n_nonzero_both	n_same_direction	same_direction_all_fraction	same_direction_nonzero_fraction	n_zero_baseline	n_zero_third	spearman_rho	status	inferential_pvalues_computed
GSE174574	GSE332910	pairwise_complete	primary	custom_score	99	99	53	0.5353535353535354	0.5353535353535354	0	0	0.5507949956400472	complete	False
GSE174574	GSE332910	pairwise_complete	primary	lr_means	99	99	66	0.6666666666666666	0.6666666666666666	0	0	0.7195653652774598	complete	False
GSE174574	GSE332910	pairwise_complete	primary	expr_prod	99	99	55	0.5555555555555556	0.5555555555555556	0	0	0.514356922429947	complete	False
GSE174574	GSE332910	pairwise_complete	primary	lrscore	99	99	64	0.6464646464646465	0.6464646464646465	0	0	0.5693232487523113	complete	False
GSE174574	GSE332910	pairwise_complete	primary	native_magnitude_priority	99	96	48	0.48484848484848486	0.5	3	0	0.21863732785830461	complete	False
GSE174574	GSE332910	pairwise_complete	primary	diagnostic_unique_column_priority	99	93	52	0.5252525252525253	0.5591397849462365	6	0	0.45986708705405394	complete	False
GSE174574	GSE332910	all_three_cohorts_complete	primary	custom_score	99	99	53	0.5353535353535354	0.5353535353535354	0	0	0.5507949956400472	complete	False
GSE174574	GSE332910	all_three_cohorts_complete	primary	lr_means	99	99	66	0.6666666666666666	0.6666666666666666	0	0	0.7195653652774598	complete	False
GSE174574	GSE332910	all_three_cohorts_complete	primary	expr_prod	99	99	55	0.5555555555555556	0.5555555555555556	0	0	0.514356922429947	complete	False
GSE174574	GSE332910	all_three_cohorts_complete	primary	lrscore	99	99	64	0.6464646464646465	0.6464646464646465	0	0	0.5693232487523113	complete	False
GSE174574	GSE332910	all_three_cohorts_complete	primary	native_magnitude_priority	99	96	48	0.48484848484848486	0.5	3	0	0.21863732785830461	complete	False
GSE174574	GSE332910	all_three_cohorts_complete	primary	diagnostic_unique_column_priority	99	93	52	0.5252525252525253	0.5591397849462365	6	0	0.45986708705405394	complete	False
GSE245386	GSE332910	pairwise_complete	primary	custom_score	187	187	104	0.5561497326203209	0.5561497326203209	0	0	0.5126120124716241	complete	False
GSE245386	GSE332910	pairwise_complete	primary	lr_means	187	187	116	0.6203208556149733	0.6203208556149733	0	0	0.608567910342309	complete	False
GSE245386	GSE332910	pairwise_complete	primary	expr_prod	187	187	107	0.5721925133689839	0.5721925133689839	0	0	0.4401496007648871	complete	False
GSE245386	GSE332910	pairwise_complete	primary	lrscore	187	187	106	0.5668449197860963	0.5668449197860963	0	0	0.4974317189590341	complete	False
GSE245386	GSE332910	pairwise_complete	primary	native_magnitude_priority	187	187	92	0.4919786096256685	0.4919786096256685	0	0	0.16338818572369737	complete	False
GSE245386	GSE332910	pairwise_complete	primary	diagnostic_unique_column_priority	187	185	91	0.48663101604278075	0.4918918918918919	0	2	0.28407183299103267	complete	False
GSE245386	GSE332910	all_three_cohorts_complete	primary	custom_score	99	99	58	0.5858585858585859	0.5858585858585859	0	0	0.5761012745904427	complete	False
GSE245386	GSE332910	all_three_cohorts_complete	primary	lr_means	99	99	64	0.6464646464646465	0.6464646464646465	0	0	0.6592186717295716	complete	False
GSE245386	GSE332910	all_three_cohorts_complete	primary	expr_prod	99	99	60	0.6060606060606061	0.6060606060606061	0	0	0.5119697709942547	complete	False
GSE245386	GSE332910	all_three_cohorts_complete	primary	lrscore	99	99	59	0.5959595959595959	0.5959595959595959	0	0	0.5735162245901334	complete	False
GSE245386	GSE332910	all_three_cohorts_complete	primary	native_magnitude_priority	99	99	48	0.48484848484848486	0.48484848484848486	0	0	0.2872312135511042	complete	False
GSE245386	GSE332910	all_three_cohorts_complete	primary	diagnostic_unique_column_priority	99	99	48	0.48484848484848486	0.48484848484848486	0	0	0.392488512606757	complete	False
