comparison	first	second	config	corrected_detection	universe	n_candidates	n_nonzero_both	n_same_direction	n_zero_first	n_zero_second	same_direction_all_fraction	same_direction_nonzero_fraction	spearman_rho
within_cohort_raw_vs_corrected	GSE174574_raw	GSE174574_corrected	primary	gt0	common_raw_corrected_eligible10	362	362	344	0	0	0.9502762430939227	0.9502762430939227	0.9444655247866881
within_cohort_raw_vs_corrected	GSE245386_raw	GSE245386_corrected	primary	gt0	common_raw_corrected_eligible10	745	745	698	0	0	0.9369127516778524	0.9369127516778524	0.9493486999079628
between_cohort_corrected	GSE174574	GSE245386	primary	gt0	common_corrected_eligible10	323	323	238	0	0	0.7368421052631579	0.7368421052631579	0.6416256686091593
between_cohort_raw	GSE174574	GSE245386	primary	gt0	common_raw_corrected_both_cohorts_eligible10	323	323	258	0	0	0.7987616099071208	0.7987616099071208	0.7427882976103759
between_cohort_corrected	GSE174574	GSE245386	primary	gt0	common_raw_corrected_both_cohorts_eligible10	323	323	238	0	0	0.7368421052631579	0.7368421052631579	0.6416256686091593
within_cohort_raw_vs_corrected	GSE174574_raw	GSE174574_corrected	primary	ge1	common_raw_corrected_eligible10	44	44	43	0	0	0.9772727272727273	0.9772727272727273	0.9987314116569171
within_cohort_raw_vs_corrected	GSE245386_raw	GSE245386_corrected	primary	ge1	common_raw_corrected_eligible10	267	267	260	0	0	0.9737827715355806	0.9737827715355806	0.9926181656957528
between_cohort_corrected	GSE174574	GSE245386	primary	ge1	common_corrected_eligible10	37	37	31	0	0	0.8378378378378378	0.8378378378378378	0.7970361588618851
between_cohort_raw	GSE174574	GSE245386	primary	ge1	common_raw_corrected_both_cohorts_eligible10	37	37	30	0	0	0.8108108108108109	0.8108108108108109	0.7949021932424423
between_cohort_corrected	GSE174574	GSE245386	primary	ge1	common_raw_corrected_both_cohorts_eligible10	37	37	31	0	0	0.8378378378378378	0.8378378378378378	0.7970361588618851
within_cohort_raw_vs_corrected	GSE174574_raw	GSE174574_corrected	reference_singlet	gt0	common_raw_corrected_eligible10	367	367	357	0	0	0.9727520435967303	0.9727520435967303	0.9359155857042889
within_cohort_raw_vs_corrected	GSE245386_raw	GSE245386_corrected	reference_singlet	gt0	common_raw_corrected_eligible10	746	745	646	0	1	0.8659517426273459	0.8671140939597315	0.8564040247827576
between_cohort_corrected	GSE174574	GSE245386	reference_singlet	gt0	common_corrected_eligible10	326	326	230	0	0	0.7055214723926381	0.7055214723926381	0.5783508021960856
between_cohort_raw	GSE174574	GSE245386	reference_singlet	gt0	common_raw_corrected_both_cohorts_eligible10	326	326	247	0	0	0.7576687116564417	0.7576687116564417	0.7030217132058506
between_cohort_corrected	GSE174574	GSE245386	reference_singlet	gt0	common_raw_corrected_both_cohorts_eligible10	326	326	230	0	0	0.7055214723926381	0.7055214723926381	0.5783508021960856
within_cohort_raw_vs_corrected	GSE174574_raw	GSE174574_corrected	reference_singlet	ge1	common_raw_corrected_eligible10	53	53	53	0	0	1.0	1.0	0.9924202717413216
within_cohort_raw_vs_corrected	GSE245386_raw	GSE245386_corrected	reference_singlet	ge1	common_raw_corrected_eligible10	285	285	274	0	0	0.9614035087719298	0.9614035087719298	0.9934036841860477
between_cohort_corrected	GSE174574	GSE245386	reference_singlet	ge1	common_corrected_eligible10	45	45	36	0	0	0.8	0.8	0.8014361947427366
between_cohort_raw	GSE174574	GSE245386	reference_singlet	ge1	common_raw_corrected_both_cohorts_eligible10	45	45	34	0	0	0.7555555555555555	0.7555555555555555	0.7982739310890045
between_cohort_corrected	GSE174574	GSE245386	reference_singlet	ge1	common_raw_corrected_both_cohorts_eligible10	45	45	36	0	0	0.8	0.8	0.8014361947427366
