sender	receiver	ligand	receptor	dataset	config	raw_score_difference	corrected_score_difference	raw_eligible10	corrected_eligible10_gt0	corrected_eligible10_ge1
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	primary	0.5444914618387923	0.4405216993650346	True	True	False
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	primary	-0.30266938455473935	-0.30680193226330543	True	True	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	primary	-0.37115540355862775	-0.36588582284495685	True	True	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	primary	0.4185567710833634	0.43101483992996326	True	True	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	primary	0.061002571696760974	0.0557862952500159	False	False	False
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	primary	0.23417519081356358	0.15496687245979104	True	True	False
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	primary	-0.40638872997130604	-0.4206909174338479	True	True	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	primary	-1.133412802908282	-1.188865240196438	True	True	True
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	primary	0.38962449979813707	0.3945591943913367	True	True	True
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	primary	0.2007350014530731	0.201595167562788	True	True	False
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	0.5267438982470846	0.4398401604004189	True	True	False
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	-0.28952886710329884	-0.2885284366357018	True	True	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_singlet	-0.4222465300915246	-0.4282094455622387	True	True	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	0.41689616741583546	0.42990360157872065	True	True	True
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	0.058800374478573635	0.06154676563801699	False	False	False
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	reference_singlet	0.21277061696776003	0.1446667160954398	True	True	False
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	reference_singlet	-0.43833849729931895	-0.478901654643208	True	True	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	reference_singlet	-1.2387363418856112	-1.3605699888213314	True	True	True
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	reference_singlet	0.3832720993265095	0.4006594175380249	True	True	True
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	reference_singlet	0.21809051041985988	0.21839037910491887	True	True	False
