dataset	sample	condition	config	cell_type	gene	raw_detection	corrected_detection_gt0	corrected_detection_ge1	raw_mean_count	corrected_mean_estimated_count	raw_mean_logcp10k	corrected_mean_logcp10k
GSE174574	GSM5319987	Sham	primary	Astrocyte	Slc1a2	0.8986301369862983	0.8986301369862983	0.7616438356164359	7.16712328767124	6.83880603260682	2.6968266436481154	2.675702617933232
GSE174574	GSM5319987	Sham	primary	Astrocyte	Slc1a3	0.9150684931506818	0.9150684931506818	0.8082191780821891	8.449315068493155	7.982015297993427	2.940164630922691	2.863656644232903
GSE174574	GSM5319987	Sham	primary	Astrocyte	Aldh1l1	0.3643835616438347	0.3643835616438347	0.0849315068493151	0.4986301369863005	0.4661513227453172	0.5842922720579496	0.584597595203867
GSE174574	GSM5319987	Sham	primary	Astrocyte	Pecam1	0.158904109589041	0.158904109589041	0.0410958904109589	0.2383561643835616	0.1430196681963283	0.2719449370444247	0.1798375807057184
GSE174574	GSM5319987	Sham	primary	Astrocyte	Cdh5	0.0958904109589041	0.0958904109589041	0.010958904109589	0.1287671232876712	0.0724333555201195	0.1410397372345982	0.1071915332991073
GSE174574	GSM5319987	Sham	primary	Astrocyte	Kdr	0.1178082191780822	0.1178082191780822	0.0136986301369863	0.1780821917808219	0.0995987120723433	0.184258908544497	0.1470914504597096
GSE174574	GSM5319987	Sham	primary	Astrocyte	Ptprc	0.0136986301369863	0.0136986301369863	0.0	0.0136986301369863	9.69122652480003e-05	0.018452470724646	0.0004045601716526
GSE174574	GSM5319987	Sham	primary	Astrocyte	Tyrobp	0.224657534246575	0.224657534246575	0.0054794520547945	0.4438356164383557	0.0907039358618173	0.3672702413480955	0.1418697138580487
GSE174574	GSM5319987	Sham	primary	Astrocyte	C1qa	0.5178082191780807	0.5178082191780807	0.0054794520547945	1.1643835616438365	0.1752160961299629	0.8924279995573534	0.124698382960664
GSE174574	GSM5319987	Sham	primary	Astrocyte	Lyz2	0.2547945205479447	0.2547945205479447	0.0136986301369863	0.4739726027397254	0.1841132267563224	0.3948746172532035	0.2169470989208431
GSE174574	GSM5319987	Sham	primary	Astrocyte	Spp1	0.0054794520547945	0.0054794520547945	0.0	0.0054794520547945	0.00127340732208	0.0091178935955286	0.0033361281539984
GSE174574	GSM5319987	Sham	primary	Astrocyte	Timp3	0.6164383561643817	0.6164383561643817	0.2438356164383557	1.161643835616438	0.9852954010914332	1.0960841384323363	1.098420553176263
GSE174574	GSM5319987	Sham	primary	Astrocyte	Ptn	0.9397260273972572	0.9397260273972572	0.8219178082191754	8.424657534246577	8.05708858287385	2.860204274727965	2.924944086878231
GSE174574	GSM5319987	Sham	primary	Astrocyte	Plat	0.1205479452054795	0.1205479452054795	0.0301369863013698	0.191780821917808	0.138879768883566	0.2078691792809019	0.1500896946272805
GSE174574	GSM5319987	Sham	primary	Astrocyte	Ptprz1	0.6904109589041074	0.6904109589041074	0.4383561643835604	1.7123287671232896	1.5902971826649075	1.3955223177726013	1.397155656491044
GSE174574	GSM5319987	Sham	primary	Astrocyte	Lrp1	0.2849315068493145	0.2849315068493145	0.0767123287671233	0.3726027397260267	0.3389289776776952	0.451183905480697	0.4540711771335236
GSE174574	GSM5319987	Sham	primary	Astrocyte	Itga5	0.0136986301369863	0.0136986301369863	0.0	0.0136986301369863	0.0107222259692408	0.0170594408238566	0.0178466220360464
GSE174574	GSM5319987	Sham	primary	Astrocyte	Itgb1	0.1945205479452052	0.1945205479452052	0.010958904109589	0.213698630136986	0.1465338851252758	0.2961888824234554	0.2678891849468494
GSE174574	GSM5319987	Sham	primary	Astrocyte	Col4a1	0.0712328767123288	0.0712328767123288	0.010958904109589	0.0876712328767123	0.0511284771955882	0.1047140696616293	0.0824892023081956
GSE174574	GSM5319987	Sham	primary	Astrocyte	Itga3	0.0082191780821917	0.0082191780821917	0.0	0.0082191780821917	0.005365873864171	0.0121219799788718	0.0093522807215419
GSE174574	GSM5319987	Sham	primary	Endothelial	Slc1a2	0.0491251682368774	0.0491251682368774	0.0006729475100942	0.0504710632570659	0.0278849161072726	0.0796004721090457	0.0594164008702909
GSE174574	GSM5319987	Sham	primary	Endothelial	Slc1a3	0.0524899057873485	0.0524899057873485	0.0	0.0538358008075369	0.0134672363180004	0.0799341872908668	0.0347352037235328
