config	sender	receiver	ligand	receptor
primary	Astrocyte	Endothelial	Adam10	Cadm1
primary	Astrocyte	Endothelial	Adam10	Il6ra
primary	Astrocyte	Endothelial	Adam10	Notch1
primary	Astrocyte	Endothelial	Adam10	Trem2
primary	Astrocyte	Endothelial	Adam10	Tspan12
primary	Astrocyte	Endothelial	Adam10	Tspan14
primary	Astrocyte	Endothelial	Adam10	Tspan17
primary	Astrocyte	Endothelial	Adam10	Tspan5
primary	Astrocyte	Endothelial	Adam15	Itgb1
primary	Astrocyte	Endothelial	Alcam	Nrp1
primary	Astrocyte	Endothelial	Apoe	Lrp8
primary	Astrocyte	Endothelial	Apoe	Lsr
primary	Astrocyte	Endothelial	Apoe	Scarb1
primary	Astrocyte	Endothelial	Apoe	Trem2
primary	Astrocyte	Endothelial	App	Aplp2
primary	Astrocyte	Endothelial	App	Lrp10
primary	Astrocyte	Endothelial	App	Ncstn
primary	Astrocyte	Endothelial	App	Rpsa
primary	Astrocyte	Endothelial	App	Tspan12
primary	Astrocyte	Endothelial	Arf1	Insr
primary	Astrocyte	Endothelial	B2m	Tfrc
primary	Astrocyte	Endothelial	Bsg	Slc16a1
primary	Astrocyte	Endothelial	C1qa	Cd93
primary	Astrocyte	Endothelial	C1qb	C1qbp
primary	Astrocyte	Endothelial	Calr	Scarf1
primary	Astrocyte	Endothelial	Gnai2	Cav1
primary	Astrocyte	Endothelial	Gnai2	Igf1r
primary	Astrocyte	Endothelial	Gnai2	S1pr1
primary	Astrocyte	Endothelial	Gpi1	Amfr
primary	Astrocyte	Endothelial	Grn	Tnfrsf1a
primary	Astrocyte	Endothelial	H2-K1	Aplp2
primary	Astrocyte	Endothelial	Hbegf	Cd9
primary	Astrocyte	Endothelial	Jam3	Itgb1
primary	Astrocyte	Endothelial	Lamb2	Dag1
primary	Astrocyte	Endothelial	Lamb2	Itga6_Itgb1
primary	Astrocyte	Endothelial	Lamb2	Rpsa
primary	Astrocyte	Endothelial	Lman1	Mcfd2
primary	Astrocyte	Endothelial	Lrpap1	Lrp8
primary	Astrocyte	Endothelial	Mdk	Itga6_Itgb1
primary	Astrocyte	Endothelial	Mdk	Ncl
primary	Astrocyte	Endothelial	Mdk	Sdc3
primary	Astrocyte	Endothelial	Nampt	Insr
primary	Astrocyte	Endothelial	Ncam1	Ptpra
primary	Astrocyte	Endothelial	Ncan	Sdc3
primary	Astrocyte	Endothelial	Ndp	Fzd4
primary	Astrocyte	Endothelial	Ptdss1	Jmjd6
primary	Astrocyte	Endothelial	Ptdss1	Scarb1
primary	Astrocyte	Endothelial	Ptn	Ncl
primary	Astrocyte	Endothelial	Ptn	Ptprb
primary	Astrocyte	Endothelial	Ptn	Sdc3
