config	count_source	dataset	metric	n_all_animal_complete
primary	raw	GSE174574	custom_score	754
primary	raw	GSE174574	lr_means	217
primary	raw	GSE174574	expr_prod	217
primary	raw	GSE174574	lrscore	217
primary	raw	GSE174574	native_magnitude_priority	217
primary	raw	GSE174574	diagnostic_unique_column_priority	217
primary	raw	GSE245386	custom_score	1182
primary	raw	GSE245386	lr_means	476
primary	raw	GSE245386	expr_prod	476
primary	raw	GSE245386	lrscore	476
primary	raw	GSE245386	native_magnitude_priority	476
primary	raw	GSE245386	diagnostic_unique_column_priority	476
primary	decontx	GSE174574	custom_score	7880
primary	decontx	GSE174574	lr_means	217
primary	decontx	GSE174574	expr_prod	217
primary	decontx	GSE174574	lrscore	217
primary	decontx	GSE174574	native_magnitude_priority	217
primary	decontx	GSE174574	diagnostic_unique_column_priority	217
primary	decontx	GSE245386	custom_score	7892
primary	decontx	GSE245386	lr_means	476
primary	decontx	GSE245386	expr_prod	476
primary	decontx	GSE245386	lrscore	476
primary	decontx	GSE245386	native_magnitude_priority	476
primary	decontx	GSE245386	diagnostic_unique_column_priority	476
reference_singlet	raw	GSE174574	custom_score	703
reference_singlet	raw	GSE174574	lr_means	194
reference_singlet	raw	GSE174574	expr_prod	194
reference_singlet	raw	GSE174574	lrscore	194
reference_singlet	raw	GSE174574	native_magnitude_priority	194
reference_singlet	raw	GSE174574	diagnostic_unique_column_priority	194
reference_singlet	raw	GSE245386	custom_score	1106
reference_singlet	raw	GSE245386	lr_means	524
reference_singlet	raw	GSE245386	expr_prod	524
reference_singlet	raw	GSE245386	lrscore	524
reference_singlet	raw	GSE245386	native_magnitude_priority	524
reference_singlet	raw	GSE245386	diagnostic_unique_column_priority	524
reference_singlet	decontx	GSE174574	custom_score	7880
reference_singlet	decontx	GSE174574	lr_means	194
reference_singlet	decontx	GSE174574	expr_prod	194
reference_singlet	decontx	GSE174574	lrscore	194
reference_singlet	decontx	GSE174574	native_magnitude_priority	194
reference_singlet	decontx	GSE174574	diagnostic_unique_column_priority	194
reference_singlet	decontx	GSE245386	custom_score	7892
reference_singlet	decontx	GSE245386	lr_means	524
reference_singlet	decontx	GSE245386	expr_prod	524
reference_singlet	decontx	GSE245386	lrscore	524
reference_singlet	decontx	GSE245386	native_magnitude_priority	524
reference_singlet	decontx	GSE245386	diagnostic_unique_column_priority	524
