config	comparison	count_source	metric	first	second	n_candidates	n_nonzero_both	n_same_direction	n_zero_first	n_zero_second	same_direction_all_fraction	same_direction_nonzero_fraction	spearman_rho
primary	between_cohorts	raw	custom_score	GSE174574	GSE245386	187	187	150	0	0	0.8021390374331551	0.8021390374331551	0.7251363738547578
primary	between_cohorts	decontx	custom_score	GSE174574	GSE245386	187	187	135	0	0	0.7219251336898396	0.7219251336898396	0.640852055586396
primary	raw_vs_corrected_within_cohort	paired	custom_score	GSE174574_raw	GSE174574_decontx	187	187	173	0	0	0.9251336898395722	0.9251336898395722	0.9277450256231448
primary	raw_vs_corrected_within_cohort	paired	custom_score	GSE245386_raw	GSE245386_decontx	187	187	180	0	0	0.9625668449197861	0.9625668449197861	0.9691145907408001
primary	between_cohorts	raw	lr_means	GSE174574	GSE245386	187	187	148	0	0	0.7914438502673797	0.7914438502673797	0.733640413457083
primary	between_cohorts	decontx	lr_means	GSE174574	GSE245386	187	187	150	0	0	0.8021390374331551	0.8021390374331551	0.7137750209894158
primary	raw_vs_corrected_within_cohort	paired	lr_means	GSE174574_raw	GSE174574_decontx	187	187	178	0	0	0.9518716577540107	0.9518716577540107	0.9815880385562952
primary	raw_vs_corrected_within_cohort	paired	lr_means	GSE245386_raw	GSE245386_decontx	187	187	180	0	0	0.9625668449197861	0.9625668449197861	0.9886588336766574
primary	between_cohorts	raw	expr_prod	GSE174574	GSE245386	187	187	151	0	0	0.8074866310160428	0.8074866310160428	0.7204787880734238
primary	between_cohorts	decontx	expr_prod	GSE174574	GSE245386	187	187	135	0	0	0.7219251336898396	0.7219251336898396	0.6435350305321448
primary	raw_vs_corrected_within_cohort	paired	expr_prod	GSE174574_raw	GSE174574_decontx	187	187	173	0	0	0.9251336898395722	0.9251336898395722	0.9364986442901906
primary	raw_vs_corrected_within_cohort	paired	expr_prod	GSE245386_raw	GSE245386_decontx	187	187	179	0	0	0.9572192513368984	0.9572192513368984	0.9710818610156583
primary	between_cohorts	raw	lrscore	GSE174574	GSE245386	187	187	143	0	0	0.7647058823529411	0.7647058823529411	0.6654099014988507
primary	between_cohorts	decontx	lrscore	GSE174574	GSE245386	187	187	130	0	0	0.6951871657754011	0.6951871657754011	0.5271284185220698
primary	raw_vs_corrected_within_cohort	paired	lrscore	GSE174574_raw	GSE174574_decontx	187	187	173	0	0	0.9251336898395722	0.9251336898395722	0.90101070345511
primary	raw_vs_corrected_within_cohort	paired	lrscore	GSE245386_raw	GSE245386_decontx	187	187	180	0	0	0.9625668449197861	0.9625668449197861	0.9405065904471778
