dataset	sample	n_cells	mean_estimated_contamination	median_estimated_contamination	q25_estimated_contamination	q75_estimated_contamination	q95_estimated_contamination	raw_total	corrected_total	removed_total_fraction	selected_max_iter	selected_converged	decontX_version	elapsed_seconds
GSE174574	GSM5319987	8753	0.08127677721895302	0.0540934551384838	0.041619175675275	0.0724048030434508	0.2520618526240708	25344542.0	23022274.023906603	0.09162793220305165	500	True	1.10.0	150.9207739830017
GSE174574	GSM5319988	8512	0.08932747884059515	0.06237526874804755	0.048869222457262676	0.0822012943891389	0.27061427943852034	25082388.0	22621753.6271518	0.09810207755530298	500	True	1.10.0	169.760901927948
GSE174574	GSM5319989	9951	0.09458108735549806	0.0678280321648568	0.05347748211666765	0.08839336975957335	0.28275256850219554	29703967.0	26585712.644649036	0.10497770736652667	500	True	1.10.0	178.6398801803589
GSE174574	GSM5319990	11717	0.14377399209986766	0.0746676047189904	0.0541330288238122	0.121779297260555	0.5980599959306382	42673777.0	36220875.24039942	0.15121468529960636	500	True	1.10.0	211.05410623550415
GSE174574	GSM5319991	11320	0.15013156107504114	0.07924580535472664	0.058721721527345325	0.127080950441913	0.626612933639262	40177883.0	33752547.65507721	0.15992219761610604	500	True	1.10.0	191.8032670021057
GSE174574	GSM5319992	8080	0.12193122370562313	0.0613947998261188	0.0423610694959446	0.09891224078643167	0.5416050172199564	34493405.0	30041406.223684404	0.12906811537787	2000	True	1.10.0	210.7942750453949
GSE245386	GSM7841720	15206	0.2345457307495409	0.08156461203244761	0.03090553242177465	0.418398847984283	0.770429985675979	97891982.0	86982868.1448667	0.11144032056816766	500	True	1.10.0	
GSE245386	GSM7841721	10017	0.09596687532182895	0.0443773706552335	0.0325144797848317	0.0742339749815405	0.40415486690245295	95984596.0	89175447.01403125	0.07094001818759288	500	True	1.10.0	331.6848421096802
GSE245386	GSM7841722	9625	0.09157386533975229	0.0398405720365036	0.0287893091555925	0.0713757679985662	0.41154210386856677	91982205.0	86052238.27629483	0.06446862981492096	500	True	1.10.0	357.3090629577637
GSE245386	GSM7841723	9852	0.11671726408821452	0.05098416074443655	0.03645950493309165	0.08751694485710043	0.5418748757733965	107154665.0	98685973.66763082	0.07903240920373533	500	True	1.10.0	170.76436495780945
GSE245386	GSM7841724	12322	0.10582977797905913	0.060277479045506704	0.045869064615324945	0.09409919567651102	0.39351369851352946	116486186.0	106018984.57678199	0.08985787742434981	500	True	1.10.0	139.11691999435425
