dataset	sample	selected_relative_directory	default_converged	numerical_extension_selected	selected_converged	selected_max_iter	selected_last_divergence	selected_audit_sha256	default_audit_sha256
GSE174574	GSM5319987	repro_decontx/GSE174574/GSM5319987	True	False	True	500	0.0009776	9ac2f3b6dec1ff0fd45cdb2286b79053484855e91188d4515b8dfa8d2dd05c01	9ac2f3b6dec1ff0fd45cdb2286b79053484855e91188d4515b8dfa8d2dd05c01
GSE174574	GSM5319988	repro_decontx/GSE174574/GSM5319988	True	False	True	500	0.0009911	376e38252c728b0287d5381c922f4b3a0b8c93308a18589a348ff428b3735c27	376e38252c728b0287d5381c922f4b3a0b8c93308a18589a348ff428b3735c27
GSE174574	GSM5319989	repro_decontx/GSE174574/GSM5319989	True	False	True	500	0.0009785	2f4b86a0b934b5efa3d7f05ec48b203cf4ac6b3e74c20d13c9b93f4a97bab283	2f4b86a0b934b5efa3d7f05ec48b203cf4ac6b3e74c20d13c9b93f4a97bab283
GSE174574	GSM5319990	repro_decontx/GSE174574/GSM5319990	True	False	True	500	0.000985	8bcf8e8bec784cebc8704f38ae5d5035b8fe638cd2562c271b24df2773083e4f	8bcf8e8bec784cebc8704f38ae5d5035b8fe638cd2562c271b24df2773083e4f
GSE174574	GSM5319991	repro_decontx/GSE174574/GSM5319991	True	False	True	500	0.0009877	cd229f36111c3e62eaa4014551eaa4860cd1e65e30de5e91ccbdb3a3d7707f6a	cd229f36111c3e62eaa4014551eaa4860cd1e65e30de5e91ccbdb3a3d7707f6a
GSE174574	GSM5319992	repro_decontx_maxiter2000/GSE174574/GSM5319992	False	True	True	2000	0.0009979	a8877f7abb57d6b3f55815aedb915605aece3e47528590e5d9fae4c722037f48	ba167c3d004e070b1b5f867c604b6f75b3d23d63e378268d16ca5d0aecca0cfe
GSE245386	GSM7841720	repro_decontx/GSE245386/GSM7841720	True	False	True	500	0.0009548	08aa5e00ace9a01ceeb3b608a724088d056bd49151c80ed1fd2a7d5088a7c33d	08aa5e00ace9a01ceeb3b608a724088d056bd49151c80ed1fd2a7d5088a7c33d
GSE245386	GSM7841721	repro_decontx/GSE245386/GSM7841721	True	False	True	500	0.0009538	d666507e580b5da812cbae1584f4e0faab3c9caa24f2d3f973c5dff25e797638	d666507e580b5da812cbae1584f4e0faab3c9caa24f2d3f973c5dff25e797638
GSE245386	GSM7841722	repro_decontx/GSE245386/GSM7841722	True	False	True	500	0.0009974	2d36134ed93544efae770d280900162ceca9804c5166128ccdc8743432039256	2d36134ed93544efae770d280900162ceca9804c5166128ccdc8743432039256
GSE245386	GSM7841723	repro_decontx/GSE245386/GSM7841723	True	False	True	500	0.0009716	33f4a65d62a52694f568d5bc51369c7666ebdb9431b21f96994b70fe23e71ae7	33f4a65d62a52694f568d5bc51369c7666ebdb9431b21f96994b70fe23e71ae7
GSE245386	GSM7841724	repro_decontx/GSE245386/GSM7841724	True	False	True	500	0.0009651	7e6d5145b7da210eb9442f162ac3e7d5f49926e9046f0a907fdafc36d38c65c3	7e6d5145b7da210eb9442f162ac3e7d5f49926e9046f0a907fdafc36d38c65c3
