config	allocation_id	discovery_allocation	validation_allocation	is_observed	discovery_mcao_animals	validation_mcao_animals
primary	0	0	0	False	GSM5319987|GSM5319988|GSM5319989	GSM7841720|GSM7841721
primary	1	0	1	False	GSM5319987|GSM5319988|GSM5319989	GSM7841720|GSM7841722
primary	2	0	2	False	GSM5319987|GSM5319988|GSM5319989	GSM7841720|GSM7841723
primary	3	0	3	False	GSM5319987|GSM5319988|GSM5319989	GSM7841720|GSM7841724
primary	4	0	4	False	GSM5319987|GSM5319988|GSM5319989	GSM7841721|GSM7841722
primary	5	0	5	False	GSM5319987|GSM5319988|GSM5319989	GSM7841721|GSM7841723
primary	6	0	6	False	GSM5319987|GSM5319988|GSM5319989	GSM7841721|GSM7841724
primary	7	0	7	False	GSM5319987|GSM5319988|GSM5319989	GSM7841722|GSM7841723
primary	8	0	8	False	GSM5319987|GSM5319988|GSM5319989	GSM7841722|GSM7841724
primary	9	0	9	False	GSM5319987|GSM5319988|GSM5319989	GSM7841723|GSM7841724
primary	10	1	0	False	GSM5319987|GSM5319988|GSM5319990	GSM7841720|GSM7841721
primary	11	1	1	False	GSM5319987|GSM5319988|GSM5319990	GSM7841720|GSM7841722
primary	12	1	2	False	GSM5319987|GSM5319988|GSM5319990	GSM7841720|GSM7841723
primary	13	1	3	False	GSM5319987|GSM5319988|GSM5319990	GSM7841720|GSM7841724
primary	14	1	4	False	GSM5319987|GSM5319988|GSM5319990	GSM7841721|GSM7841722
primary	15	1	5	False	GSM5319987|GSM5319988|GSM5319990	GSM7841721|GSM7841723
primary	16	1	6	False	GSM5319987|GSM5319988|GSM5319990	GSM7841721|GSM7841724
primary	17	1	7	False	GSM5319987|GSM5319988|GSM5319990	GSM7841722|GSM7841723
primary	18	1	8	False	GSM5319987|GSM5319988|GSM5319990	GSM7841722|GSM7841724
primary	19	1	9	False	GSM5319987|GSM5319988|GSM5319990	GSM7841723|GSM7841724
primary	20	2	0	False	GSM5319987|GSM5319988|GSM5319991	GSM7841720|GSM7841721
primary	21	2	1	False	GSM5319987|GSM5319988|GSM5319991	GSM7841720|GSM7841722
primary	22	2	2	False	GSM5319987|GSM5319988|GSM5319991	GSM7841720|GSM7841723
primary	23	2	3	False	GSM5319987|GSM5319988|GSM5319991	GSM7841720|GSM7841724
primary	24	2	4	False	GSM5319987|GSM5319988|GSM5319991	GSM7841721|GSM7841722
primary	25	2	5	False	GSM5319987|GSM5319988|GSM5319991	GSM7841721|GSM7841723
primary	26	2	6	False	GSM5319987|GSM5319988|GSM5319991	GSM7841721|GSM7841724
primary	27	2	7	False	GSM5319987|GSM5319988|GSM5319991	GSM7841722|GSM7841723
primary	28	2	8	False	GSM5319987|GSM5319988|GSM5319991	GSM7841722|GSM7841724
primary	29	2	9	False	GSM5319987|GSM5319988|GSM5319991	GSM7841723|GSM7841724
primary	30	3	0	False	GSM5319987|GSM5319988|GSM5319992	GSM7841720|GSM7841721
primary	31	3	1	False	GSM5319987|GSM5319988|GSM5319992	GSM7841720|GSM7841722
primary	32	3	2	False	GSM5319987|GSM5319988|GSM5319992	GSM7841720|GSM7841723
primary	33	3	3	False	GSM5319987|GSM5319988|GSM5319992	GSM7841720|GSM7841724
primary	34	3	4	False	GSM5319987|GSM5319988|GSM5319992	GSM7841721|GSM7841722
primary	35	3	5	False	GSM5319987|GSM5319988|GSM5319992	GSM7841721|GSM7841723
primary	36	3	6	False	GSM5319987|GSM5319988|GSM5319992	GSM7841721|GSM7841724
primary	37	3	7	False	GSM5319987|GSM5319988|GSM5319992	GSM7841722|GSM7841723
primary	38	3	8	False	GSM5319987|GSM5319988|GSM5319992	GSM7841722|GSM7841724
primary	39	3	9	False	GSM5319987|GSM5319988|GSM5319992	GSM7841723|GSM7841724
primary	40	4	0	False	GSM5319987|GSM5319989|GSM5319990	GSM7841720|GSM7841721
primary	41	4	1	False	GSM5319987|GSM5319989|GSM5319990	GSM7841720|GSM7841722
primary	42	4	2	False	GSM5319987|GSM5319989|GSM5319990	GSM7841720|GSM7841723
primary	43	4	3	False	GSM5319987|GSM5319989|GSM5319990	GSM7841720|GSM7841724
primary	44	4	4	False	GSM5319987|GSM5319989|GSM5319990	GSM7841721|GSM7841722
primary	45	4	5	False	GSM5319987|GSM5319989|GSM5319990	GSM7841721|GSM7841723
primary	46	4	6	False	GSM5319987|GSM5319989|GSM5319990	GSM7841721|GSM7841724
primary	47	4	7	False	GSM5319987|GSM5319989|GSM5319990	GSM7841722|GSM7841723
primary	48	4	8	False	GSM5319987|GSM5319989|GSM5319990	GSM7841722|GSM7841724
primary	49	4	9	False	GSM5319987|GSM5319989|GSM5319990	GSM7841723|GSM7841724
primary	50	5	0	False	GSM5319987|GSM5319989|GSM5319991	GSM7841720|GSM7841721
primary	51	5	1	False	GSM5319987|GSM5319989|GSM5319991	GSM7841720|GSM7841722
primary	52	5	2	False	GSM5319987|GSM5319989|GSM5319991	GSM7841720|GSM7841723
primary	53	5	3	False	GSM5319987|GSM5319989|GSM5319991	GSM7841720|GSM7841724
primary	54	5	4	False	GSM5319987|GSM5319989|GSM5319991	GSM7841721|GSM7841722
primary	55	5	5	False	GSM5319987|GSM5319989|GSM5319991	GSM7841721|GSM7841723
primary	56	5	6	False	GSM5319987|GSM5319989|GSM5319991	GSM7841721|GSM7841724
primary	57	5	7	False	GSM5319987|GSM5319989|GSM5319991	GSM7841722|GSM7841723
primary	58	5	8	False	GSM5319987|GSM5319989|GSM5319991	GSM7841722|GSM7841724
primary	59	5	9	False	GSM5319987|GSM5319989|GSM5319991	GSM7841723|GSM7841724
primary	60	6	0	False	GSM5319987|GSM5319989|GSM5319992	GSM7841720|GSM7841721
primary	61	6	1	False	GSM5319987|GSM5319989|GSM5319992	GSM7841720|GSM7841722
primary	62	6	2	False	GSM5319987|GSM5319989|GSM5319992	GSM7841720|GSM7841723
primary	63	6	3	False	GSM5319987|GSM5319989|GSM5319992	GSM7841720|GSM7841724
primary	64	6	4	False	GSM5319987|GSM5319989|GSM5319992	GSM7841721|GSM7841722
primary	65	6	5	False	GSM5319987|GSM5319989|GSM5319992	GSM7841721|GSM7841723
primary	66	6	6	False	GSM5319987|GSM5319989|GSM5319992	GSM7841721|GSM7841724
primary	67	6	7	False	GSM5319987|GSM5319989|GSM5319992	GSM7841722|GSM7841723
primary	68	6	8	False	GSM5319987|GSM5319989|GSM5319992	GSM7841722|GSM7841724
primary	69	6	9	False	GSM5319987|GSM5319989|GSM5319992	GSM7841723|GSM7841724
primary	70	7	0	False	GSM5319987|GSM5319990|GSM5319991	GSM7841720|GSM7841721
primary	71	7	1	False	GSM5319987|GSM5319990|GSM5319991	GSM7841720|GSM7841722
primary	72	7	2	False	GSM5319987|GSM5319990|GSM5319991	GSM7841720|GSM7841723
primary	73	7	3	False	GSM5319987|GSM5319990|GSM5319991	GSM7841720|GSM7841724
primary	74	7	4	False	GSM5319987|GSM5319990|GSM5319991	GSM7841721|GSM7841722
primary	75	7	5	False	GSM5319987|GSM5319990|GSM5319991	GSM7841721|GSM7841723
primary	76	7	6	False	GSM5319987|GSM5319990|GSM5319991	GSM7841721|GSM7841724
primary	77	7	7	False	GSM5319987|GSM5319990|GSM5319991	GSM7841722|GSM7841723
primary	78	7	8	False	GSM5319987|GSM5319990|GSM5319991	GSM7841722|GSM7841724
primary	79	7	9	False	GSM5319987|GSM5319990|GSM5319991	GSM7841723|GSM7841724
primary	80	8	0	False	GSM5319987|GSM5319990|GSM5319992	GSM7841720|GSM7841721
primary	81	8	1	False	GSM5319987|GSM5319990|GSM5319992	GSM7841720|GSM7841722
primary	82	8	2	False	GSM5319987|GSM5319990|GSM5319992	GSM7841720|GSM7841723
primary	83	8	3	False	GSM5319987|GSM5319990|GSM5319992	GSM7841720|GSM7841724
primary	84	8	4	False	GSM5319987|GSM5319990|GSM5319992	GSM7841721|GSM7841722
primary	85	8	5	False	GSM5319987|GSM5319990|GSM5319992	GSM7841721|GSM7841723
primary	86	8	6	False	GSM5319987|GSM5319990|GSM5319992	GSM7841721|GSM7841724
primary	87	8	7	False	GSM5319987|GSM5319990|GSM5319992	GSM7841722|GSM7841723
primary	88	8	8	False	GSM5319987|GSM5319990|GSM5319992	GSM7841722|GSM7841724
primary	89	8	9	False	GSM5319987|GSM5319990|GSM5319992	GSM7841723|GSM7841724
primary	90	9	0	False	GSM5319987|GSM5319991|GSM5319992	GSM7841720|GSM7841721
primary	91	9	1	False	GSM5319987|GSM5319991|GSM5319992	GSM7841720|GSM7841722
primary	92	9	2	False	GSM5319987|GSM5319991|GSM5319992	GSM7841720|GSM7841723
primary	93	9	3	False	GSM5319987|GSM5319991|GSM5319992	GSM7841720|GSM7841724
primary	94	9	4	False	GSM5319987|GSM5319991|GSM5319992	GSM7841721|GSM7841722
primary	95	9	5	False	GSM5319987|GSM5319991|GSM5319992	GSM7841721|GSM7841723
primary	96	9	6	False	GSM5319987|GSM5319991|GSM5319992	GSM7841721|GSM7841724
primary	97	9	7	False	GSM5319987|GSM5319991|GSM5319992	GSM7841722|GSM7841723
primary	98	9	8	False	GSM5319987|GSM5319991|GSM5319992	GSM7841722|GSM7841724
primary	99	9	9	False	GSM5319987|GSM5319991|GSM5319992	GSM7841723|GSM7841724
primary	100	10	0	False	GSM5319988|GSM5319989|GSM5319990	GSM7841720|GSM7841721
primary	101	10	1	False	GSM5319988|GSM5319989|GSM5319990	GSM7841720|GSM7841722
primary	102	10	2	False	GSM5319988|GSM5319989|GSM5319990	GSM7841720|GSM7841723
primary	103	10	3	False	GSM5319988|GSM5319989|GSM5319990	GSM7841720|GSM7841724
primary	104	10	4	False	GSM5319988|GSM5319989|GSM5319990	GSM7841721|GSM7841722
primary	105	10	5	False	GSM5319988|GSM5319989|GSM5319990	GSM7841721|GSM7841723
primary	106	10	6	False	GSM5319988|GSM5319989|GSM5319990	GSM7841721|GSM7841724
