analysis	config	metric	statistic	randomized_cohort	fixed_observed_cohort	observed	null_mean	null_median	null_q025	null_q975	n_conditional_allocations	n_at_least_observed	conditional_unadjusted_upper_tail_p	minimum_attainable_upper_tail_p	joint_n_allocations	joint_exact_upper_tail_p	joint_holm_adjusted_p	original_joint_test_family	observed_n_candidates	conditional_n_candidates_min	conditional_n_candidates_max	conditional_p_adjusted_for_multiple_testing
fixed_common	primary	custom_score	same_direction_all_fraction	GSE174574	GSE245386	0.8021390374331551	0.5	0.5	0.22326203208556147	0.7767379679144384	20	1	0.05	0.05	200	0.01	0.25	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	custom_score	same_direction_nonzero_fraction	GSE174574	GSE245386	0.8021390374331551	0.5	0.5	0.22326203208556147	0.7767379679144384	20	1	0.05	0.05	200	0.01	0.25	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	custom_score	spearman_rho	GSE174574	GSE245386	0.7251363738547578	1.1102230246251566e-17	0.0	-0.6871097000922157	0.6871097000922156	20	1	0.05	0.05	200	0.005	0.15	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	lr_means	same_direction_all_fraction	GSE174574	GSE245386	0.7914438502673797	0.5	0.5	0.2263368983957219	0.7736631016042781	20	1	0.05	0.05	200	0.01	0.25	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	lr_means	same_direction_nonzero_fraction	GSE174574	GSE245386	0.7914438502673797	0.5	0.5	0.2263368983957219	0.7736631016042781	20	1	0.05	0.05	200	0.01	0.25	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	lr_means	spearman_rho	GSE174574	GSE245386	0.733640413457083	2.2204460492503132e-17	0.0	-0.729584432505838	0.729584432505838	20	1	0.05	0.05	200	0.015	0.25	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	expr_prod	same_direction_all_fraction	GSE174574	GSE245386	0.8074866310160428	0.5	0.5	0.22045454545454543	0.7795454545454544	20	1	0.05	0.05	200	0.01	0.25	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	expr_prod	same_direction_nonzero_fraction	GSE174574	GSE245386	0.8074866310160428	0.5	0.5	0.22045454545454543	0.7795454545454544	20	1	0.05	0.05	200	0.01	0.25	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	expr_prod	spearman_rho	GSE174574	GSE245386	0.7204787880734238	1.6653345369377347e-17	0.0	-0.6782601494721676	0.6782601494721675	20	1	0.05	0.05	200	0.005	0.15	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	lrscore	same_direction_all_fraction	GSE174574	GSE245386	0.7647058823529411	0.5	0.49999999999999994	0.270855614973262	0.7291443850267378	20	1	0.05	0.05	200	0.01	0.25	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	lrscore	same_direction_nonzero_fraction	GSE174574	GSE245386	0.7647058823529411	0.5	0.49999999999999994	0.270855614973262	0.7291443850267378	20	1	0.05	0.05	200	0.01	0.25	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	lrscore	spearman_rho	GSE174574	GSE245386	0.6654099014988507	-1.6653345369377347e-17	0.0	-0.6366623846729091	0.6366623846729091	20	1	0.05	0.05	200	0.005	0.15	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	magnitude_priority	same_direction_all_fraction	GSE174574	GSE245386	0.5614973262032086	0.4732620320855615	0.4732620320855615	0.3554812834224599	0.5910427807486631	20	4	0.2	0.05	200	0.145	0.75	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	magnitude_priority	same_direction_nonzero_fraction	GSE174574	GSE245386	0.5932203389830508	0.5	0.5	0.37556497175141246	0.6244350282485875	20	4	0.2	0.05	200	0.145	0.75	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	magnitude_priority	spearman_rho	GSE174574	GSE245386	0.2282371264612325	0.0	0.0	-0.2461828345220738	0.24618283452207373	20	2	0.1	0.05	200	0.125	0.75	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	custom_score	same_direction_all_fraction	GSE245386	GSE174574	0.8021390374331551	0.5080213903743316	0.4438502673796791	0.26323529411764707	0.7901069518716578	10	1	0.1	0.1	200	0.01	0.25	A_fixed_common_metrics	187	187	187	False
