config	expression_metric	ranking_metric	statistic	test_family	observed	null_mean	null_median	null_q025	null_q975	n_allocations	n_greater_or_equal_observed	exact_upper_tail_p	observed_n_candidates	null_n_candidates_min	null_n_candidates_max	holm_adjusted_p	n_tests_in_family
primary	custom_score	magnitude_priority	same_direction_all_fraction	B_expression_minus_ranking	0.2406417112299465	0.026737967914438502	0.0267379679144385	-0.160427807486631	0.213903743315508	200	1	0.005	187	187	187	0.12	24
primary	custom_score	magnitude_priority	same_direction_nonzero_fraction	B_expression_minus_ranking	0.20891869845010425	1.3877787807814457e-19	0.0	-0.18399347412308525	0.1839934741230853	200	1	0.005	187	187	187	0.12	24
primary	custom_score	magnitude_priority	spearman_rho	B_expression_minus_ranking	0.4968992473935253	5.551115123125783e-18	0.0	-0.4940271829752255	0.4940271829752255	200	5	0.025	187	187	187	0.36	24
primary	lr_means	magnitude_priority	same_direction_all_fraction	B_expression_minus_ranking	0.22994652406417115	0.026737967914438502	0.0267379679144385	-0.1766042780748663	0.23008021390374336	200	10	0.05	187	187	187	0.6000000000000001	24
primary	lr_means	magnitude_priority	same_direction_nonzero_fraction	B_expression_minus_ranking	0.1982235112843289	2.359223927328458e-18	2.7755575615628914e-17	-0.20163524577781805	0.20163524577781813	200	10	0.05	187	187	187	0.6000000000000001	24
primary	lr_means	magnitude_priority	spearman_rho	B_expression_minus_ranking	0.5054032869958505	-1.1102230246251566e-18	0.0	-0.5804816815621429	0.5804816815621429	200	23	0.115	187	187	187	0.6000000000000001	24
primary	expr_prod	magnitude_priority	same_direction_all_fraction	B_expression_minus_ranking	0.2459893048128342	0.026737967914438502	0.0267379679144385	-0.14986631016042784	0.20334224598930487	200	2	0.01	187	187	187	0.21	24
primary	expr_prod	magnitude_priority	same_direction_nonzero_fraction	B_expression_minus_ranking	0.21426629203299197	8.326672684688674e-19	-2.7755575615628914e-17	-0.17370388833499503	0.17370388833499506	200	1	0.005	187	187	187	0.12	24
primary	expr_prod	magnitude_priority	spearman_rho	B_expression_minus_ranking	0.4922416616121913	1.1102230246251566e-18	0.0	-0.48051577057874745	0.48051577057874745	200	4	0.02	187	187	187	0.36	24
primary	lrscore	magnitude_priority	same_direction_all_fraction	B_expression_minus_ranking	0.20320855614973254	0.026737967914438502	0.0267379679144385	-0.1391711229946524	0.19264705882352942	200	4	0.02	187	187	187	0.36	24
primary	lrscore	magnitude_priority	same_direction_nonzero_fraction	B_expression_minus_ranking	0.1714855433698903	-1.1102230246251566e-18	0.0	-0.16565983866582076	0.1656598386658207	200	4	0.02	187	187	187	0.36	24
primary	lrscore	magnitude_priority	spearman_rho	B_expression_minus_ranking	0.4371727750376182	-1.1102230246251566e-18	0.0	-0.41603658688528533	0.41603658688528544	200	4	0.02	187	187	187	0.36	24
reference_singlet	custom_score	magnitude_priority	same_direction_all_fraction	B_expression_minus_ranking	0.1839080459770115	0.022988505747126436	0.022988505747126464	-0.14956896551724141	0.19554597701149426	200	13	0.065	174	174	174	0.6000000000000001	24
reference_singlet	custom_score	magnitude_priority	same_direction_nonzero_fraction	B_expression_minus_ranking	0.15759590084475839	-4.440892098500626e-18	0.0	-0.17119339426672206	0.1711933942667221	200	12	0.06	174	174	174	0.6000000000000001	24
reference_singlet	custom_score	magnitude_priority	spearman_rho	B_expression_minus_ranking	0.5920502165894774	-3.3306690738754695e-18	0.0	-0.5538912613794436	0.5538912613794436	200	2	0.01	174	174	174	0.21	24
reference_singlet	lr_means	magnitude_priority	same_direction_all_fraction	B_expression_minus_ranking	0.23563218390804597	0.02298850574712644	0.02298850574712641	-0.2185344827586207	0.2645114942528736	200	14	0.07	174	174	174	0.6000000000000001	24
reference_singlet	lr_means	magnitude_priority	same_direction_nonzero_fraction	B_expression_minus_ranking	0.20932003877579286	-1.1102230246251566e-18	-2.7755575615628914e-17	-0.24175841296219355	0.24175841296219364	200	14	0.07	174	174	174	0.6000000000000001	24
reference_singlet	lr_means	magnitude_priority	spearman_rho	B_expression_minus_ranking	0.6183744585374165	-1.1102230246251566e-18	0.0	-0.6407725006228747	0.6407725006228747	200	11	0.055	174	174	174	0.6000000000000001	24
reference_singlet	expr_prod	magnitude_priority	same_direction_all_fraction	B_expression_minus_ranking	0.1839080459770115	0.022988505747126436	0.022988505747126464	-0.14956896551724141	0.19554597701149432	200	15	0.075	174	174	174	0.6000000000000001	24
reference_singlet	expr_prod	magnitude_priority	same_direction_nonzero_fraction	B_expression_minus_ranking	0.15759590084475839	-3.608224830031759e-18	0.0	-0.17308371416701293	0.1730837141670129	200	13	0.065	174	174	174	0.6000000000000001	24
reference_singlet	expr_prod	magnitude_priority	spearman_rho	B_expression_minus_ranking	0.5575298321589588	2.220446049250313e-18	0.0	-0.5323050551269535	0.5323050551269535	200	2	0.01	174	174	174	0.21	24
reference_singlet	lrscore	magnitude_priority	same_direction_all_fraction	B_expression_minus_ranking	0.17816091954022983	0.022988505747126436	0.02298850574712641	-0.16666666666666663	0.21264367816091956	200	21	0.105	174	174	174	0.6000000000000001	24
reference_singlet	lrscore	magnitude_priority	same_direction_nonzero_fraction	B_expression_minus_ranking	0.15184877440797673	-3.885780586188048e-18	-5.551115123125783e-17	-0.189122005262429	0.18912200526242903	200	20	0.1	174	174	174	0.6000000000000001	24
reference_singlet	lrscore	magnitude_priority	spearman_rho	B_expression_minus_ranking	0.5257020103783594	0.0	0.0	-0.49658777605076637	0.49658777605076654	200	4	0.02	174	174	174	0.36	24
