config	dataset	sample	condition	n_original_full_network_edges	n_fixed_global_edges	n_fixed_target_edges	n_fixed_global_celltype_pairs	n_fixed_global_celltypes
primary	GSE174574	GSM5319987	Sham	17267	7675	187	81	9
primary	GSE174574	GSM5319988	Sham	19603	7675	187	81	9
primary	GSE174574	GSM5319989	Sham	23300	7675	187	81	9
primary	GSE174574	GSM5319990	MCAO	31174	7675	187	81	9
primary	GSE174574	GSM5319991	MCAO	28267	7675	187	81	9
primary	GSE174574	GSM5319992	MCAO	33735	7675	187	81	9
primary	GSE245386	GSM7841720	Sham	64189	7675	187	81	9
primary	GSE245386	GSM7841721	Sham	59565	7675	187	81	9
primary	GSE245386	GSM7841722	Sham	57934	7675	187	81	9
primary	GSE245386	GSM7841723	MCAO	77691	7675	187	81	9
primary	GSE245386	GSM7841724	MCAO	61427	7675	187	81	9
reference_singlet	GSE174574	GSM5319987	Sham	16462	7109	174	81	9
reference_singlet	GSE174574	GSM5319988	Sham	18777	7109	174	81	9
reference_singlet	GSE174574	GSM5319989	Sham	22042	7109	174	81	9
reference_singlet	GSE174574	GSM5319990	MCAO	29561	7109	174	81	9
reference_singlet	GSE174574	GSM5319991	MCAO	26847	7109	174	81	9
reference_singlet	GSE174574	GSM5319992	MCAO	31153	7109	174	81	9
reference_singlet	GSE245386	GSM7841720	Sham	64301	7109	174	81	9
reference_singlet	GSE245386	GSM7841721	Sham	56411	7109	174	81	9
reference_singlet	GSE245386	GSM7841722	Sham	55019	7109	174	81	9
reference_singlet	GSE245386	GSM7841723	MCAO	74478	7109	174	81	9
reference_singlet	GSE245386	GSM7841724	MCAO	58042	7109	174	81	9
