config	dataset	sample	universe	n_edges	rank_vectors_exactly_equal	n_different_average_tie_ranks	rank_spearman_rho	max_abs_rank_difference
primary	GSE174574	GSM5319987	original_complete_full_network	17267	False	89	0.9999999999627052	1.0
primary	GSE174574	GSM5319987	fixed_global_network_intersection	7675	False	18	0.9999999998805577	1.0
primary	GSE174574	GSM5319988	original_complete_full_network	19603	False	49	0.9999999999836718	2.0
primary	GSE174574	GSM5319988	fixed_global_network_intersection	7675	False	12	0.9999999999402789	1.0
primary	GSE174574	GSM5319989	original_complete_full_network	23300	False	85	0.9999999999874303	1.0
primary	GSE174574	GSM5319989	fixed_global_network_intersection	7675	False	10	0.9999999999668218	0.5
primary	GSE174574	GSM5319990	original_complete_full_network	31174	False	154	0.9999999999894044	1.0
primary	GSE174574	GSM5319990	fixed_global_network_intersection	7675	False	8	0.9999999999734572	0.5
primary	GSE174574	GSM5319991	original_complete_full_network	28267	False	159	0.9999999999848578	1.0
primary	GSE174574	GSM5319991	fixed_global_network_intersection	7675	False	8	0.9999999999734575	0.5
primary	GSE174574	GSM5319992	original_complete_full_network	33735	False	165	0.9999999999927329	1.0
primary	GSE174574	GSM5319992	fixed_global_network_intersection	7675	False	6	0.9999999999800931	0.5
primary	GSE245386	GSM7841720	original_complete_full_network	64189	False	641	0.9999999999949184	3.0
primary	GSE245386	GSM7841720	fixed_global_network_intersection	7675	False	10	0.9999999999270075	1.0
primary	GSE245386	GSM7841721	original_complete_full_network	59565	False	492	0.9999999999952731	2.0
primary	GSE245386	GSM7841721	fixed_global_network_intersection	7675	False	24	0.9999999999004645	1.0
primary	GSE245386	GSM7841722	original_complete_full_network	57934	False	485	0.9999999999952175	1.0
primary	GSE245386	GSM7841722	fixed_global_network_intersection	7675	False	14	0.9999999999336432	1.0
primary	GSE245386	GSM7841723	original_complete_full_network	77691	False	762	0.9999999999964877	2.0
primary	GSE245386	GSM7841723	fixed_global_network_intersection	7675	False	14	0.9999999999535502	0.5
primary	GSE245386	GSM7841724	original_complete_full_network	61427	False	498	0.9999999999947322	2.0
primary	GSE245386	GSM7841724	fixed_global_network_intersection	7675	False	12	0.9999999999203718	1.0
reference_singlet	GSE174574	GSM5319987	original_complete_full_network	16462	False	47	0.9999999999710837	2.0
reference_singlet	GSE174574	GSM5319987	fixed_global_network_intersection	7109	False	16	0.9999999999331988	0.5
reference_singlet	GSE174574	GSM5319988	original_complete_full_network	18777	False	68	0.9999999999777957	1.0
reference_singlet	GSE174574	GSM5319988	fixed_global_network_intersection	7109	False	6	0.9999999999749496	0.5
reference_singlet	GSE174574	GSM5319989	original_complete_full_network	22042	False	70	0.9999999999885144	1.0
reference_singlet	GSE174574	GSM5319989	fixed_global_network_intersection	7109	False	6	0.9999999999749496	0.5
reference_singlet	GSE174574	GSM5319990	original_complete_full_network	29561	False	142	0.9999999999882703	2.0
reference_singlet	GSE174574	GSM5319990	fixed_global_network_intersection	7109	False	10	0.9999999999081479	1.0
reference_singlet	GSE174574	GSM5319991	original_complete_full_network	26847	False	145	0.9999999999857366	1.0
reference_singlet	GSE174574	GSM5319991	fixed_global_network_intersection	7109	False	2	0.9999999999916499	0.5
reference_singlet	GSE174574	GSM5319992	original_complete_full_network	31153	False	161	0.9999999999891847	2.0
reference_singlet	GSE174574	GSM5319992	fixed_global_network_intersection	7109	False	6	0.9999999999749496	0.5
reference_singlet	GSE245386	GSM7841720	original_complete_full_network	64301	False	617	0.9999999999946854	3.0
reference_singlet	GSE245386	GSM7841720	fixed_global_network_intersection	7109	False	12	0.9999999998747475	1.0
reference_singlet	GSE245386	GSM7841721	original_complete_full_network	56411	False	416	0.9999999999948693	3.0
reference_singlet	GSE245386	GSM7841721	fixed_global_network_intersection	7109	False	20	0.9999999998914477	1.0
reference_singlet	GSE245386	GSM7841722	original_complete_full_network	55019	False	456	0.9999999999941639	2.0
reference_singlet	GSE245386	GSM7841722	fixed_global_network_intersection	7109	False	8	0.9999999999665993	0.5
reference_singlet	GSE245386	GSM7841723	original_complete_full_network	74478	False	696	0.9999999999963184	2.0
reference_singlet	GSE245386	GSM7841723	fixed_global_network_intersection	7109	False	19	0.9999999998747471	1.5
reference_singlet	GSE245386	GSM7841724	original_complete_full_network	58042	False	407	0.9999999999959341	1.0
reference_singlet	GSE245386	GSM7841724	fixed_global_network_intersection	7109	False	8	0.9999999999665995	0.5
