count_source	config	metric	n_candidates	n_nonzero_both	n_same_direction	n_zero_discovery	n_zero_validation	same_direction_all_fraction	same_direction_nonzero_fraction	spearman_rho
decontx	primary	lr_means	187	187	150	0	0	0.8021390374331551	0.8021390374331551	0.7137750209894158
decontx	primary	expr_prod	187	187	135	0	0	0.7219251336898396	0.7219251336898396	0.6435350305321448
decontx	primary	lrscore	187	187	130	0	0	0.6951871657754011	0.6951871657754011	0.5271284185220698
decontx	primary	native_magnitude_priority	187	183	107	4	1	0.5721925133689839	0.5846994535519126	0.20456584972183398
decontx	primary	diagnostic_unique_column_priority	187	172	119	14	4	0.6363636363636364	0.6918604651162791	0.44234526815881153
decontx	reference_singlet	lr_means	174	174	134	0	0	0.7701149425287356	0.7701149425287356	0.7126088016273829
decontx	reference_singlet	expr_prod	174	172	126	1	1	0.7241379310344828	0.7325581395348837	0.6272850904468696
decontx	reference_singlet	lrscore	174	174	121	0	0	0.6954022988505747	0.6954022988505747	0.6013344358716772
decontx	reference_singlet	native_magnitude_priority	174	172	93	2	0	0.5344827586206896	0.5406976744186046	0.12567463596568448
decontx	reference_singlet	diagnostic_unique_column_priority	174	161	105	10	5	0.603448275862069	0.6521739130434783	0.4296240452568723
