count_source	config	dataset	sample	universe	metric	n_edges	n_rank_one	rank_one_fraction	n_edges_in_exact_tie_groups	largest_exact_tie_group
decontx	primary	GSE174574	GSM5319987	all_reported_target_edges	magnitude_rank	256	42	0.1640625	44	42
decontx	primary	GSE174574	GSM5319987	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	256	69	0.26953125	71	69
decontx	primary	GSE174574	GSM5319987	fixed_common_target_edges	magnitude_rank	187	27	0.1443850267379679	29	27
decontx	primary	GSE174574	GSM5319987	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	35	0.18716577540106952	37	35
decontx	primary	GSE174574	GSM5319988	all_reported_target_edges	magnitude_rank	263	45	0.17110266159695817	47	45
decontx	primary	GSE174574	GSM5319988	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	263	66	0.2509505703422053	68	66
decontx	primary	GSE174574	GSM5319988	fixed_common_target_edges	magnitude_rank	187	24	0.12834224598930483	26	24
decontx	primary	GSE174574	GSM5319988	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	28	0.1497326203208556	30	28
decontx	primary	GSE174574	GSM5319989	all_reported_target_edges	magnitude_rank	285	49	0.17192982456140352	51	49
decontx	primary	GSE174574	GSM5319989	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	285	75	0.2631578947368421	77	75
decontx	primary	GSE174574	GSM5319989	fixed_common_target_edges	magnitude_rank	187	21	0.11229946524064172	23	21
decontx	primary	GSE174574	GSM5319989	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	25	0.13368983957219252	27	25
decontx	primary	GSE174574	GSM5319990	all_reported_target_edges	magnitude_rank	329	61	0.18541033434650456	67	61
decontx	primary	GSE174574	GSM5319990	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	329	90	0.2735562310030395	92	90
decontx	primary	GSE174574	GSM5319990	fixed_common_target_edges	magnitude_rank	187	19	0.10160427807486631	23	19
decontx	primary	GSE174574	GSM5319990	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	22	0.11764705882352941	24	22
decontx	primary	GSE174574	GSM5319991	all_reported_target_edges	magnitude_rank	318	71	0.22327044025157233	77	71
decontx	primary	GSE174574	GSM5319991	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	318	99	0.3113207547169811	101	99
decontx	primary	GSE174574	GSM5319991	fixed_common_target_edges	magnitude_rank	187	32	0.1711229946524064	36	32
decontx	primary	GSE174574	GSM5319991	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	33	0.17647058823529413	35	33
decontx	primary	GSE174574	GSM5319992	all_reported_target_edges	magnitude_rank	379	73	0.19261213720316622	77	73
decontx	primary	GSE174574	GSM5319992	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	379	110	0.29023746701846964	114	110
decontx	primary	GSE174574	GSM5319992	fixed_common_target_edges	magnitude_rank	187	19	0.10160427807486631	23	19
decontx	primary	GSE174574	GSM5319992	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	21	0.11229946524064172	25	21
decontx	primary	GSE245386	GSM7841720	all_reported_target_edges	magnitude_rank	608	123	0.20230263157894737	143	123
decontx	primary	GSE245386	GSM7841720	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	608	184	0.3026315789473684	198	184
decontx	primary	GSE245386	GSM7841720	fixed_common_target_edges	magnitude_rank	187	12	0.06417112299465241	14	12
decontx	primary	GSE245386	GSM7841720	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	11	0.058823529411764705	13	11
decontx	primary	GSE245386	GSM7841721	all_reported_target_edges	magnitude_rank	653	117	0.17917304747320062	136	117
decontx	primary	GSE245386	GSM7841721	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	653	178	0.2725880551301684	193	178
decontx	primary	GSE245386	GSM7841721	fixed_common_target_edges	magnitude_rank	187	10	0.053475935828877004	12	10
