count_source	config	metric	n_candidates	n_nonzero_both	n_same_direction	n_zero_discovery	n_zero_validation	same_direction_all_fraction	same_direction_nonzero_fraction	spearman_rho
raw	primary	lr_means	187	187	148	0	0	0.7914438502673797	0.7914438502673797	0.733640413457083
raw	primary	expr_prod	187	187	151	0	0	0.8074866310160428	0.8074866310160428	0.7204787880734238
raw	primary	lrscore	187	187	143	0	0	0.7647058823529411	0.7647058823529411	0.6654099014988507
raw	primary	native_magnitude_priority	187	177	105	9	2	0.5614973262032086	0.5932203389830508	0.2282371264612325
raw	primary	diagnostic_unique_column_priority	187	168	122	18	3	0.6524064171122995	0.7261904761904762	0.518752314279276
raw	reference_singlet	lr_means	174	174	136	0	0	0.7816091954022989	0.7816091954022989	0.7208277238278126
raw	reference_singlet	expr_prod	174	174	127	0	0	0.7298850574712644	0.7298850574712644	0.6599830974493549
raw	reference_singlet	lrscore	174	174	126	0	0	0.7241379310344828	0.7241379310344828	0.6281552756687555
raw	reference_singlet	native_magnitude_priority	174	166	95	8	1	0.5459770114942529	0.572289156626506	0.10245326529039606
raw	reference_singlet	diagnostic_unique_column_priority	174	158	115	15	2	0.6609195402298851	0.7278481012658228	0.5137932807585105
