count_source	config	dataset	sample	universe	metric	n_edges	n_rank_one	rank_one_fraction	n_edges_in_exact_tie_groups	largest_exact_tie_group
raw	primary	GSE174574	GSM5319987	all_reported_target_edges	magnitude_rank	256	46	0.1796875	48	46
raw	primary	GSE174574	GSM5319987	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	256	70	0.2734375	72	70
raw	primary	GSE174574	GSM5319987	fixed_common_target_edges	magnitude_rank	187	34	0.18181818181818182	36	34
raw	primary	GSE174574	GSM5319987	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	40	0.21390374331550802	42	40
raw	primary	GSE174574	GSM5319988	all_reported_target_edges	magnitude_rank	263	48	0.18250950570342206	54	48
raw	primary	GSE174574	GSM5319988	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	263	69	0.2623574144486692	73	69
raw	primary	GSE174574	GSM5319988	fixed_common_target_edges	magnitude_rank	187	31	0.1657754010695187	35	31
raw	primary	GSE174574	GSM5319988	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	32	0.1711229946524064	36	32
raw	primary	GSE174574	GSM5319989	all_reported_target_edges	magnitude_rank	285	55	0.19298245614035087	59	55
raw	primary	GSE174574	GSM5319989	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	285	77	0.27017543859649124	79	77
raw	primary	GSE174574	GSM5319989	fixed_common_target_edges	magnitude_rank	187	26	0.13903743315508021	28	26
raw	primary	GSE174574	GSM5319989	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	30	0.16042780748663102	32	30
raw	primary	GSE174574	GSM5319990	all_reported_target_edges	magnitude_rank	329	62	0.1884498480243161	66	62
raw	primary	GSE174574	GSM5319990	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	329	89	0.270516717325228	95	89
raw	primary	GSE174574	GSM5319990	fixed_common_target_edges	magnitude_rank	187	28	0.1497326203208556	30	28
raw	primary	GSE174574	GSM5319990	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	29	0.15508021390374332	33	29
raw	primary	GSE174574	GSM5319991	all_reported_target_edges	magnitude_rank	318	63	0.19811320754716982	65	63
raw	primary	GSE174574	GSM5319991	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	318	95	0.29874213836477986	99	95
