config	metric	representation	n_candidates	n_nonzero_both	n_same_direction	n_zero_discovery	n_zero_validation	same_direction_all_fraction	same_direction_nonzero_fraction	spearman_rho
primary	custom_score	native_expression	187	187	150	0	0	0.8021390374331551	0.8021390374331551	0.7251363738547578
primary	custom_score	fixed_universe_percentile	187	182	134	3	2	0.7165775401069518	0.7362637362637363	0.6970156320645325
primary	lr_means	native_expression	187	187	148	0	0	0.7914438502673797	0.7914438502673797	0.733640413457083
primary	lr_means	fixed_universe_percentile	187	180	135	6	1	0.7219251336898396	0.75	0.6330834251386128
primary	expr_prod	native_expression	187	187	151	0	0	0.8074866310160428	0.8074866310160428	0.7204787880734238
primary	expr_prod	fixed_universe_percentile	187	182	134	3	2	0.7165775401069518	0.7362637362637363	0.6970156320645325
primary	lrscore	native_expression	187	187	143	0	0	0.7647058823529411	0.7647058823529411	0.6654099014988507
primary	lrscore	fixed_universe_percentile	187	182	134	3	2	0.7165775401069518	0.7362637362637363	0.6970156320645325
primary	magnitude_priority	native_liana_consensus	187	177	105	9	2	0.5614973262032086	0.5932203389830508	0.2282371264612325
reference_singlet	custom_score	native_expression	174	174	127	0	0	0.7298850574712644	0.7298850574712644	0.6945034818798734
reference_singlet	custom_score	fixed_universe_percentile	174	167	127	5	2	0.7298850574712644	0.7604790419161677	0.6887257568625558
reference_singlet	lr_means	native_expression	174	174	136	0	0	0.7816091954022989	0.7816091954022989	0.7208277238278126
reference_singlet	lr_means	fixed_universe_percentile	174	167	128	6	1	0.735632183908046	0.7664670658682635	0.6086172080717807
reference_singlet	expr_prod	native_expression	174	174	127	0	0	0.7298850574712644	0.7298850574712644	0.6599830974493549
reference_singlet	expr_prod	fixed_universe_percentile	174	167	127	5	2	0.7298850574712644	0.7604790419161677	0.6887257568625558
reference_singlet	lrscore	native_expression	174	174	126	0	0	0.7241379310344828	0.7241379310344828	0.6281552756687555
reference_singlet	lrscore	fixed_universe_percentile	174	167	127	5	2	0.7298850574712644	0.7604790419161677	0.6887257568625558
reference_singlet	magnitude_priority	native_liana_consensus	174	166	95	8	1	0.5459770114942529	0.572289156626506	0.10245326529039606
