config	dataset	sample	condition	universe	n_target_edges	n_unique_rank_values	n_edges_in_exact_tie_groups	fraction_edges_in_exact_tie_groups	largest_exact_tie_group	n_edges_in_12decimal_tie_groups	n_native_rank_one	native_rank_one_fraction	n_native_rank_zero	native_rank_zero_fraction	native_rank_min	native_rank_max
primary	GSE174574	GSM5319987	Sham	all_reported_target_edges	256	210	48	0.1875	46	48	46	0.1796875	0	0.0	2.364041285942955e-05	1.0
primary	GSE174574	GSM5319987	Sham	fixed_common_target_edges	187	153	36	0.1925133689839572	34	36	34	0.18181818181818182	0	0.0	2.364041285942955e-05	1.0
primary	GSE174574	GSM5319988	Sham	all_reported_target_edges	263	213	54	0.20532319391634982	48	54	48	0.18250950570342206	0	0.0	2.1057006265377525e-05	1.0
primary	GSE174574	GSM5319988	Sham	fixed_common_target_edges	187	155	35	0.18716577540106952	31	35	31	0.1657754010695187	0	0.0	2.1057006265377525e-05	1.0
primary	GSE174574	GSM5319989	Sham	all_reported_target_edges	285	229	59	0.20701754385964913	55	59	55	0.19298245614035087	0	0.0	2.7834833955167013e-05	1.0
primary	GSE174574	GSM5319989	Sham	fixed_common_target_edges	187	161	28	0.1497326203208556	26	28	26	0.13903743315508021	0	0.0	2.7834833955167013e-05	1.0
primary	GSE174574	GSM5319990	MCAO	all_reported_target_edges	329	266	66	0.2006079027355623	62	66	62	0.1884498480243161	0	0.0	2.9994056958146056e-06	1.0
primary	GSE174574	GSM5319990	MCAO	fixed_common_target_edges	187	159	30	0.16042780748663102	28	30	28	0.1497326203208556	0	0.0	2.9994056958146056e-06	1.0
primary	GSE174574	GSM5319991	MCAO	all_reported_target_edges	318	255	65	0.20440251572327045	63	65	63	0.19811320754716982	0	0.0	4.503375150951805e-06	1.0
primary	GSE174574	GSM5319991	MCAO	fixed_common_target_edges	187	158	31	0.1657754010695187	29	31	29	0.15508021390374332	0	0.0	4.503375150951805e-06	1.0
primary	GSE174574	GSM5319992	MCAO	all_reported_target_edges	379	294	88	0.23218997361477572	84	88	84	0.22163588390501318	0	0.0	1.5495906350066064e-06	1.0
primary	GSE174574	GSM5319992	MCAO	fixed_common_target_edges	187	161	29	0.15508021390374332	25	29	25	0.13368983957219252	0	0.0	1.5495906350066064e-06	1.0
primary	GSE245386	GSM7841720	Sham	all_reported_target_edges	608	488	132	0.21710526315789475	110	132	110	0.18092105263157895	0	0.0	4.4212318880193655e-06	1.0
primary	GSE245386	GSM7841720	Sham	fixed_common_target_edges	187	171	18	0.0962566844919786	16	18	16	0.0855614973262032	0	0.0	4.4212318880193655e-06	1.0
