config	dataset	sample	condition	context_cell_type	n_cells
primary	GSE174574	GSM5319987	Sham	Endothelial	1486
primary	GSE174574	GSM5319987	Sham	Microglia	1291
primary	GSE174574	GSM5319987	Sham	Choroid	432
primary	GSE174574	GSM5319987	Sham	Myeloid	390
primary	GSE174574	GSM5319987	Sham	Smooth_muscle	370
primary	GSE174574	GSM5319987	Sham	Astrocyte	365
primary	GSE174574	GSM5319987	Sham	Oligodendrocyte	235
primary	GSE174574	GSM5319987	Sham	Neutrophil	126
primary	GSE174574	GSM5319987	Sham	Pericyte	110
primary	GSE174574	GSM5319987	Sham	Ependymal	62
primary	GSE174574	GSM5319987	Sham	Fibroblast	51
primary	GSE174574	GSM5319988	Sham	Endothelial	1360
primary	GSE174574	GSM5319988	Sham	Microglia	1275
primary	GSE174574	GSM5319988	Sham	Choroid	425
primary	GSE174574	GSM5319988	Sham	Myeloid	403
primary	GSE174574	GSM5319988	Sham	Smooth_muscle	374
primary	GSE174574	GSM5319988	Sham	Astrocyte	370
primary	GSE174574	GSM5319988	Sham	Oligodendrocyte	234
primary	GSE174574	GSM5319988	Sham	Pericyte	115
primary	GSE174574	GSM5319988	Sham	Neutrophil	110
primary	GSE174574	GSM5319988	Sham	Fibroblast	69
primary	GSE174574	GSM5319988	Sham	Ependymal	59
primary	GSE174574	GSM5319989	Sham	Endothelial	1667
primary	GSE174574	GSM5319989	Sham	Microglia	1432
primary	GSE174574	GSM5319989	Sham	Choroid	466
primary	GSE174574	GSM5319989	Sham	Myeloid	465
primary	GSE174574	GSM5319989	Sham	Astrocyte	463
primary	GSE174574	GSM5319989	Sham	Smooth_muscle	461
primary	GSE174574	GSM5319989	Sham	Oligodendrocyte	252
primary	GSE174574	GSM5319989	Sham	Pericyte	139
primary	GSE174574	GSM5319989	Sham	Neutrophil	125
primary	GSE174574	GSM5319989	Sham	Fibroblast	100
primary	GSE174574	GSM5319989	Sham	Ependymal	86
primary	GSE174574	GSM5319989	Sham	Lymphocyte	30
primary	GSE174574	GSM5319990	MCAO	Endothelial	1961
primary	GSE174574	GSM5319990	MCAO	Myeloid	1340
primary	GSE174574	GSM5319990	MCAO	Microglia	1147
primary	GSE174574	GSM5319990	MCAO	Astrocyte	784
primary	GSE174574	GSM5319990	MCAO	Choroid	709
primary	GSE174574	GSM5319990	MCAO	Smooth_muscle	565
primary	GSE174574	GSM5319990	MCAO	Oligodendrocyte	440
primary	GSE174574	GSM5319990	MCAO	Pericyte	336
primary	GSE174574	GSM5319990	MCAO	Neutrophil	257
primary	GSE174574	GSM5319990	MCAO	Fibroblast	119
primary	GSE174574	GSM5319990	MCAO	Erythroid	113
primary	GSE174574	GSM5319990	MCAO	Ependymal	80
