config	dataset	sample	condition	n_eligible_full_network_rows	n_reported_target_direction_rows	n_context_cells	n_context_types	context_type_names
primary	GSE174574	GSM5319987	Sham	17267	256	4918	11	Astrocyte|Choroid|Endothelial|Ependymal|Fibroblast|Microglia|Myeloid|Neutrophil|Oligodendrocyte|Pericyte|Smooth_muscle
primary	GSE174574	GSM5319988	Sham	19603	263	4794	11	Astrocyte|Choroid|Endothelial|Ependymal|Fibroblast|Microglia|Myeloid|Neutrophil|Oligodendrocyte|Pericyte|Smooth_muscle
primary	GSE174574	GSM5319989	Sham	23300	285	5686	12	Astrocyte|Choroid|Endothelial|Ependymal|Fibroblast|Lymphocyte|Microglia|Myeloid|Neutrophil|Oligodendrocyte|Pericyte|Smooth_muscle
primary	GSE174574	GSM5319990	MCAO	31174	329	7921	13	Astrocyte|Choroid|Endothelial|Ependymal|Erythroid|Fibroblast|Lymphocyte|Microglia|Myeloid|Neutrophil|Oligodendrocyte|Pericyte|Smooth_muscle
primary	GSE174574	GSM5319991	MCAO	28267	318	7628	13	Astrocyte|Choroid|Endothelial|Ependymal|Erythroid|Fibroblast|Lymphocyte|Microglia|Myeloid|Neutrophil|Oligodendrocyte|Pericyte|Smooth_muscle
primary	GSE174574	GSM5319992	MCAO	33735	379	5782	13	Astrocyte|Choroid|Endothelial|Ependymal|Erythroid|Fibroblast|Lymphocyte|Microglia|Myeloid|Neutrophil|Oligodendrocyte|Pericyte|Smooth_muscle
primary	GSE245386	GSM7841720	Sham	64189	608	10135	15	Astrocyte|Choroid|Endothelial|Ependymal|Erythroid|Fibroblast|Lymphocyte|Microglia|Myeloid|Neuron|Neutrophil|OPC|Oligodendrocyte|Pericyte|Smooth_muscle
primary	GSE245386	GSM7841721	Sham	59565	653	7451	13	Astrocyte|Choroid|Endothelial|Ependymal|Erythroid|Fibroblast|Lymphocyte|Microglia|Myeloid|Neuron|Oligodendrocyte|Pericyte|Smooth_muscle
primary	GSE245386	GSM7841722	Sham	57934	667	7045	13	Astrocyte|Choroid|Endothelial|Ependymal|Erythroid|Fibroblast|Lymphocyte|Microglia|Myeloid|Neuron|Oligodendrocyte|Pericyte|Smooth_muscle
primary	GSE245386	GSM7841723	MCAO	77691	751	7266	14	Astrocyte|Choroid|Endothelial|Ependymal|Erythroid|Fibroblast|Microglia|Myeloid|Neuron|Neutrophil|OPC|Oligodendrocyte|Pericyte|Smooth_muscle
primary	GSE245386	GSM7841724	MCAO	61427	694	9592	13	Astrocyte|Endothelial|Ependymal|Erythroid|Fibroblast|Microglia|Myeloid|Neuron|Neutrophil|OPC|Oligodendrocyte|Pericyte|Smooth_muscle
reference_singlet	GSE174574	GSM5319987	Sham	16462	246	4556	11	Astrocyte|Choroid|Endothelial|Ependymal|Fibroblast|Microglia|Myeloid|Neutrophil|Oligodendrocyte|Pericyte|Smooth_muscle
reference_singlet	GSE174574	GSM5319988	Sham	18777	271	4399	11	Astrocyte|Choroid|Endothelial|Ependymal|Fibroblast|Microglia|Myeloid|Neutrophil|Oligodendrocyte|Pericyte|Smooth_muscle
reference_singlet	GSE174574	GSM5319989	Sham	22042	272	5222	12	Astrocyte|Choroid|Endothelial|Ependymal|Fibroblast|Lymphocyte|Microglia|Myeloid|Neutrophil|Oligodendrocyte|Pericyte|Smooth_muscle
reference_singlet	GSE174574	GSM5319990	MCAO	29561	327	7071	13	Astrocyte|Choroid|Endothelial|Ependymal|Erythroid|Fibroblast|Lymphocyte|Microglia|Myeloid|Neutrophil|Oligodendrocyte|Pericyte|Smooth_muscle
reference_singlet	GSE174574	GSM5319991	MCAO	26847	278	6777	13	Astrocyte|Choroid|Endothelial|Ependymal|Erythroid|Fibroblast|Lymphocyte|Microglia|Myeloid|Neutrophil|Oligodendrocyte|Pericyte|Smooth_muscle
reference_singlet	GSE174574	GSM5319992	MCAO	31153	365	5253	13	Astrocyte|Choroid|Endothelial|Ependymal|Erythroid|Fibroblast|Lymphocyte|Microglia|Myeloid|Neutrophil|Oligodendrocyte|Pericyte|Smooth_muscle
reference_singlet	GSE245386	GSM7841720	Sham	64301	619	9545	15	Astrocyte|Choroid|Endothelial|Ependymal|Erythroid|Fibroblast|Lymphocyte|Microglia|Myeloid|Neuron|Neutrophil|OPC|Oligodendrocyte|Pericyte|Smooth_muscle
reference_singlet	GSE245386	GSM7841721	Sham	56411	654	7080	13	Astrocyte|Choroid|Endothelial|Ependymal|Erythroid|Fibroblast|Lymphocyte|Microglia|Myeloid|Neuron|Oligodendrocyte|Pericyte|Smooth_muscle
reference_singlet	GSE245386	GSM7841722	Sham	55019	670	6701	13	Astrocyte|Choroid|Endothelial|Ependymal|Erythroid|Fibroblast|Lymphocyte|Microglia|Myeloid|Neuron|Oligodendrocyte|Pericyte|Smooth_muscle
reference_singlet	GSE245386	GSM7841723	MCAO	74478	810	6827	14	Astrocyte|Choroid|Endothelial|Ependymal|Erythroid|Fibroblast|Microglia|Myeloid|Neuron|Neutrophil|OPC|Oligodendrocyte|Pericyte|Smooth_muscle
reference_singlet	GSE245386	GSM7841724	MCAO	58042	682	8988	13	Astrocyte|Endothelial|Ependymal|Erythroid|Fibroblast|Microglia|Myeloid|Neuron|Neutrophil|OPC|Oligodendrocyte|Pericyte|Smooth_muscle
