config	dataset	sample	scope	n_edges	unique_rank_vectors_equal	upstream_vs_legacy_unique_bitwise_equal	max_abs_upstream_vs_legacy_unique	n_difference_gt_1e12	n_difference_gt_1e6	float32_rankdata_dtype	float64_rankdata_dtype	legacy_float64_vs_upstream_float64_bitwise_equal	max_abs_upstream_float32_vs_float64
primary	GSE174574	GSM5319987	complete_full_network	17267	True	True	0.0	0	0	float32	float64	True	1.26239441344822e-07
primary	GSE174574	GSM5319987	fixed_target_set	187	True	True	0.0	0	0	float32	float64	True	1.1531499055639216e-07
primary	GSE174574	GSM5319988	complete_full_network	19603	True	True	0.0	0	0	float32	float64	True	1.2734405130387927e-07
primary	GSE174574	GSM5319988	fixed_target_set	187	True	True	0.0	0	0	float32	float64	True	1.121242341195483e-07
primary	GSE174574	GSM5319989	complete_full_network	23300	True	True	0.0	0	0	float32	float64	True	1.278151857686538e-07
primary	GSE174574	GSM5319989	fixed_target_set	187	True	True	0.0	0	0	float32	float64	True	1.016208607262925e-07
primary	GSE174574	GSM5319990	complete_full_network	31174	True	True	0.0	0	0	float32	float64	True	1.282874095842601e-07
primary	GSE174574	GSM5319990	fixed_target_set	187	True	True	0.0	0	0	float32	float64	True	1.0131245886668694e-07
primary	GSE174574	GSM5319991	complete_full_network	28267	True	True	0.0	0	0	float32	float64	True	1.2769823154457072e-07
primary	GSE174574	GSM5319991	fixed_target_set	187	True	True	0.0	0	0	float32	float64	True	1.0658601112822907e-07
primary	GSE174574	GSM5319992	complete_full_network	33735	True	True	0.0	0	0	float32	float64	True	1.2739414279039352e-07
primary	GSE174574	GSM5319992	fixed_target_set	187	True	True	0.0	0	0	float32	float64	True	1.1688979306700986e-07
primary	GSE245386	GSM7841720	complete_full_network	64189	True	True	0.0	0	0	float32	float64	True	1.2677831007223972e-07
primary	GSE245386	GSM7841720	fixed_target_set	187	True	True	0.0	0	0	float32	float64	True	9.42115967461632e-08
primary	GSE245386	GSM7841721	complete_full_network	59565	True	True	0.0	0	0	float32	float64	True	1.2710410357552604e-07
primary	GSE245386	GSM7841721	fixed_target_set	187	True	True	0.0	0	0	float32	float64	True	1.0529319616203736e-07
primary	GSE245386	GSM7841722	complete_full_network	57934	True	True	0.0	0	0	float32	float64	True	1.2743244359736394e-07
primary	GSE245386	GSM7841722	fixed_target_set	187	True	True	0.0	0	0	float32	float64	True	1.2225682544109162e-07
primary	GSE245386	GSM7841723	complete_full_network	77691	True	True	0.0	0	0	float32	float64	True	1.2789354908449013e-07
primary	GSE245386	GSM7841723	fixed_target_set	187	True	True	0.0	0	0	float32	float64	True	1.1122026999377255e-07
primary	GSE245386	GSM7841724	complete_full_network	61427	True	True	0.0	0	0	float32	float64	True	1.2833837259584868e-07
primary	GSE245386	GSM7841724	fixed_target_set	187	True	True	0.0	0	0	float32	float64	True	1.0693240126702364e-07
reference_singlet	GSE174574	GSM5319987	complete_full_network	16462	True	True	0.0	0	0	float32	float64	True	1.2638344049076267e-07
reference_singlet	GSE174574	GSM5319987	fixed_target_set	174	True	True	0.0	0	0	float32	float64	True	1.0235571945571564e-07
reference_singlet	GSE174574	GSM5319988	complete_full_network	18777	True	True	0.0	0	0	float32	float64	True	1.2611634725434584e-07
reference_singlet	GSE174574	GSM5319988	fixed_target_set	174	True	True	0.0	0	0	float32	float64	True	1.100694304589922e-07
reference_singlet	GSE174574	GSM5319989	complete_full_network	22042	True	True	0.0	0	0	float32	float64	True	1.2767316082129554e-07
reference_singlet	GSE174574	GSM5319989	fixed_target_set	174	True	True	0.0	0	0	float32	float64	True	1.2198733712054377e-07
reference_singlet	GSE174574	GSM5319990	complete_full_network	29561	True	True	0.0	0	0	float32	float64	True	1.270099594385954e-07
reference_singlet	GSE174574	GSM5319990	fixed_target_set	174	True	True	0.0	0	0	float32	float64	True	1.062675999419227e-07
reference_singlet	GSE174574	GSM5319991	complete_full_network	26847	True	True	0.0	0	0	float32	float64	True	1.2838375973434069e-07
reference_singlet	GSE174574	GSM5319991	fixed_target_set	174	True	True	0.0	0	0	float32	float64	True	1.0871665578893186e-07
reference_singlet	GSE174574	GSM5319992	complete_full_network	31153	True	True	0.0	0	0	float32	float64	True	1.278350814093443e-07
reference_singlet	GSE174574	GSM5319992	fixed_target_set	174	True	True	0.0	0	0	float32	float64	True	1.146272849972263e-07
reference_singlet	GSE245386	GSM7841720	complete_full_network	64301	True	True	0.0	0	0	float32	float64	True	1.272437382127123e-07
reference_singlet	GSE245386	GSM7841720	fixed_target_set	174	True	True	0.0	0	0	float32	float64	True	9.715436810608935e-08
reference_singlet	GSE245386	GSM7841721	complete_full_network	56411	True	True	0.0	0	0	float32	float64	True	1.275553205282165e-07
reference_singlet	GSE245386	GSM7841721	fixed_target_set	174	True	True	0.0	0	0	float32	float64	True	8.479480229084402e-08
reference_singlet	GSE245386	GSM7841722	complete_full_network	55019	True	True	0.0	0	0	float32	float64	True	1.2789501491194954e-07
reference_singlet	GSE245386	GSM7841722	fixed_target_set	174	True	True	0.0	0	0	float32	float64	True	1.0611587808462275e-07
reference_singlet	GSE245386	GSM7841723	complete_full_network	74478	True	True	0.0	0	0	float32	float64	True	1.2798810122838233e-07
reference_singlet	GSE245386	GSM7841723	fixed_target_set	174	True	True	0.0	0	0	float32	float64	True	9.433516023893418e-08
reference_singlet	GSE245386	GSM7841724	complete_full_network	58042	True	True	0.0	0	0	float32	float64	True	1.2577260755097797e-07
reference_singlet	GSE245386	GSM7841724	fixed_target_set	174	True	True	0.0	0	0	float32	float64	True	1.250992931467465e-07
