sender	receiver	ligand	receptor	component_role	cell_type	gene	sample	condition	gene_in_submitted_features	mean_logcp10k	detection_fraction
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	ligand	Astrocyte	Spp1	GSM9755192	MCAO	True	0.082953205058725	0.054054054054054
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	ligand	Astrocyte	Spp1	GSM9755194	MCAO	True	0.1968903101344022	0.117003367003367
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	ligand	Astrocyte	Spp1	GSM9755196	MCAO	True	0.04102142838442	0.0239520958083832
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	ligand	Astrocyte	Spp1	GSM9755210	Sham	True	0.0374025417843931	0.0198216055500495
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	ligand	Astrocyte	Spp1	GSM9755212	Sham	True	0.0030838751966136	0.0015885623510722
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	ligand	Astrocyte	Spp1	GSM9755214	Sham	True	0.0148245311990947	0.0088626292466765
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itga5	GSM9755192	MCAO	True	0.1096107233889204	0.108433734939759
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itga5	GSM9755194	MCAO	True	0.1704161949815008	0.1451612903225806
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itga5	GSM9755196	MCAO	True	0.0570545798810888	0.0491803278688524
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itga5	GSM9755210	Sham	True	0.0708318073949151	0.055813953488372
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itga5	GSM9755212	Sham	True	0.057231642644815	0.0492610837438423
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itga5	GSM9755214	Sham	True	0.0415711965299073	0.0266666666666666
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itgb1	GSM9755192	MCAO	True	1.0336676473675823	0.6024096385542169
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itgb1	GSM9755194	MCAO	True	1.0861177083564124	0.5806451612903226
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itgb1	GSM9755196	MCAO	True	0.9393017882997868	0.5327868852459017
