sender	receiver	ligand	receptor	dataset	sample	condition	score	ligand_logexpr	receptor_logexpr	ligand_detection	receptor_detection	sample_both_detected_10
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE332910	GSM9755192	MCAO	0.09535492023968296	0.082953205058725	0.1096107233889204	0.054054054054054	0.108433734939759	False
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE332910	GSM9755194	MCAO	0.1831755919379884	0.1968903101344022	0.1704161949815008	0.117003367003367	0.1451612903225806	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE332910	GSM9755196	MCAO	0.048378304668469464	0.04102142838442	0.0570545798810888	0.0239520958083832	0.0491803278688524	False
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE332910	GSM9755210	Sham	0.051471250574980164	0.0374025417843931	0.0708318073949151	0.0198216055500495	0.055813953488372	False
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE332910	GSM9755212	Sham	0.013285151230369873	0.0030838751966136	0.057231642644815	0.0015885623510722	0.0492610837438423	False
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE332910	GSM9755214	Sham	0.024824856493871384	0.0148245311990947	0.0415711965299073	0.0088626292466765	0.0266666666666666	False
Astrocyte	Endothelial	Timp3	Kdr	GSE332910	GSM9755192	MCAO	0.9720224033663909	0.8123835592315537	1.1630313561981755	0.4478764478764478	0.6265060240963856	True
Astrocyte	Endothelial	Timp3	Kdr	GSE332910	GSM9755194	MCAO	0.847302407241388	0.6676836200401074	1.0752418477390917	0.3493265993265993	0.5766129032258065	True
Astrocyte	Endothelial	Timp3	Kdr	GSE332910	GSM9755196	MCAO	0.705593168550352	0.5692107631783403	0.8746526800107954	0.3073852295409182	0.4754098360655737	True
Astrocyte	Endothelial	Timp3	Kdr	GSE332910	GSM9755210	Sham	0.9591757504457615	0.7402589004174897	1.242832905790555	0.379583746283449	0.6232558139534884	True
Astrocyte	Endothelial	Timp3	Kdr	GSE332910	GSM9755212	Sham	0.7699065979664664	0.488772590009807	1.2127442939883448	0.2581413820492454	0.6108374384236454	True
Astrocyte	Endothelial	Timp3	Kdr	GSE332910	GSM9755214	Sham	0.6659094730343526	0.5542427231279212	0.8000744218603708	0.2466765140324963	0.4133333333333333	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE332910	GSM9755192	MCAO	1.7726470253194975	1.4144155132947516	2.221608464300858	0.6827309236947792	0.8177606177606178	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE332910	GSM9755194	MCAO	1.5841963545500477	1.104614422132064	2.2719946793068506	0.6209677419354839	0.8072390572390572	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE332910	GSM9755196	MCAO	1.6543433810213597	1.414438827864274	1.9349384140293164	0.6721311475409836	0.7065868263473054	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE332910	GSM9755210	Sham	1.9618345386391998	1.973754644558162	1.9499864218732517	0.8651162790697674	0.7294350842418236	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE332910	GSM9755212	Sham	1.7111295287451662	1.760601579022828	1.6630476190807109	0.7881773399014779	0.6465448768864178	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE332910	GSM9755214	Sham	1.3503909292258653	0.9194918678241673	1.983221087153988	0.4666666666666667	0.6942392909896603	True
Endothelial	Astrocyte	Plat	Lrp1	GSE332910	GSM9755192	MCAO	1.0327365266523303	1.1862876668613491	0.8990607955183055	0.5783132530120482	0.518918918918919	True
Endothelial	Astrocyte	Plat	Lrp1	GSE332910	GSM9755194	MCAO	1.0395786266859672	1.047556539715123	1.0316614713284864	0.5685483870967742	0.5269360269360269	True
Endothelial	Astrocyte	Plat	Lrp1	GSE332910	GSM9755196	MCAO	0.7287434893400443	0.6432485358256022	0.8256016822080825	0.4180327868852459	0.4550898203592814	True
Endothelial	Astrocyte	Plat	Lrp1	GSE332910	GSM9755210	Sham	0.855011438212415	0.776846931026057	0.9410406738796032	0.5023255813953489	0.4925668979187314	True
Endothelial	Astrocyte	Plat	Lrp1	GSE332910	GSM9755212	Sham	0.6448544885427178	0.6107124334525628	0.680905265089859	0.3940886699507389	0.3669579030976966	True
Endothelial	Astrocyte	Plat	Lrp1	GSE332910	GSM9755214	Sham	0.46668227727204853	0.2562985225038692	0.8497604504003229	0.16	0.3781388478581979	True
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE332910	GSM9755192	MCAO	0.10495470226051602	0.0996120080662868	0.1105839520799873	0.0741312741312741	0.108433734939759	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE332910	GSM9755194	MCAO	0.09528410546247436	0.1160530296750791	0.0782320011739732	0.0732323232323232	0.0887096774193548	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE332910	GSM9755196	MCAO	0.09059072485690801	0.0738082500040824	0.1111891886021697	0.0499001996007984	0.1147540983606557	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE332910	GSM9755210	Sham	0.03853063643249785	0.0731571325810923	0.0202934408650816	0.0465807730426164	0.0186046511627906	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE332910	GSM9755212	Sham	0.047199427312879724	0.0791739494147913	0.0281378654864427	0.051628276409849	0.0246305418719211	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE332910	GSM9755214	Sham	0.07331737695699225	0.0647028005675807	0.0830789041077004	0.0324963072378138	0.04	False
