baseline_dataset	dataset	sample	universe	metric	n_edges	n_rank_one	rank_one_fraction	n_edges_in_exact_tie_groups	largest_exact_tie_group
GSE174574	GSE174574	GSM5319987	pairwise_complete	magnitude_rank	99	11	0.1111111111111111	13	11
GSE174574	GSE174574	GSM5319987	pairwise_complete	diagnostic_unique_column_magnitude_rank	99	13	0.13131313131313133	15	13
GSE174574	GSE174574	GSM5319988	pairwise_complete	magnitude_rank	99	9	0.09090909090909091	11	9
GSE174574	GSE174574	GSM5319988	pairwise_complete	diagnostic_unique_column_magnitude_rank	99	9	0.09090909090909091	11	9
GSE174574	GSE174574	GSM5319989	pairwise_complete	magnitude_rank	99	7	0.0707070707070707	9	7
GSE174574	GSE174574	GSM5319989	pairwise_complete	diagnostic_unique_column_magnitude_rank	99	7	0.0707070707070707	9	7
GSE174574	GSE174574	GSM5319990	pairwise_complete	magnitude_rank	99	10	0.10101010101010101	12	10
GSE174574	GSE174574	GSM5319990	pairwise_complete	diagnostic_unique_column_magnitude_rank	99	10	0.10101010101010101	14	10
GSE174574	GSE174574	GSM5319991	pairwise_complete	magnitude_rank	99	10	0.10101010101010101	12	10
GSE174574	GSE174574	GSM5319991	pairwise_complete	diagnostic_unique_column_magnitude_rank	99	12	0.12121212121212122	14	12
GSE174574	GSE174574	GSM5319992	pairwise_complete	magnitude_rank	99	10	0.10101010101010101	14	10
GSE174574	GSE174574	GSM5319992	pairwise_complete	diagnostic_unique_column_magnitude_rank	99	8	0.08080808080808081	12	8
GSE174574	GSE332910	GSM9755192	pairwise_complete	magnitude_rank	99	1	0.010101010101010102	2	2
GSE174574	GSE332910	GSM9755192	pairwise_complete	diagnostic_unique_column_magnitude_rank	99	0	0.0	2	2
GSE174574	GSE332910	GSM9755194	pairwise_complete	magnitude_rank	99	3	0.030303030303030304	7	3
GSE174574	GSE332910	GSM9755194	pairwise_complete	diagnostic_unique_column_magnitude_rank	99	2	0.020202020202020204	6	2
GSE174574	GSE332910	GSM9755196	pairwise_complete	magnitude_rank	99	3	0.030303030303030304	5	3
GSE174574	GSE332910	GSM9755196	pairwise_complete	diagnostic_unique_column_magnitude_rank	99	2	0.020202020202020204	4	2
GSE174574	GSE332910	GSM9755210	pairwise_complete	magnitude_rank	99	4	0.04040404040404041	6	4
GSE174574	GSE332910	GSM9755210	pairwise_complete	diagnostic_unique_column_magnitude_rank	99	3	0.030303030303030304	5	3
GSE174574	GSE332910	GSM9755212	pairwise_complete	magnitude_rank	99	9	0.09090909090909091	11	9
GSE174574	GSE332910	GSM9755212	pairwise_complete	diagnostic_unique_column_magnitude_rank	99	5	0.050505050505050504	7	5
GSE174574	GSE332910	GSM9755214	pairwise_complete	magnitude_rank	99	14	0.1414141414141414	16	14
GSE174574	GSE332910	GSM9755214	pairwise_complete	diagnostic_unique_column_magnitude_rank	99	21	0.21212121212121213	23	21
GSE174574	GSE174574	GSM5319987	all_three_cohorts_complete	magnitude_rank	99	11	0.1111111111111111	13	11
GSE174574	GSE174574	GSM5319987	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	13	0.13131313131313133	15	13
GSE174574	GSE174574	GSM5319988	all_three_cohorts_complete	magnitude_rank	99	9	0.09090909090909091	11	9
GSE174574	GSE174574	GSM5319988	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	9	0.09090909090909091	11	9
GSE174574	GSE174574	GSM5319989	all_three_cohorts_complete	magnitude_rank	99	7	0.0707070707070707	9	7
GSE174574	GSE174574	GSM5319989	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	7	0.0707070707070707	9	7
GSE174574	GSE174574	GSM5319990	all_three_cohorts_complete	magnitude_rank	99	10	0.10101010101010101	12	10
GSE174574	GSE174574	GSM5319990	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	10	0.10101010101010101	14	10
GSE174574	GSE174574	GSM5319991	all_three_cohorts_complete	magnitude_rank	99	10	0.10101010101010101	12	10
GSE174574	GSE174574	GSM5319991	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	12	0.12121212121212122	14	12
GSE174574	GSE174574	GSM5319992	all_three_cohorts_complete	magnitude_rank	99	10	0.10101010101010101	14	10
GSE174574	GSE174574	GSM5319992	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	8	0.08080808080808081	12	8
GSE174574	GSE332910	GSM9755192	all_three_cohorts_complete	magnitude_rank	99	1	0.010101010101010102	2	2
GSE174574	GSE332910	GSM9755192	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	0	0.0	2	2
GSE174574	GSE332910	GSM9755194	all_three_cohorts_complete	magnitude_rank	99	3	0.030303030303030304	7	3
GSE174574	GSE332910	GSM9755194	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	2	0.020202020202020204	6	2
GSE174574	GSE332910	GSM9755196	all_three_cohorts_complete	magnitude_rank	99	3	0.030303030303030304	5	3
GSE174574	GSE332910	GSM9755196	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	2	0.020202020202020204	4	2
GSE174574	GSE332910	GSM9755210	all_three_cohorts_complete	magnitude_rank	99	4	0.04040404040404041	6	4
GSE174574	GSE332910	GSM9755210	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	3	0.030303030303030304	5	3
GSE174574	GSE332910	GSM9755212	all_three_cohorts_complete	magnitude_rank	99	9	0.09090909090909091	11	9
GSE174574	GSE332910	GSM9755212	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	5	0.050505050505050504	7	5
GSE174574	GSE332910	GSM9755214	all_three_cohorts_complete	magnitude_rank	99	14	0.1414141414141414	16	14
GSE174574	GSE332910	GSM9755214	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	21	0.21212121212121213	23	21
GSE245386	GSE245386	GSM7841720	pairwise_complete	magnitude_rank	187	7	0.0374331550802139	11	7
GSE245386	GSE245386	GSM7841720	pairwise_complete	diagnostic_unique_column_magnitude_rank	187	7	0.0374331550802139	11	7
GSE245386	GSE245386	GSM7841721	pairwise_complete	magnitude_rank	187	7	0.0374331550802139	15	7
GSE245386	GSE245386	GSM7841721	pairwise_complete	diagnostic_unique_column_magnitude_rank	187	2	0.0106951871657754	8	2
GSE245386	GSE245386	GSM7841722	pairwise_complete	magnitude_rank	187	12	0.06417112299465241	16	12
