config	metric	statistic	test_family	observed	null_mean	null_median	null_q025	null_q975	n_allocations	n_greater_or_equal_observed	exact_upper_tail_p	observed_n_candidates	null_n_candidates_min	null_n_candidates_max	holm_adjusted_p	n_tests_in_family
primary	custom_score	same_direction_all_fraction	A_fixed_common_metrics	0.8021390374331551	0.5	0.5	0.2513368983957219	0.7486631016042781	200	2	0.01	187	187	187	0.25	30
primary	lr_means	same_direction_all_fraction	A_fixed_common_metrics	0.7914438502673797	0.5	0.5	0.2298128342245989	0.770187165775401	200	2	0.01	187	187	187	0.25	30
primary	expr_prod	same_direction_all_fraction	A_fixed_common_metrics	0.8074866310160428	0.5	0.5	0.2565508021390374	0.7434491978609625	200	2	0.01	187	187	187	0.25	30
primary	lrscore	same_direction_all_fraction	A_fixed_common_metrics	0.7647058823529411	0.5	0.5	0.2671122994652407	0.7328877005347595	200	2	0.01	187	187	187	0.25	30
primary	magnitude_priority	same_direction_all_fraction	A_fixed_common_metrics	0.5614973262032086	0.4732620320855615	0.4732620320855615	0.3474598930481283	0.5990641711229946	200	29	0.145	187	187	187	0.75	30
reference_singlet	custom_score	same_direction_all_fraction	A_fixed_common_metrics	0.7298850574712644	0.5	0.5	0.2758620689655172	0.7241379310344828	200	4	0.02	174	174	174	0.3	30
reference_singlet	lr_means	same_direction_all_fraction	A_fixed_common_metrics	0.7816091954022989	0.5	0.5	0.2241379310344827	0.7758620689655172	200	4	0.02	174	174	174	0.3	30
reference_singlet	expr_prod	same_direction_all_fraction	A_fixed_common_metrics	0.7298850574712644	0.5	0.5	0.2757183908045977	0.7242816091954023	200	5	0.025	174	174	174	0.3	30
reference_singlet	lrscore	same_direction_all_fraction	A_fixed_common_metrics	0.7241379310344828	0.5	0.5	0.2814655172413793	0.7185344827586206	200	5	0.025	174	174	174	0.3	30
reference_singlet	magnitude_priority	same_direction_all_fraction	A_fixed_common_metrics	0.5459770114942529	0.4770114942528735	0.4770114942528735	0.3563218390804598	0.5977011494252874	200	45	0.225	174	174	174	0.75	30
primary	custom_score	same_direction_nonzero_fraction	A_fixed_common_metrics	0.8021390374331551	0.5	0.5	0.2513368983957219	0.7486631016042781	200	2	0.01	187	187	187	0.25	30
primary	lr_means	same_direction_nonzero_fraction	A_fixed_common_metrics	0.7914438502673797	0.5	0.5	0.2298128342245989	0.770187165775401	200	2	0.01	187	187	187	0.25	30
primary	expr_prod	same_direction_nonzero_fraction	A_fixed_common_metrics	0.8074866310160428	0.5	0.5	0.2565508021390374	0.7434491978609625	200	2	0.01	187	187	187	0.25	30
primary	lrscore	same_direction_nonzero_fraction	A_fixed_common_metrics	0.7647058823529411	0.5	0.5	0.2671122994652407	0.7328877005347595	200	2	0.01	187	187	187	0.25	30
primary	magnitude_priority	same_direction_nonzero_fraction	A_fixed_common_metrics	0.5932203389830508	0.5	0.5	0.367090395480226	0.6329096045197741	200	29	0.145	187	187	187	0.75	30
reference_singlet	custom_score	same_direction_nonzero_fraction	A_fixed_common_metrics	0.7298850574712644	0.5	0.5	0.2758620689655172	0.7241379310344828	200	4	0.02	174	174	174	0.3	30
reference_singlet	lr_means	same_direction_nonzero_fraction	A_fixed_common_metrics	0.7816091954022989	0.5	0.5	0.2241379310344827	0.7758620689655172	200	4	0.02	174	174	174	0.3	30
reference_singlet	expr_prod	same_direction_nonzero_fraction	A_fixed_common_metrics	0.7298850574712644	0.5	0.5	0.2757183908045977	0.7242816091954023	200	5	0.025	174	174	174	0.3	30
reference_singlet	lrscore	same_direction_nonzero_fraction	A_fixed_common_metrics	0.7241379310344828	0.5	0.5	0.2814655172413793	0.7185344827586206	200	5	0.025	174	174	174	0.3	30
