config	allocation_id	discovery_allocation	validation_allocation	is_observed	metric	gate	n_candidates	n_nonzero_both	n_zero_discovery	n_zero_validation	n_same_direction	same_direction_all_fraction	same_direction_nonzero_fraction	spearman_rho
primary	0	0	0	False	custom_score	0.1	322	322	0	0	244	0.7577639751552795	0.7577639751552795	0.684588593035627
primary	1	0	1	False	custom_score	0.1	323	323	0	0	241	0.7461300309597523	0.7461300309597523	0.6776250226349161
primary	2	0	2	False	custom_score	0.1	312	312	0	0	108	0.3461538461538461	0.3461538461538461	-0.499172533280915
primary	3	0	3	False	custom_score	0.1	312	312	0	0	166	0.532051282051282	0.532051282051282	-0.0505565669366939
primary	4	0	4	False	custom_score	0.1	324	324	0	0	242	0.7469135802469136	0.7469135802469136	0.7085072651349553
primary	5	0	5	False	custom_score	0.1	311	311	0	0	80	0.2572347266881029	0.2572347266881029	-0.6443928662827958
primary	6	0	6	False	custom_score	0.1	311	311	0	0	170	0.5466237942122186	0.5466237942122186	0.157290010869047
primary	7	0	7	False	custom_score	0.1	310	310	0	0	85	0.2741935483870967	0.2741935483870967	-0.6103312028686553
primary	8	0	8	False	custom_score	0.1	312	312	0	0	165	0.5288461538461539	0.5288461538461539	0.1190961380606045
primary	9	0	9	False	custom_score	0.1	323	323	0	0	65	0.2012383900928792	0.2012383900928792	-0.7427882976103759
primary	10	1	0	False	custom_score	0.1	322	322	0	0	235	0.7298136645962733	0.7298136645962733	0.5902726658423672
primary	11	1	1	False	custom_score	0.1	324	324	0	0	235	0.7253086419753086	0.7253086419753086	0.5567352997160345
primary	12	1	2	False	custom_score	0.1	312	312	0	0	111	0.3557692307692308	0.3557692307692308	-0.49805120079971
primary	13	1	3	False	custom_score	0.1	313	313	0	0	152	0.4856230031948881	0.4856230031948881	-0.1027939036481176
primary	14	1	4	False	custom_score	0.1	324	324	0	0	235	0.7253086419753086	0.7253086419753086	0.6534916873491371
primary	15	1	5	False	custom_score	0.1	312	312	0	0	100	0.3205128205128205	0.3205128205128205	-0.5305145268464896
primary	16	1	6	False	custom_score	0.1	311	311	0	0	164	0.5273311897106109	0.5273311897106109	0.2067167479268724
primary	17	1	7	False	custom_score	0.1	310	310	0	0	101	0.3258064516129032	0.3258064516129032	-0.5248745547433555
primary	18	1	8	False	custom_score	0.1	313	313	0	0	160	0.5111821086261981	0.5111821086261981	0.1343146671968001
primary	19	1	9	False	custom_score	0.1	323	323	0	0	75	0.2321981424148606	0.2321981424148606	-0.6436251974824098
primary	20	2	0	False	custom_score	0.1	320	320	0	0	238	0.74375	0.74375	0.6449659502838072
primary	21	2	1	False	custom_score	0.1	322	322	0	0	234	0.7267080745341615	0.7267080745341615	0.6154214710872129
primary	22	2	2	False	custom_score	0.1	310	310	0	0	136	0.4387096774193548	0.4387096774193548	-0.442038188851253
primary	23	2	3	False	custom_score	0.1	311	311	0	0	165	0.5305466237942122	0.5305466237942122	-0.082038066997133
primary	24	2	4	False	custom_score	0.1	322	322	0	0	215	0.6677018633540373	0.6677018633540373	0.6521803203266527
