cell_type	gene	pool_pair	paired_log2_difference	control_author_normalized	stroke_author_normalized
Astrocyte	Spp1	1	3.6042943422859093	382	4657
Astrocyte	Spp1	2	4.157047005854748	1962	35019
Astrocyte	Spp1	3	6.967915022160412	340	42687
Astrocyte	Spp1	4	4.793052338933881	390	10839
Astrocyte	Spp1	5	0.35088235943439017	1321	1685
Astrocyte	Spp1	6	0.38545323267257636	1243	1624
Astrocyte	Timp3	1	-0.35654774246058984	12430	9708
Astrocyte	Timp3	2	-0.5585725199759004	8612	5847
Astrocyte	Timp3	3	-1.1558535774460115	11171	5013
Astrocyte	Timp3	4	-1.2077198104471112	8836	3825
Astrocyte	Timp3	5	-0.3823685857297132	15805	12125
Astrocyte	Timp3	6	-0.45311910329169613	12513	9140
Astrocyte	Ptprz1	1	0.2892316348171615	8585	10491
Astrocyte	Ptprz1	2	-0.5030596330505865	7309	5157
Astrocyte	Ptprz1	3	-1.0745803262942104	9824	4664
Astrocyte	Ptprz1	4	-0.6592620553378783	6095	3859
Astrocyte	Ptprz1	5	-0.14527144113969825	12234	11062
Astrocyte	Ptprz1	6	0.0309533810407423	7515	7678
Astrocyte	Lrp1	1	-0.27323544802050037	11637	9629
Astrocyte	Lrp1	2	0.29324773273022053	5811	7121
Astrocyte	Lrp1	3	-0.11369426364280066	6940	6414
Astrocyte	Lrp1	4	-0.7680393525969542	5130	3012
Astrocyte	Lrp1	5	-0.05129029120164752	7758	7487
Astrocyte	Lrp1	6	0.48863086195353667	4561	6400
Astrocyte	Col4a1	1	0.1549013951137752	546	608
Astrocyte	Col4a1	2	0.38138710983692725	1387	1807
Astrocyte	Col4a1	3	1.2040916045935042	305	704
Astrocyte	Col4a1	4	2.006999989671181	256	1032
Astrocyte	Col4a1	5	-0.2929296951892013	2437	1989
Astrocyte	Col4a1	6	0.7341148620466313	1924	3201
Endothelial	Itga5	1	-1.7806869715955251	669	194
Endothelial	Itga5	2	5.379322100811202	76	3204
Endothelial	Itga5	3	1.3713801453567473	1169	3026
Endothelial	Itga5	4	0.5731853329448029	1721	2561
Endothelial	Itga5	5	1.7487497160135312	1011	3400
Endothelial	Itga5	6	1.6223038292811705	1016	3130
Endothelial	Itgb1	1	-0.12359251819457029	7234	6640
Endothelial	Itgb1	2	0.8985232421403975	5763	10744
Endothelial	Itgb1	3	0.22062580797799036	9688	11289
Endothelial	Itgb1	4	0.1946879707990572	8291	9489
Endothelial	Itgb1	5	0.47715734754173944	8897	12385
Endothelial	Itgb1	6	0.5800457216715884	7641	11423
Endothelial	Kdr	1	-0.898574745247867	5340	2864
Endothelial	Kdr	2	0.4945788115277949	3254	4585
Endothelial	Kdr	3	-0.6335499940231486	5404	3483
Endothelial	Kdr	4	0.8300749985576878	2573	4575
Endothelial	Kdr	5	0.20603456119869712	7855	9061
Endothelial	Kdr	6	0.1969546471903847	5974	6848
Endothelial	Ptn	1	-0.48872129498501415	3594	2561
Endothelial	Ptn	2	-3.0983171633013775	9805	1144
Endothelial	Ptn	3	-2.400263809301526	3367	637
Endothelial	Ptn	4	-1.6163304186908185	4230	1379
Endothelial	Ptn	5	-1.6339842656674204	4878	1571
Endothelial	Ptn	6	-2.3555197181487237	4344	848
Endothelial	Plat	1	-0.23041017803732977	28839	24582
Endothelial	Plat	2	1.1773741112547818	8885	20096
Endothelial	Plat	3	-1.0700636998478341	27908	13292
Endothelial	Plat	4	0.028372584689465796	16262	16585
Endothelial	Plat	5	0.10546481719551615	27438	29519
Endothelial	Plat	6	-0.2709888139379011	33827	28034
Endothelial	Itga3	1	-1.3932553543585868	1730	658
Endothelial	Itga3	2	4.032955710263151	164	2700
Endothelial	Itga3	3	0.10696915560182241	1909	2056
Endothelial	Itga3	4	-0.040627119857619576	2772	2695
Endothelial	Itga3	5	0.8423795084608088	1400	2511
Endothelial	Itga3	6	0.6867798369979887	1403	2259
