source	target	ligand	receptor	GSE174574	GSE245386	all_11_native_strength_zero	metric
Astrocyte	Endothelial	Lamb2	Dag1	-0.03502289858219623	0.002927219286505106	True	custom_coavailability
Astrocyte	Endothelial	Lamb2	Itga6_Itgb1	-0.05250903892840425	-0.0029490716914391535	True	custom_coavailability
Astrocyte	Endothelial	Mdk	Itga6_Itgb1	-0.012941014084784763	-0.037608469655736276	False	custom_coavailability
Astrocyte	Endothelial	Mdk	Ncl	0.06641229013907857	0.018104434301780326	False	custom_coavailability
Astrocyte	Endothelial	Ptn	Ncl	0.09108727475574141	-0.10291239133330854	False	custom_coavailability
Astrocyte	Endothelial	Ptn	Sdc3	-0.005083302679726565	0.14870182261602982	False	custom_coavailability
Astrocyte	Endothelial	Sema4a	Nrp1_Plxna2	0.06806369128583797	-0.21739035304464305	False	custom_coavailability
Astrocyte	Endothelial	Vegfa	Flt1_Kdr	-0.18128457382545748	-0.38765944835971555	False	custom_coavailability
Endothelial	Astrocyte	Agrn	Dag1	-0.10453345678564424	-0.19986899774413514	False	custom_coavailability
Endothelial	Astrocyte	Col4a1	Itgav_Itgb8	0.11049303626059032	0.2333969136754681	False	custom_coavailability
Endothelial	Astrocyte	Col4a2	Itgav_Itgb8	0.10647642474900931	0.30057315644382243	False	custom_coavailability
Endothelial	Astrocyte	Dll4	Notch1	0.038774640812232974	0.009101640588052129	False	custom_coavailability
Endothelial	Astrocyte	Dll4	Notch2	0.010038124694819545	-0.06471470728401424	False	custom_coavailability
Endothelial	Astrocyte	Edn1	Ednrb	-0.04318609941922602	-0.1560764759174208	False	custom_coavailability
Endothelial	Astrocyte	Efna1	Epha5	-0.026189305251404893	-0.09737645969859127	False	custom_coavailability
Endothelial	Astrocyte	Entpd1	Adora2b	0.01874210029964879	-0.0410240746588077	True	custom_coavailability
Endothelial	Astrocyte	Fn1	Itgav_Itgb1	0.10918734348974102	0.1763569918432656	False	custom_coavailability
Endothelial	Astrocyte	Fn1	Itgav_Itgb8	0.0006974078498024339	0.14650123769890644	False	custom_coavailability
Endothelial	Astrocyte	Gas6	Axl	-0.10463514814192071	-0.018905800341091183	False	custom_coavailability
Endothelial	Astrocyte	Gas6	Mertk	-0.26274748182046326	-0.02620665302927261	False	custom_coavailability
Endothelial	Astrocyte	Jam2	Itgav_Itgb1	0.0026051902352757783	0.019207088664820682	False	custom_coavailability
Endothelial	Astrocyte	Lamb2	Dag1	-0.03589442837001622	-0.009482594131373423	False	custom_coavailability
Endothelial	Astrocyte	Lamb2	Itga6_Itgb1	0.013534383024073782	0.040638183572341335	False	custom_coavailability
Endothelial	Astrocyte	Lamb2	Itgav_Itgb8	-0.0313251199767427	0.02772913299819385	False	custom_coavailability
Endothelial	Astrocyte	Pros1	Axl	0.01841418762623459	0.06270620379179814	False	custom_coavailability
Endothelial	Astrocyte	Pros1	Mertk	-0.002828918717880491	0.15230957826189284	False	custom_coavailability
Endothelial	Astrocyte	Psap	Gpr37	-0.013005947793551575	-0.1586769216086174	False	custom_coavailability
Endothelial	Astrocyte	Psap	Gpr37l1	0.06230764707084546	-0.12441812118757634	False	custom_coavailability
Endothelial	Astrocyte	Ptn	Ncl	-0.04508220083605741	-0.4226809482384599	False	custom_coavailability
Endothelial	Astrocyte	Ptn	Ptprz1	-0.37115540355862775	-1.133412802908282	False	custom_coavailability
Endothelial	Astrocyte	Ptn	Sdc2	-0.2730760918412569	-0.6382093353235797	False	custom_coavailability
Endothelial	Astrocyte	Ptn	Sdc4	-0.09967351106214783	-0.3475627686772671	False	custom_coavailability
Astrocyte	Endothelial	Lamb2	Dag1	0.0	0.0	True	cellchat_probability
Astrocyte	Endothelial	Lamb2	Itga6_Itgb1	0.0	0.0	True	cellchat_probability
Astrocyte	Endothelial	Mdk	Itga6_Itgb1	-0.0017230062755016033	0.0005920586387130229	False	cellchat_probability
Astrocyte	Endothelial	Mdk	Ncl	-0.00011545502899981078	0.0019062176448038102	False	cellchat_probability
Astrocyte	Endothelial	Ptn	Ncl	-0.004451118047201011	-0.016686938436375226	False	cellchat_probability
Astrocyte	Endothelial	Ptn	Sdc3	0.0	0.014614937273783804	False	cellchat_probability
Astrocyte	Endothelial	Sema4a	Nrp1_Plxna2	0.0	-0.0029977103183830562	False	cellchat_probability
Astrocyte	Endothelial	Vegfa	Flt1_Kdr	0.0029656575314803563	-0.04882425989192004	False	cellchat_probability
Endothelial	Astrocyte	Agrn	Dag1	-0.0009020823587726711	-0.006018940418416801	False	cellchat_probability
Endothelial	Astrocyte	Col4a1	Itgav_Itgb8	0.0	0.02041819506346964	False	cellchat_probability
Endothelial	Astrocyte	Col4a2	Itgav_Itgb8	0.0	0.0252366033755458	False	cellchat_probability
Endothelial	Astrocyte	Dll4	Notch1	0.0	0.00025089267880331646	False	cellchat_probability
Endothelial	Astrocyte	Dll4	Notch2	0.0	-0.0010107351375534942	False	cellchat_probability
Endothelial	Astrocyte	Edn1	Ednrb	-0.0030898944696897694	-0.009866891373407797	False	cellchat_probability
Endothelial	Astrocyte	Efna1	Epha5	0.0	-0.001213804000622143	False	cellchat_probability
Endothelial	Astrocyte	Entpd1	Adora2b	0.0	0.0	True	cellchat_probability
Endothelial	Astrocyte	Fn1	Itgav_Itgb1	0.0	0.026381185892890312	False	cellchat_probability
