dataset	sample	fixed_network_rows	cellchat_zero_network_rows	cellchat_unique_probability_values	cellchat_zero_target_rows	cellchat_target_rows	liana_unique_priority_values	cellchat_zero_strength_percentile_floor	probability_min_positive
GSE174574	GSM5319987	1222	762	461	22	32	638	0.3116298116298116	0.0006929438853285269
GSE174574	GSM5319988	1222	836	387	22	32	640	0.34193284193284196	0.0011934894927067502
GSE174574	GSM5319989	1222	689	534	21	32	663	0.28173628173628174	0.00035143545191717934
GSE174574	GSM5319990	1222	827	396	21	32	642	0.33824733824733827	0.0004752039108826285
GSE174574	GSM5319991	1222	862	361	21	32	633	0.3525798525798526	0.0011132478751312495
GSE174574	GSM5319992	1222	701	522	20	32	648	0.28665028665028663	0.00023669176639099434
GSE245386	GSM7841720	1222	425	798	10	32	626	0.17362817362817362	0.00019131140369087787
GSE245386	GSM7841721	1222	171	1052	3	32	794	0.06961506961506962	0.0005821673623215355
GSE245386	GSM7841722	1222	160	1063	3	32	793	0.06511056511056511	0.000552307802245344
GSE245386	GSM7841723	1222	223	1000	6	32	637	0.09090909090909091	0.00016341997733285455
GSE245386	GSM7841724	1222	160	1063	6	32	626	0.06511056511056511	0.0007936443484868068
