dataset	sample	condition	sample_alias	original_bucket	reference_bucket	n_cells	row_denominator	row_fraction
GSE174574	GSM5319987	Sham	Sham1	Astrocyte	Astrocyte	293	365	0.8027397260273973
GSE174574	GSM5319987	Sham	Sham1	Astrocyte	Endothelial	60	365	0.1643835616438356
GSE174574	GSM5319987	Sham	Sham1	Astrocyte	Other assigned	12	365	0.03287671232876712
GSE174574	GSM5319987	Sham	Sham1	Astrocyte	Unassigned	0	365	0.0
GSE174574	GSM5319987	Sham	Sham1	Endothelial	Astrocyte	0	1486	0.0
GSE174574	GSM5319987	Sham	Sham1	Endothelial	Endothelial	1486	1486	1.0
GSE174574	GSM5319987	Sham	Sham1	Endothelial	Other assigned	0	1486	0.0
GSE174574	GSM5319987	Sham	Sham1	Endothelial	Unassigned	0	1486	0.0
GSE174574	GSM5319987	Sham	Sham1	Other assigned	Astrocyte	10	3101	0.0032247662044501773
GSE174574	GSM5319987	Sham	Sham1	Other assigned	Endothelial	325	3101	0.10480490164463076
GSE174574	GSM5319987	Sham	Sham1	Other assigned	Other assigned	2766	3101	0.891970332150919
GSE174574	GSM5319987	Sham	Sham1	Other assigned	Unassigned	0	3101	0.0
GSE174574	GSM5319987	Sham	Sham1	Unassigned	Astrocyte	2	3801	0.0005261773217574323
GSE174574	GSM5319987	Sham	Sham1	Unassigned	Endothelial	2945	3801	0.774796106287819
GSE174574	GSM5319987	Sham	Sham1	Unassigned	Other assigned	854	3801	0.22467771639042358
GSE174574	GSM5319987	Sham	Sham1	Unassigned	Unassigned	0	3801	0.0
GSE174574	GSM5319988	Sham	Sham2	Astrocyte	Astrocyte	299	370	0.8081081081081081
GSE174574	GSM5319988	Sham	Sham2	Astrocyte	Endothelial	54	370	0.14594594594594595
GSE174574	GSM5319988	Sham	Sham2	Astrocyte	Other assigned	17	370	0.04594594594594595
GSE174574	GSM5319988	Sham	Sham2	Astrocyte	Unassigned	0	370	0.0
GSE174574	GSM5319988	Sham	Sham2	Endothelial	Astrocyte	1	1360	0.0007352941176470588
GSE174574	GSM5319988	Sham	Sham2	Endothelial	Endothelial	1359	1360	0.9992647058823529
GSE174574	GSM5319988	Sham	Sham2	Endothelial	Other assigned	0	1360	0.0
GSE174574	GSM5319988	Sham	Sham2	Endothelial	Unassigned	0	1360	0.0
GSE174574	GSM5319988	Sham	Sham2	Other assigned	Astrocyte	13	3110	0.004180064308681672
GSE174574	GSM5319988	Sham	Sham2	Other assigned	Endothelial	426	3110	0.1369774919614148
GSE174574	GSM5319988	Sham	Sham2	Other assigned	Other assigned	2671	3110	0.8588424437299035
GSE174574	GSM5319988	Sham	Sham2	Other assigned	Unassigned	0	3110	0.0
GSE174574	GSM5319988	Sham	Sham2	Unassigned	Astrocyte	7	3672	0.001906318082788671
GSE174574	GSM5319988	Sham	Sham2	Unassigned	Endothelial	2904	3672	0.7908496732026143
GSE174574	GSM5319988	Sham	Sham2	Unassigned	Other assigned	761	3672	0.20724400871459694
