dataset	sample	condition	sample_alias	reference	original_label	reference_label	n_cells
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Astrocyte	Astrocyte	293
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Astrocyte	Astroependymal	4
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Astrocyte	Endothelial	60
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Astrocyte	Fibroblast	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Astrocyte	Macrophage	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Astrocyte	Microglia	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Astrocyte	Neuron/Other	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Astrocyte	OEC	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Astrocyte	Tanycyte	3
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Choroid	Astrocyte	3
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Choroid	Choroid	376
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Choroid	Endothelial	44
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Choroid	Microglia	2
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Choroid	Neuron/Other	4
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Choroid	OEC	2
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Choroid	Oligodendrocyte	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Endothelial	Endothelial	1486
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Ependymal	Astroependymal	2
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Ependymal	Choroid	9
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Ependymal	Dendritic	2
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Ependymal	Endothelial	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Ependymal	Ependymal	31
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Ependymal	Hypendymal	2
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Ependymal	Tanycyte	15
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Erythroid	Endothelial	7
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Erythroid	Fibroblast	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Erythroid	Microglia	3
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Fibroblast	ABC	11
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Fibroblast	Endothelial	2
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Fibroblast	Fibroblast	36
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Fibroblast	Pericyte	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Fibroblast	Smooth_muscle	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Lymphocyte	Endothelial	6
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Lymphocyte	Lymphocyte	11
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Lymphocyte	Microglia	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Microglia	Endothelial	64
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Microglia	Microglia	1224
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Microglia	Neuron/Other	2
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Microglia	Oligodendrocyte	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Myeloid	Astrocyte	4
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Myeloid	Astroependymal	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Myeloid	Dendritic	63
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Myeloid	Endothelial	26
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Myeloid	Fibroblast	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Myeloid	Macrophage	226
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Myeloid	Microglia	65
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Myeloid	Neuron/Other	3
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Myeloid	Tanycyte	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Neuron	Microglia	1
