dataset	sample	condition	sample_alias	source_prefix	n_qc	n_rule_astrocyte	n_rule_endothelial
GSE174574	GSM5319987	Sham	Sham1	GSM5319987_sham1	8753	365	1486
GSE174574	GSM5319988	Sham	Sham2	GSM5319988_sham2	8512	370	1360
GSE174574	GSM5319989	Sham	Sham3	GSM5319989_sham3	9951	463	1667
GSE174574	GSM5319990	MCAO	MCAO1	GSM5319990_MCAO1	11717	784	1961
GSE174574	GSM5319991	MCAO	MCAO2	GSM5319991_MCAO2	11320	746	1843
GSE174574	GSM5319992	MCAO	MCAO3	GSM5319992_MCAO3	8080	514	1552
GSE245386	GSM7841720	Sham	Sham1	GSM7841720_WTC1	15206	748	1958
GSE245386	GSM7841721	Sham	Sham2	GSM7841721_WTC2	10017	537	1860
GSE245386	GSM7841722	Sham	Sham3	GSM7841722_WTC3	9625	378	2238
GSE245386	GSM7841723	MCAO	MCAO1	GSM7841723_WTM1	9852	288	1996
GSE245386	GSM7841724	MCAO	MCAO2	GSM7841724_WTM2	12322	716	2147
