dataset	sample	condition	sample_alias	original_cell_type	metric	numerator	denominator	fraction
GSE174574	GSM5319987	Sham	Sham1	Astrocyte	whole_brain_agreement	293	365	0.8027397260273973
GSE174574	GSM5319987	Sham	Sham1	Astrocyte	cortex_hippocampus_agreement	318	365	0.8712328767123287
GSE174574	GSM5319987	Sham	Sham1	Astrocyte	reference_singlet_retained	261	365	0.7150684931506849
GSE174574	GSM5319987	Sham	Sham1	Endothelial	whole_brain_agreement	1486	1486	1.0
GSE174574	GSM5319987	Sham	Sham1	Endothelial	cortex_hippocampus_agreement	1483	1486	0.9979811574697174
GSE174574	GSM5319987	Sham	Sham1	Endothelial	reference_singlet_retained	1375	1486	0.9253028263795424
GSE174574	GSM5319988	Sham	Sham2	Astrocyte	whole_brain_agreement	299	370	0.8081081081081081
GSE174574	GSM5319988	Sham	Sham2	Astrocyte	cortex_hippocampus_agreement	324	370	0.8756756756756757
GSE174574	GSM5319988	Sham	Sham2	Astrocyte	reference_singlet_retained	268	370	0.7243243243243244
GSE174574	GSM5319988	Sham	Sham2	Endothelial	whole_brain_agreement	1359	1360	0.9992647058823529
GSE174574	GSM5319988	Sham	Sham2	Endothelial	cortex_hippocampus_agreement	1358	1360	0.9985294117647059
GSE174574	GSM5319988	Sham	Sham2	Endothelial	reference_singlet_retained	1264	1360	0.9294117647058824
GSE174574	GSM5319989	Sham	Sham3	Astrocyte	whole_brain_agreement	367	463	0.7926565874730022
GSE174574	GSM5319989	Sham	Sham3	Astrocyte	cortex_hippocampus_agreement	396	463	0.8552915766738661
GSE174574	GSM5319989	Sham	Sham3	Astrocyte	reference_singlet_retained	322	463	0.6954643628509719
GSE174574	GSM5319989	Sham	Sham3	Endothelial	whole_brain_agreement	1666	1667	0.9994001199760048
GSE174574	GSM5319989	Sham	Sham3	Endothelial	cortex_hippocampus_agreement	1658	1667	0.9946010797840432
GSE174574	GSM5319989	Sham	Sham3	Endothelial	reference_singlet_retained	1547	1667	0.9280143971205759
GSE174574	GSM5319990	MCAO	MCAO1	Astrocyte	whole_brain_agreement	663	784	0.8456632653061225
GSE174574	GSM5319990	MCAO	MCAO1	Astrocyte	cortex_hippocampus_agreement	725	784	0.9247448979591837
GSE174574	GSM5319990	MCAO	MCAO1	Astrocyte	reference_singlet_retained	579	784	0.7385204081632653
GSE174574	GSM5319990	MCAO	MCAO1	Endothelial	whole_brain_agreement	1956	1961	0.9974502804691484
GSE174574	GSM5319990	MCAO	MCAO1	Endothelial	cortex_hippocampus_agreement	1912	1961	0.9750127485976543
GSE174574	GSM5319990	MCAO	MCAO1	Endothelial	reference_singlet_retained	1619	1961	0.8255991840897501
GSE174574	GSM5319991	MCAO	MCAO2	Astrocyte	whole_brain_agreement	624	746	0.8364611260053619
GSE174574	GSM5319991	MCAO	MCAO2	Astrocyte	cortex_hippocampus_agreement	690	746	0.9249329758713136
GSE174574	GSM5319991	MCAO	MCAO2	Astrocyte	reference_singlet_retained	537	746	0.7198391420911529
GSE174574	GSM5319991	MCAO	MCAO2	Endothelial	whole_brain_agreement	1834	1843	0.99511665762344
GSE174574	GSM5319991	MCAO	MCAO2	Endothelial	cortex_hippocampus_agreement	1796	1843	0.9744981009224091
GSE174574	GSM5319991	MCAO	MCAO2	Endothelial	reference_singlet_retained	1474	1843	0.7997829625610418
GSE174574	GSM5319992	MCAO	MCAO3	Astrocyte	whole_brain_agreement	447	514	0.8696498054474708
GSE174574	GSM5319992	MCAO	MCAO3	Astrocyte	cortex_hippocampus_agreement	482	514	0.9377431906614786
GSE174574	GSM5319992	MCAO	MCAO3	Astrocyte	reference_singlet_retained	397	514	0.7723735408560312
GSE174574	GSM5319992	MCAO	MCAO3	Endothelial	whole_brain_agreement	1545	1552	0.9954896907216495
GSE174574	GSM5319992	MCAO	MCAO3	Endothelial	cortex_hippocampus_agreement	1526	1552	0.9832474226804123
GSE174574	GSM5319992	MCAO	MCAO3	Endothelial	reference_singlet_retained	1317	1552	0.8485824742268041
GSE245386	GSM7841720	Sham	Sham1	Astrocyte	whole_brain_agreement	530	748	0.7085561497326203
GSE245386	GSM7841720	Sham	Sham1	Astrocyte	cortex_hippocampus_agreement	540	748	0.7219251336898396
GSE245386	GSM7841720	Sham	Sham1	Astrocyte	reference_singlet_retained	404	748	0.5401069518716578
GSE245386	GSM7841720	Sham	Sham1	Endothelial	whole_brain_agreement	1888	1958	0.9642492339121552
GSE245386	GSM7841720	Sham	Sham1	Endothelial	cortex_hippocampus_agreement	1793	1958	0.9157303370786517
GSE245386	GSM7841720	Sham	Sham1	Endothelial	reference_singlet_retained	1712	1958	0.874361593462717
GSE245386	GSM7841721	Sham	Sham2	Astrocyte	whole_brain_agreement	499	537	0.9292364990689013
GSE245386	GSM7841721	Sham	Sham2	Astrocyte	cortex_hippocampus_agreement	520	537	0.9683426443202979
GSE245386	GSM7841721	Sham	Sham2	Astrocyte	reference_singlet_retained	443	537	0.8249534450651769
GSE245386	GSM7841721	Sham	Sham2	Endothelial	whole_brain_agreement	1824	1860	0.9806451612903225
GSE245386	GSM7841721	Sham	Sham2	Endothelial	cortex_hippocampus_agreement	1829	1860	0.9833333333333333
GSE245386	GSM7841721	Sham	Sham2	Endothelial	reference_singlet_retained	1765	1860	0.9489247311827957
GSE245386	GSM7841722	Sham	Sham3	Astrocyte	whole_brain_agreement	332	378	0.8783068783068783
GSE245386	GSM7841722	Sham	Sham3	Astrocyte	cortex_hippocampus_agreement	349	378	0.9232804232804233
GSE245386	GSM7841722	Sham	Sham3	Astrocyte	reference_singlet_retained	287	378	0.7592592592592593
GSE245386	GSM7841722	Sham	Sham3	Endothelial	whole_brain_agreement	2234	2238	0.998212689901698
GSE245386	GSM7841722	Sham	Sham3	Endothelial	cortex_hippocampus_agreement	2210	2238	0.9874888293118856
GSE245386	GSM7841722	Sham	Sham3	Endothelial	reference_singlet_retained	2141	2238	0.9566577301161752
GSE245386	GSM7841723	MCAO	MCAO1	Astrocyte	whole_brain_agreement	240	288	0.8333333333333334
