dataset	sample	condition	distribution	bin_left	bin_right	n_scores	total_scores	fraction_per_bin
GSE174574	GSM5319987	Sham	Observed	0.0	0.0125	787	8753	0.08991203016108763
GSE174574	GSM5319987	Sham	Observed	0.0125	0.025	1265	8753	0.14452187821318405
GSE174574	GSM5319987	Sham	Observed	0.025	0.037500000000000006	1659	8753	0.1895350165657489
GSE174574	GSM5319987	Sham	Observed	0.037500000000000006	0.05	1383	8753	0.1580029704101451
GSE174574	GSM5319987	Sham	Observed	0.05	0.0625	1078	8753	0.12315777447732205
GSE174574	GSM5319987	Sham	Observed	0.0625	0.07500000000000001	671	8753	0.07665943105221067
GSE174574	GSM5319987	Sham	Observed	0.07500000000000001	0.08750000000000001	638	8753	0.07288929509882326
GSE174574	GSM5319987	Sham	Observed	0.08750000000000001	0.1	325	8753	0.037130126813663886
GSE174574	GSM5319987	Sham	Observed	0.1	0.1125	246	8753	0.02810464983434251
GSE174574	GSM5319987	Sham	Observed	0.1125	0.125	125	8753	0.01428081800525534
GSE174574	GSM5319987	Sham	Observed	0.125	0.1375	112	8753	0.012795612932708785
GSE174574	GSM5319987	Sham	Observed	0.1375	0.15000000000000002	82	8753	0.009368216611447504
GSE174574	GSM5319987	Sham	Observed	0.15000000000000002	0.1625	25	8753	0.0028561636010510684
GSE174574	GSM5319987	Sham	Observed	0.1625	0.17500000000000002	51	8753	0.005826573746144179
GSE174574	GSM5319987	Sham	Observed	0.17500000000000002	0.1875	17	8753	0.0019421912487147263
GSE174574	GSM5319987	Sham	Observed	0.1875	0.2	13	8753	0.0014852050725465554
GSE174574	GSM5319987	Sham	Observed	0.2	0.21250000000000002	15	8753	0.001713698160630641
GSE174574	GSM5319987	Sham	Observed	0.21250000000000002	0.225	10	8753	0.0011424654404204272
GSE174574	GSM5319987	Sham	Observed	0.225	0.23750000000000002	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.23750000000000002	0.25	11	8753	0.00125671198446247
GSE174574	GSM5319987	Sham	Observed	0.25	0.2625	12	8753	0.0013709585285045128
GSE174574	GSM5319987	Sham	Observed	0.2625	0.275	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.275	0.28750000000000003	21	8753	0.0023991774248828973
GSE174574	GSM5319987	Sham	Observed	0.28750000000000003	0.30000000000000004	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.30000000000000004	0.3125	21	8753	0.0023991774248828973
GSE174574	GSM5319987	Sham	Observed	0.3125	0.325	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.325	0.3375	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.3375	0.35000000000000003	35	8753	0.003998629041471496
GSE174574	GSM5319987	Sham	Observed	0.35000000000000003	0.36250000000000004	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.36250000000000004	0.375	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.375	0.3875	45	8753	0.005141094481891923
GSE174574	GSM5319987	Sham	Observed	0.3875	0.4	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.4	0.41250000000000003	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.41250000000000003	0.42500000000000004	50	8753	0.005712327202102137
GSE174574	GSM5319987	Sham	Observed	0.42500000000000004	0.4375	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.4375	0.45	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.45	0.4625	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.4625	0.47500000000000003	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.47500000000000003	0.48750000000000004	27	8753	0.0030846566891351537
GSE174574	GSM5319987	Sham	Observed	0.48750000000000004	0.5	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.5	0.5125000000000001	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.5125000000000001	0.525	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.525	0.5375	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.5375	0.55	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.55	0.5625	17	8753	0.0019421912487147263
GSE174574	GSM5319987	Sham	Observed	0.5625	0.5750000000000001	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.5750000000000001	0.5875	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.5875	0.6000000000000001	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.6000000000000001	0.6125	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.6125	0.625	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.625	0.6375000000000001	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.6375000000000001	0.65	12	8753	0.0013709585285045128
GSE174574	GSM5319987	Sham	Observed	0.65	0.6625000000000001	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.6625000000000001	0.675	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.675	0.6875	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.6875	0.7000000000000001	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.7000000000000001	0.7125	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.7125	0.7250000000000001	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.7250000000000001	0.7375	0	8753	0.0
GSE174574	GSM5319987	Sham	Observed	0.7375	0.75	0	8753	0.0
GSE174574	GSM5319987	Sham	Simulated	0.0	0.0125	70	17506	0.003998629041471496
GSE174574	GSM5319987	Sham	Simulated	0.0125	0.025	253	17506	0.014452187821318406
GSE174574	GSM5319987	Sham	Simulated	0.025	0.037500000000000006	531	17506	0.030332457443162344
GSE174574	GSM5319987	Sham	Simulated	0.037500000000000006	0.05	794	17506	0.045355877984690963
GSE174574	GSM5319987	Sham	Simulated	0.05	0.0625	964	17506	0.0550668342282646
GSE174574	GSM5319987	Sham	Simulated	0.0625	0.07500000000000001	869	17506	0.04964012338626757
GSE174574	GSM5319987	Sham	Simulated	0.07500000000000001	0.08750000000000001	1028	17506	0.05872272363760996
GSE174574	GSM5319987	Sham	Simulated	0.08750000000000001	0.1	677	17506	0.038672455158231464
GSE174574	GSM5319987	Sham	Simulated	0.1	0.1125	824	17506	0.047069576145321604
GSE174574	GSM5319987	Sham	Simulated	0.1125	0.125	461	17506	0.026333828401690847
GSE174574	GSM5319987	Sham	Simulated	0.125	0.1375	522	17506	0.02981834799497315
GSE174574	GSM5319987	Sham	Simulated	0.1375	0.15000000000000002	443	17506	0.025305609505312465
GSE174574	GSM5319987	Sham	Simulated	0.15000000000000002	0.1625	227	17506	0.01296698274877185
GSE174574	GSM5319987	Sham	Simulated	0.1625	0.17500000000000002	438	17506	0.025019993145207357
GSE174574	GSM5319987	Sham	Simulated	0.17500000000000002	0.1875	184	17506	0.01051068205186793
GSE174574	GSM5319987	Sham	Simulated	0.1875	0.2	190	17506	0.01085342168399406
GSE174574	GSM5319987	Sham	Simulated	0.2	0.21250000000000002	191	17506	0.01091054495601508
GSE174574	GSM5319987	Sham	Simulated	0.21250000000000002	0.225	201	17506	0.011481777676225295
GSE174574	GSM5319987	Sham	Simulated	0.225	0.23750000000000002	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.23750000000000002	0.25	224	17506	0.012795612932708785
GSE174574	GSM5319987	Sham	Simulated	0.25	0.2625	352	17506	0.02010739175139952
GSE174574	GSM5319987	Sham	Simulated	0.2625	0.275	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.275	0.28750000000000003	470	17506	0.02684793784988004
GSE174574	GSM5319987	Sham	Simulated	0.28750000000000003	0.30000000000000004	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.30000000000000004	0.3125	657	17506	0.03752998971781104
GSE174574	GSM5319987	Sham	Simulated	0.3125	0.325	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.325	0.3375	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.3375	0.35000000000000003	1070	17506	0.06112190106249286
GSE174574	GSM5319987	Sham	Simulated	0.35000000000000003	0.36250000000000004	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.36250000000000004	0.375	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.375	0.3875	1286	17506	0.07346052781903348
GSE174574	GSM5319987	Sham	Simulated	0.3875	0.4	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.4	0.41250000000000003	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.41250000000000003	0.42500000000000004	1647	17506	0.09408202901862218
GSE174574	GSM5319987	Sham	Simulated	0.42500000000000004	0.4375	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.4375	0.45	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.45	0.4625	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.4625	0.47500000000000003	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.47500000000000003	0.48750000000000004	1314	17506	0.07505997943562208
GSE174574	GSM5319987	Sham	Simulated	0.48750000000000004	0.5	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.5	0.5125000000000001	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.5125000000000001	0.525	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.525	0.5375	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.5375	0.55	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.55	0.5625	1117	17506	0.06380669484748086
GSE174574	GSM5319987	Sham	Simulated	0.5625	0.5750000000000001	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.5750000000000001	0.5875	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.5875	0.6000000000000001	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.6000000000000001	0.6125	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.6125	0.625	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.625	0.6375000000000001	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.6375000000000001	0.65	502	17506	0.028675882554552726
GSE174574	GSM5319987	Sham	Simulated	0.65	0.6625000000000001	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.6625000000000001	0.675	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.675	0.6875	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.6875	0.7000000000000001	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.7000000000000001	0.7125	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.7125	0.7250000000000001	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.7250000000000001	0.7375	0	17506	0.0
GSE174574	GSM5319987	Sham	Simulated	0.7375	0.75	0	17506	0.0
GSE174574	GSM5319988	Sham	Observed	0.0	0.0125	768	8512	0.09022556390977443
GSE174574	GSM5319988	Sham	Observed	0.0125	0.025	1158	8512	0.13604323308270677
GSE174574	GSM5319988	Sham	Observed	0.025	0.037500000000000006	1408	8512	0.16541353383458646
GSE174574	GSM5319988	Sham	Observed	0.037500000000000006	0.05	1409	8512	0.165531015037594
GSE174574	GSM5319988	Sham	Observed	0.05	0.0625	953	8512	0.11195958646616541
GSE174574	GSM5319988	Sham	Observed	0.0625	0.07500000000000001	737	8512	0.08658364661654136
GSE174574	GSM5319988	Sham	Observed	0.07500000000000001	0.08750000000000001	575	8512	0.06755169172932331
GSE174574	GSM5319988	Sham	Observed	0.08750000000000001	0.1	468	8512	0.0549812030075188
GSE174574	GSM5319988	Sham	Observed	0.1	0.1125	201	8512	0.023613721804511278
GSE174574	GSM5319988	Sham	Observed	0.1125	0.125	222	8512	0.026080827067669173
GSE174574	GSM5319988	Sham	Observed	0.125	0.1375	100	8512	0.011748120300751879
GSE174574	GSM5319988	Sham	Observed	0.1375	0.15000000000000002	46	8512	0.005404135338345864
GSE174574	GSM5319988	Sham	Observed	0.15000000000000002	0.1625	70	8512	0.008223684210526315
GSE174574	GSM5319988	Sham	Observed	0.1625	0.17500000000000002	27	8512	0.0031719924812030073
GSE174574	GSM5319988	Sham	Observed	0.17500000000000002	0.1875	25	8512	0.0029370300751879698
GSE174574	GSM5319988	Sham	Observed	0.1875	0.2	27	8512	0.0031719924812030073
GSE174574	GSM5319988	Sham	Observed	0.2	0.21250000000000002	15	8512	0.0017622180451127819
GSE174574	GSM5319988	Sham	Observed	0.21250000000000002	0.225	13	8512	0.0015272556390977443
GSE174574	GSM5319988	Sham	Observed	0.225	0.23750000000000002	19	8512	0.002232142857142857
GSE174574	GSM5319988	Sham	Observed	0.23750000000000002	0.25	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.25	0.2625	23	8512	0.002702067669172932
GSE174574	GSM5319988	Sham	Observed	0.2625	0.275	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.275	0.28750000000000003	34	8512	0.003994360902255639
GSE174574	GSM5319988	Sham	Observed	0.28750000000000003	0.30000000000000004	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.30000000000000004	0.3125	45	8512	0.005286654135338346
GSE174574	GSM5319988	Sham	Observed	0.3125	0.325	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.325	0.3375	49	8512	0.005756578947368421
GSE174574	GSM5319988	Sham	Observed	0.3375	0.35000000000000003	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.35000000000000003	0.36250000000000004	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.36250000000000004	0.375	51	8512	0.005991541353383458
GSE174574	GSM5319988	Sham	Observed	0.375	0.3875	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.3875	0.4	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.4	0.41250000000000003	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.41250000000000003	0.42500000000000004	33	8512	0.00387687969924812
GSE174574	GSM5319988	Sham	Observed	0.42500000000000004	0.4375	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.4375	0.45	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.45	0.4625	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.4625	0.47500000000000003	23	8512	0.002702067669172932
GSE174574	GSM5319988	Sham	Observed	0.47500000000000003	0.48750000000000004	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.48750000000000004	0.5	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.5	0.5125000000000001	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.5125000000000001	0.525	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.525	0.5375	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.5375	0.55	11	8512	0.0012922932330827067
GSE174574	GSM5319988	Sham	Observed	0.55	0.5625	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.5625	0.5750000000000001	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.5750000000000001	0.5875	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.5875	0.6000000000000001	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.6000000000000001	0.6125	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.6125	0.625	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.625	0.6375000000000001	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.6375000000000001	0.65	2	8512	0.00023496240601503758
GSE174574	GSM5319988	Sham	Observed	0.65	0.6625000000000001	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.6625000000000001	0.675	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.675	0.6875	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.6875	0.7000000000000001	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.7000000000000001	0.7125	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.7125	0.7250000000000001	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.7250000000000001	0.7375	0	8512	0.0
GSE174574	GSM5319988	Sham	Observed	0.7375	0.75	0	8512	0.0
GSE174574	GSM5319988	Sham	Simulated	0.0	0.0125	63	17024	0.003700657894736842
GSE174574	GSM5319988	Sham	Simulated	0.0125	0.025	245	17024	0.014391447368421052
GSE174574	GSM5319988	Sham	Simulated	0.025	0.037500000000000006	468	17024	0.0274906015037594
GSE174574	GSM5319988	Sham	Simulated	0.037500000000000006	0.05	723	17024	0.042469454887218046
GSE174574	GSM5319988	Sham	Simulated	0.05	0.0625	847	17024	0.04975328947368421
GSE174574	GSM5319988	Sham	Simulated	0.0625	0.07500000000000001	858	17024	0.05039943609022556
GSE174574	GSM5319988	Sham	Simulated	0.07500000000000001	0.08750000000000001	805	17024	0.047286184210526314
GSE174574	GSM5319988	Sham	Simulated	0.08750000000000001	0.1	1015	17024	0.05962171052631579
GSE174574	GSM5319988	Sham	Simulated	0.1	0.1125	440	17024	0.025845864661654134
GSE174574	GSM5319988	Sham	Simulated	0.1125	0.125	752	17024	0.044172932330827065
GSE174574	GSM5319988	Sham	Simulated	0.125	0.1375	487	17024	0.028606672932330827
GSE174574	GSM5319988	Sham	Simulated	0.1375	0.15000000000000002	230	17024	0.013510338345864662
GSE174574	GSM5319988	Sham	Simulated	0.15000000000000002	0.1625	504	17024	0.029605263157894735
GSE174574	GSM5319988	Sham	Simulated	0.1625	0.17500000000000002	248	17024	0.01456766917293233
GSE174574	GSM5319988	Sham	Simulated	0.17500000000000002	0.1875	270	17024	0.01585996240601504
GSE174574	GSM5319988	Sham	Simulated	0.1875	0.2	280	17024	0.01644736842105263
GSE174574	GSM5319988	Sham	Simulated	0.2	0.21250000000000002	247	17024	0.014508928571428572
