dataset	sample	condition	n_observed	expected_doublet_rate	sim_doublet_ratio	n_prin_comps	random_state	threshold	n_simulated	n_predicted	predicted_fraction	automatic_threshold	ambient_RNA_corrected
GSE174574	GSM5319987	Sham	8753	0.05	2.0	30	20260910	0.22872960422573282	17506	251	0.028675882554552726	True	False
GSE174574	GSM5319988	Sham	8512	0.05	2.0	30	20260910	0.21701218848949314	17024	303	0.035596804511278196	True	False
GSE174574	GSM5319989	Sham	9951	0.05	2.0	30	20260910	0.236491622286104	19902	326	0.03276052658024319	True	False
GSE174574	GSM5319990	MCAO	11717	0.05	2.0	30	20260910	0.19173877003853199	23434	470	0.04011265682341896	True	False
GSE174574	GSM5319991	MCAO	11320	0.05	2.0	30	20260910	0.19813337883944793	22640	472	0.04169611307420495	True	False
GSE174574	GSM5319992	MCAO	8080	0.05	2.0	30	20260910	0.20729315851801625	16160	275	0.03403465346534654	True	False
GSE245386	GSM7841720	Sham	15206	0.05	2.0	30	20260910	0.590896957379375	30412	0	0.0	True	False
GSE245386	GSM7841721	Sham	10017	0.05	2.0	30	20260910	0.20676056219397093	20034	316	0.031546371169012676	True	False
GSE245386	GSM7841722	Sham	9625	0.05	2.0	30	20260910	0.21125474107298287	19250	294	0.030545454545454546	True	False
GSE245386	GSM7841723	MCAO	9852	0.05	2.0	30	20260910	0.21385343127506487	19704	288	0.029232643118148598	True	False
GSE245386	GSM7841724	MCAO	12322	0.05	2.0	30	20260910	0.18487035162786736	24644	526	0.04268787534491154	True	False
