dataset	config	panel	gene	tested	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GSE174574	primary	BBB_junction	Cldn5	True	26911.01382705404	-0.0669943224920863	0.0487360360403417	-1.374636263741909	0.169244240067213	0.3283706818484843
GSE174574	primary	BBB_junction	Ocln	True	1793.7056059485124	-0.3696398120955724	0.0643918213133013	-5.740477665588508	9.440987237895352e-09	1.2111862705083972e-07
GSE174574	primary	BBB_junction	Tjp1	True	1035.1646587285086	-0.762525423366849	0.0697492046429485	-10.932388795976596	8.069570170919833e-28	4.533667379277867e-26
GSE174574	primary	BBB_junction	Tjp2	True	212.32805496168325	-0.3339162189932883	0.1282923267447192	-2.6027762335133824	0.0092472286962022	0.0340428157779815
GSE174574	primary	BBB_transport	Mfsd2a	True	1048.176854211427	-0.8411770399423331	0.0778247090457498	-10.808611432749991	3.133775724722252e-27	1.7019386733551088e-25
GSE174574	primary	BBB_transport	Slc2a1	True	13850.195260192027	0.3373876229018374	0.0509371629203923	6.6236045267995625	3.505438388607124e-11	5.905395099270939e-10
GSE174574	primary	BBB_transport	Slco1c1	True	3603.139924343324	-0.7330972371788624	0.0541739714777485	-13.532277903604976	1.0084947132403214e-41	9.201505763604691e-40
GSE174574	primary	BBB_transport	Abcb1a	True	2876.683982511928	-0.9789618079776616	0.1829883503217164	-5.349858645408433	8.802295728439947e-08	9.900412503240394e-07
GSE174574	primary	BBB_transport	Abcb1b	True	20.15912858423013	1.9757251512473373	0.4421054625542968	4.468900112277375	7.862283298723483e-06	6.337055902610695e-05
GSE174574	primary	BBB_transport	Abcg2	True	5015.959639157584	-0.5275117863042994	0.0528329937657828	-9.984514385893853	1.7817135601022818e-23	7.697137557941865e-22
GSE174574	primary	Endothelial_activation	Icam1	True	518.365782367977	0.8867366801345269	0.2011374152172579	4.408611292815518	1.0403555519389007e-05	8.211249183296306e-05
GSE174574	primary	Endothelial_activation	Vcam1	True	1082.441557176934	-0.0023991486731781	0.083597841676884	-0.0286986915577459	0.977104899924878	0.9878451718503
GSE174574	primary	Endothelial_activation	Sele	True	12.034413858792734	2.984368138693433	0.6850738445077894	4.356272192580402	1.3229624488545484e-05	0.0001023635463309
