config	expression_gate	n_discovery_eligible	n_validation_eligible	n_common	n_direction_evaluable	n_zero_effect	n_same_direction	same_direction_fraction	spearman_rho
primary	0.05	754	1182	658	658	0	514	0.7811550151975684	0.6724067072376073
primary	0.1	362	745	323	323	0	258	0.7987616099071208	0.7427882976103759
primary	0.2	152	418	128	128	0	110	0.859375	0.7929402608847421
singlet	0.05	717	1134	605	605	0	468	0.7735537190082644	0.6660349146641673
singlet	0.1	342	714	313	313	0	250	0.7987220447284346	0.7228218726220064
singlet	0.2	147	411	122	122	0	105	0.860655737704918	0.7765250148701341
reference_singlet	0.05	703	1106	605	605	0	460	0.7603305785123967	0.6660661820937611
reference_singlet	0.1	367	746	326	326	0	247	0.7576687116564417	0.7030217132058506
reference_singlet	0.2	142	439	127	127	0	102	0.8031496062992126	0.7766151592823143
reference_only	0.05	697	1127	590	590	0	445	0.7542372881355932	0.6543115589868809
reference_only	0.1	350	740	313	313	0	235	0.7507987220447284	0.7032201105805648
reference_only	0.2	141	417	124	124	0	103	0.8306451612903226	0.7848742246238383
