sender	receiver	ligand	receptor	dataset	config	eligible_05	eligible_10	eligible_20	mean_control_score	mean_stroke_score	score_difference	welch_p	exact_permutation_p	ligand_mean_log2fc	receptor_mean_log2fc	ligand_min_padj	receptor_min_padj	ligand_any_changed	receptor_any_changed	candidate_changed_component	ligand_min_detection_stroke	receptor_min_detection_stroke	welch_fdr	welch_fdr_eligible_05	welch_fdr_eligible_10	welch_fdr_eligible_20	status
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	primary	True	True	True	1.1566056880844158	0.8539363035296764	-0.3026693845547393	0.000455835524477	0.1	-0.4901041829807783	-0.6812604702673553	3.660070416373384e-05	7.08262840513104e-21	False	True	True	0.5052218953009272	0.5283724260353065		0.0050544115508194	0.0050003775715365	0.0040757058659127	eligible_10pct
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	primary	True	True	True	1.5372140593604813	1.1660586558018535	-0.3711554035586277	0.0006370793208987	0.1	-1.2254211794342516	-0.0435022463593874	2.498578897181377e-72	0.8653356113165632	True	False	True	0.4877481399590809	0.7439372915375557		0.0060044725994707	0.0057655678541337	0.0048418028388305	eligible_10pct
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	primary	True	True	True	0.6248614022505298	1.0434181733338932	0.4185567710833634	4.410462014163758e-05	0.1	1.731413312641688	0.3512112890406507	5.100505457774071e-164	0.0610258084736296	True	False	True	0.7886479882763627	0.3913716444736061		0.0019561696227526	0.0017078101917281	0.0014341831444346	eligible_10pct
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	primary	True	True	False	0.0343558196797842	0.5788472815185766	0.5444914618387923	0.0001476935930104	0.1	8.442535775610972	1.021534945288879	6.994839841412428e-41	2.091897734038406e-18	True	True	True	0.9257034987663189	0.1184583715053416		0.0030174971017783	0.0025459562223703		eligible_10pct
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	primary	True	False	False	0.0713022972966033	0.1323048689933643	0.0610025716967609	0.0039090967302634	0.1	1.2444858889474866	0.651770256699372	3.39169893849468e-07	9.040428588134037e-14	True	True	True	0.1619811160816961	0.0584077497270199		0.01654244451912			fails_10pct_gate
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	singlet	True	True	True	1.1439088522548813	0.8438576564370406	-0.3000511958178407	0.0005122833238872	0.1	-0.4908484598201516	-0.6798428019684972	8.080509343057654e-05	1.01628215363855e-20	False	True	True	0.4928931885367449	0.5277247617073555		0.0069310440929878	0.0067391967186728	0.0044297440359658	eligible_10pct
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	singlet	True	True	True	1.5407460304218097	1.174434965231419	-0.3663110651903907	0.0002415901226536	0.1	-1.217669389090423	-0.0298596124553358	1.014697988759631e-72	0.9208938793259824	True	False	True	0.4881737374287943	0.7392224696885696		0.0045437175575541	0.0047382230672255	0.0030549069775533	eligible_10pct
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	singlet	True	True	True	0.6142243429086648	1.0511794031773878	0.436955060268723	0.0001111414621725	0.1	1.7385205317620724	0.4719758588936629	1.289862563766584e-162	0.0076822061986703	True	False	True	0.7884262544317954	0.3886028212016206		0.0040602559652916	0.0042233755625582	0.0030549069775533	eligible_10pct
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	singlet	True	True	False	0.0329489431227558	0.5757147634130625	0.5427658202903066	0.000245902526437	0.1	8.372456639359333	1.022024702044713	2.731410096481218e-74	4.348448759087928e-18	True	True	True	0.9229932614267036	0.1175586148060909		0.0045437175575541	0.0047382230672255		eligible_10pct
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	singlet	True	False	False	0.0652861585003636	0.1221601904092751	0.0568740319089115	0.0181985891357354	0.1	1.2647639871147551	0.6491078234609571	4.319824884278378e-05	7.647450704357616e-14	True	True	True	0.1372499987743914	0.0580630930015296		0.0467601685685426			fails_10pct_gate
