dataset	config	metric	status	n_union_reported_edges	n_complete_case_edges	n_incomplete_edges	n_bh_tests	n_welch_fdr_05	min_exact_p
GSE174574	primary	lr_means	complete	429	217	212	217	106	0.1
GSE174574	primary	expr_prod	complete	429	217	212	217	63	0.1
GSE174574	primary	lr_logfc	complete	429	217	212	217	97	0.1
GSE174574	primary	spec_weight	complete	429	217	212	217	0	0.1
GSE174574	primary	lrscore	complete	429	217	212	217	59	0.1
GSE174574	primary	magnitude_rank	complete	429	217	212	207	14	0.1
GSE174574	reference_singlet	lr_means	complete	404	194	210	194	82	0.1
GSE174574	reference_singlet	expr_prod	complete	404	194	210	194	42	0.1
GSE174574	reference_singlet	lr_logfc	complete	404	194	210	194	76	0.1
GSE174574	reference_singlet	spec_weight	complete	404	194	210	194	0	0.1
GSE174574	reference_singlet	lrscore	complete	404	194	210	194	55	0.1
GSE174574	reference_singlet	magnitude_rank	complete	404	194	210	184	17	0.1
GSE245386	primary	lr_means	complete	906	476	430	476	0	0.1
GSE245386	primary	expr_prod	complete	906	476	430	476	0	0.1
GSE245386	primary	lr_logfc	complete	906	476	430	476	0	0.1
GSE245386	primary	spec_weight	complete	906	476	430	476	0	0.1
GSE245386	primary	lrscore	complete	906	476	430	476	1	0.1
GSE245386	primary	magnitude_rank	complete	906	476	430	468	0	0.1
GSE245386	reference_singlet	lr_means	complete	912	524	388	524	18	0.1
GSE245386	reference_singlet	expr_prod	complete	912	524	388	524	0	0.1
GSE245386	reference_singlet	lr_logfc	complete	912	524	388	524	5	0.1
GSE245386	reference_singlet	spec_weight	complete	912	524	388	524	2	0.1
GSE245386	reference_singlet	lrscore	complete	912	524	388	524	12	0.1
GSE245386	reference_singlet	magnitude_rank	complete	912	524	388	516	1	0.1
