config	metric	n_discovery_complete_edges	n_validation_complete_edges	n_common	n_direction_evaluable	n_zero_effect	n_same_direction	same_direction_fraction	spearman_rho
primary	lr_means	217	476	187	187	0	148	0.7914438502673797	0.733640413457083
primary	expr_prod	217	476	187	187	0	151	0.8074866310160428	0.7204787880734238
primary	lr_logfc	217	476	187	187	0	134	0.7165775401069518	0.5763505484775218
primary	spec_weight	217	476	187	187	0	128	0.6844919786096256	0.4645446329031458
primary	lrscore	217	476	187	187	0	143	0.7647058823529411	0.6654099014988507
primary	magnitude_rank	217	476	187	177	10	105	0.5932203389830508	0.2282371264612325
reference_singlet	lr_means	194	524	174	174	0	136	0.7816091954022989	0.7208277238278126
reference_singlet	expr_prod	194	524	174	174	0	127	0.7298850574712644	0.6599830974493549
reference_singlet	lr_logfc	194	524	174	174	0	124	0.7126436781609196	0.5895504878276577
reference_singlet	spec_weight	194	524	174	174	0	118	0.6781609195402298	0.45858305599026844
reference_singlet	lrscore	194	524	174	174	0	126	0.7241379310344828	0.6281552756687555
reference_singlet	magnitude_rank	194	524	174	166	8	95	0.572289156626506	0.10245326529039606
