sender	receiver	ligand	receptor	dataset	config	metric	n_expected_animals	n_observed_finite	n_observed_sham	n_observed_mcao	missing_or_nonfinite_samples	n_sham	n_mcao	mean_sham	mean_mcao	score_difference	animal_welch_p	animal_welch_fdr	animal_exact_permutation_p	n_label_permutations	n_bh_tests	status
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	primary	lr_means	6	6	3	3		3.0	3.0	1.1599879333333334	0.8551709066666667	-0.30481702666666666	0.0004982803295248844	0.00495798913450978	0.1	20.0	217.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	primary	lr_means	6	6	3	3		3.0	3.0	1.5471787333333333	1.1825490333333333	-0.36462970000000006	0.0006330335688035769	0.005063165195865696	0.1	20.0	217.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	primary	lr_means	6	6	3	3		3.0	3.0	0.6588800333333332	1.2356179666666665	0.5767379333333332	1.5000432788246213e-05	0.0008132708936444013	0.1	20.0	217.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	primary	lr_means	6	3	0	3	GSM5319987|GSM5319988|GSM5319989											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	primary	lr_means	6	0	0	0	GSM5319987|GSM5319988|GSM5319989|GSM5319990|GSM5319991|GSM5319992											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	primary	expr_prod	6	6	3	3		3.0	3.0	1.3384622333333336	0.7295081633333335	-0.6089540700000001	0.0014267655826100325	0.012886702614789695	0.1	20.0	217.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	primary	expr_prod	6	6	3	3		3.0	3.0	2.3631843333333333	1.3604559999999999	-1.0027283333333334	0.00019509664763988092	0.004703996948650462	0.1	20.0	217.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	primary	expr_prod	6	6	3	3		3.0	3.0	0.39094757333333335	1.0890561333333333	0.6981085599999999	6.334604765215592e-05	0.0022910153900863057	0.1	20.0	217.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	primary	expr_prod	6	3	0	3	GSM5319987|GSM5319988|GSM5319989											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	primary	expr_prod	6	0	0	0	GSM5319987|GSM5319988|GSM5319989|GSM5319990|GSM5319991|GSM5319992											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	primary	lr_logfc	6	6	3	3		3.0	3.0	0.9121767989656936	0.7287186325442631	-0.18345816642143054	0.0179390237504014	0.043939307038620916	0.1	20.0	217.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	primary	lr_logfc	6	6	3	3		3.0	3.0	1.3195853281957506	0.9049427419836461	-0.4146425862121045	0.006811602357810741	0.028425340608556362	0.1	20.0	217.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	primary	lr_logfc	6	6	3	3		3.0	3.0	0.7283986787697087	1.1642090282156843	0.43581034944597563	0.014690484582666934	0.03984793943048406	0.1	20.0	217.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	primary	lr_logfc	6	3	0	3	GSM5319987|GSM5319988|GSM5319989											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	primary	lr_logfc	6	0	0	0	GSM5319987|GSM5319988|GSM5319989|GSM5319990|GSM5319991|GSM5319992											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	primary	spec_weight	6	6	3	3		3.0	3.0	0.036833653	0.03369116766666667	-0.0031424853333333336	0.30108137016499503	0.4537128980958606	0.3	20.0	217.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	primary	spec_weight	6	6	3	3		3.0	3.0	0.06549443199999999	0.03981092566666666	-0.025683506333333328	0.008197691211565042	0.17817789587719937	0.1	20.0	217.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	primary	spec_weight	6	6	3	3		3.0	3.0	0.016266181	0.020100977333333332	0.003834796333333331	0.10253952299401455	0.24831177772086468	0.1	20.0	217.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	primary	spec_weight	6	3	0	3	GSM5319987|GSM5319988|GSM5319989											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	primary	spec_weight	6	0	0	0	GSM5319987|GSM5319988|GSM5319989|GSM5319990|GSM5319991|GSM5319992											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	primary	lrscore	6	6	3	3		3.0	3.0	0.8969663466666667	0.8673269666666666	-0.029639380000000104	0.00019717955110680788	0.009405558168811924	0.1	20.0	217.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	primary	lrscore	6	6	3	3		3.0	3.0	0.9204771466666667	0.8992123333333334	-0.0212648133333333	0.008280552363227587	0.03667101760857931	0.1	20.0	217.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	primary	lrscore	6	6	3	3		3.0	3.0	0.82459154	0.8887463766666667	0.06415483666666666	0.0015345910462695694	0.017526645107394555	0.1	20.0	217.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	primary	lrscore	6	3	0	3	GSM5319987|GSM5319988|GSM5319989											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	primary	lrscore	6	0	0	0	GSM5319987|GSM5319988|GSM5319989|GSM5319990|GSM5319991|GSM5319992											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	primary	magnitude_rank	6	6	3	3		3.0	3.0	0.8540040811050544	0.6118597255773751	-0.24214435552767932	0.008827324786990913	0.06013114576886618	0.1	20.0	207.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	primary	magnitude_rank	6	6	3	3		3.0	3.0	0.9595133481321669	0.8714484237506682	-0.08806492438149871	0.018814409993707017	0.09057169462086866	0.1	20.0	207.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	primary	magnitude_rank	6	6	3	3		3.0	3.0	0.2152111093454737	0.8951431633185439	0.6799320539730702	0.00032493260693279395	0.01121017493918139	0.1	20.0	207.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	primary	magnitude_rank	6	3	0	3	GSM5319987|GSM5319988|GSM5319989											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	primary	magnitude_rank	6	0	0	0	GSM5319987|GSM5319988|GSM5319989|GSM5319990|GSM5319991|GSM5319992											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	lr_means	6	6	3	3		3.0	3.0	1.1098507333333334	0.8163271133333333	-0.2935236200000001	0.00041389562238366973	0.005353050049495461	0.1	20.0	194.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_singlet	lr_means	6	6	3	3		3.0	3.0	1.6774822333333335	1.2741011333333334	-0.40338110000000005	0.00019298401884815377	0.003743889965654183	0.1	20.0	194.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	lr_means	6	6	3	3		3.0	3.0	0.68803138	1.2807954666666665	0.5927640866666666	2.722150064069792e-05	0.0016985311507969646	0.1	20.0	194.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	lr_means	6	3	0	3	GSM5319987|GSM5319988|GSM5319989											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	lr_means	6	0	0	0	GSM5319987|GSM5319988|GSM5319989|GSM5319990|GSM5319991|GSM5319992											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	expr_prod	6	6	3	3		3.0	3.0	1.2152420666666666	0.6613365333333333	-0.5539055333333333	0.0003389526199938308	0.00730631203097813	0.1	20.0	194.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_singlet	expr_prod	6	6	3	3		3.0	3.0	2.8104728666666667	1.5735962666666667	-1.2368766	8.031374450218047e-05	0.00730631203097813	0.1	20.0	194.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	expr_prod	6	6	3	3		3.0	3.0	0.4375873533333334	1.1616887	0.7241013466666666	0.00015686328448601136	0.00730631203097813	0.1	20.0	194.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	expr_prod	6	3	0	3	GSM5319987|GSM5319988|GSM5319989											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	expr_prod	6	0	0	0	GSM5319987|GSM5319988|GSM5319989|GSM5319990|GSM5319991|GSM5319992											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	lr_logfc	6	6	3	3		3.0	3.0	0.8660855748998918	0.674937391249289	-0.19114818365060282	0.001998001102219869	0.018457724468126407	0.1	20.0	194.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_singlet	lr_logfc	6	6	3	3		3.0	3.0	1.4467585824643034	1.014100645059252	-0.43265793740505143	0.009811507330199708	0.033629184890261093	0.1	20.0	194.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	lr_logfc	6	6	3	3		3.0	3.0	0.7933563746733748	1.238229764650787	0.4448733899774121	0.026094254795835804	0.05624761589324607	0.1	20.0	194.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	lr_logfc	6	3	0	3	GSM5319987|GSM5319988|GSM5319989											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	lr_logfc	6	0	0	0	GSM5319987|GSM5319988|GSM5319989|GSM5319990|GSM5319991|GSM5319992											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	spec_weight	6	6	3	3		3.0	3.0	0.03638230533333333	0.03362932666666666	-0.0027529786666666695	0.32722274805829643	0.4883170240254578	0.3	20.0	194.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_singlet	spec_weight	6	6	3	3		3.0	3.0	0.06968004333333334	0.044186675333333335	-0.02549336800000001	0.011373931149824573	0.17659256226965567	0.1	20.0	194.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	spec_weight	6	6	3	3		3.0	3.0	0.018762074666666666	0.022235089333333333	0.0034730146666666663	0.23295224283211843	0.39993570893301744	0.3	20.0	194.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	spec_weight	6	3	0	3	GSM5319987|GSM5319988|GSM5319989											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	spec_weight	6	0	0	0	GSM5319987|GSM5319988|GSM5319989|GSM5319990|GSM5319991|GSM5319992											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	lrscore	6	6	3	3		3.0	3.0	0.8926170166666667	0.86136042	-0.03125659666666669	9.208461176748878e-05	0.004373196453511722	0.1	20.0	194.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_singlet	lrscore	6	6	3	3		3.0	3.0	0.9267182900000001	0.9055491666666667	-0.021169123333333317	0.008119204369572166	0.04014820537049566	0.1	20.0	194.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	lrscore	6	6	3	3		3.0	3.0	0.8327263666666666	0.8918312	0.059104833333333495	0.0029805857904351978	0.030433349649706756	0.1	20.0	194.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	lrscore	6	3	0	3	GSM5319987|GSM5319988|GSM5319989											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	lrscore	6	0	0	0	GSM5319987|GSM5319988|GSM5319989|GSM5319990|GSM5319991|GSM5319992											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	magnitude_rank	6	6	3	3		3.0	3.0	0.8216940906078158	0.5371931593405268	-0.28450093126728904	0.014336113134963989	0.07993469141919315	0.1	20.0	184.0	complete_case_tested
