sender	receiver	ligand	receptor	dataset	config	sample	condition	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	expression_eligible	magnitude_priority	status	reported_eligible
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	primary	GSM5319987	Sham	1.195821	0.0	1.4200404	0.5679347548879408	0.9574495630191248	0.039618697	0.9001511	0.0187250893965074	0.1432260027318924	True	0.8567739972681077	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	primary	GSM5319987	Sham	1.5632083	0.0	2.4155016	1.5016897359725054	1.4077273212118893	0.06596519	0.9216165	0.0139723235180943	0.0405822652686851	True	0.9594177347313149	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	primary	GSM5319987	Sham	0.675125	0.0	0.40564415	0.4072289970979322	0.8260386747180053	0.018523049	0.8281287	0.094079088498417	0.7962185836156601	True	0.2037814163843399	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	primary	GSM5319987	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	primary	GSM5319987	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	primary	GSM5319988	Sham	1.1533465	0.0	1.3271124	0.5696122856110563	0.896091063445588	0.038550872	0.89579564	0.0151667045740311	0.1446408820901303	True	0.8553591179098697	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	primary	GSM5319988	Sham	1.5364037	0.0	2.323567	1.4510231540761658	1.3284566899120134	0.069942996	0.9191911	0.0076826159605104	0.0404304112153663	True	0.9595695887846337	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	primary	GSM5319988	Sham	0.6729708	0.0	0.41478664	0.3919661581248642	0.7563050457811255	0.016522033	0.82776356	0.1084752269932288	0.7291996016388895	True	0.2708003983611105	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	primary	GSM5319988	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	primary	GSM5319988	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	primary	GSM5319989	Sham	1.1307963	0.0	1.2682339	0.5403821500234739	0.8829897704323678	0.03233139	0.8949523	0.0152196528477176	0.1501208718628142	True	0.8498791281371858	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	primary	GSM5319989	Sham	1.5419242	0.0	2.3504844	1.4201510591679858	1.2225719734633496	0.06057511	0.92062384	0.0095372070244207	0.0404472791194479	True	0.9595527208805521	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	primary	GSM5319989	Sham	0.6285443	0.0	0.35241193	0.3222759036677496	0.6028523158099948	0.013753461	0.81788236	0.1262066556068301	0.8289484867090293	True	0.17105151329097068	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	primary	GSM5319989	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	primary	GSM5319989	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	primary	GSM5319990	MCAO	0.85963416	0.0	0.73624367	0.52958093641955	0.7576065625284658	0.03448064	0.8697438	0.0108616599844947	0.3867628628853099	True	0.6132371371146901	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	primary	GSM5319990	MCAO	1.215421	0.0	1.4492527	1.0581869565196065	0.8690607826929837	0.038722295	0.9035509	0.0097834007636579	0.1221207017865289	True	0.8778792982134711	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	primary	GSM5319990	MCAO	1.2154348	0.0	1.0439278	0.5866976284529931	1.1246343919072923	0.019178912	0.8882796	0.0108616599844947	0.1220590648901835	True	0.8779409351098165	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	primary	GSM5319990	MCAO	1.1937298	1.0	0.35359648	-0.096912613113597	-0.6576827214100591	0.0069355434	0.82229775	1.0	0.5405100717869988	True	0.45948992821300116	reported_expression_eligible	True
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	primary	GSM5319990	MCAO												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	primary	GSM5319991	MCAO	0.83304	0.0	0.69047886	0.5262337794867701	0.7713531249898664	0.031833503	0.8663921	0.0118119329861137	0.4294228590179236	True	0.5705771409820763	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	primary	GSM5319991	MCAO	1.1509904	0.0	1.2963752	1.068131991306011	0.8898959312561998	0.039765038	0.8988398	0.0098224368658492	0.152246933917073	True	0.847753066082927	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	primary	GSM5319991	MCAO	1.2226951	0.0	1.0859046	0.6188758164267373	1.1673107312558857	0.022395356	0.89049613	0.0118119329861137	0.1152255616395534	True	0.8847744383604466	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	primary	GSM5319991	MCAO	1.1474953	1.0	0.3569164	-0.0914727913808982	-0.625913534952133	0.007500861	0.82339	1.0	0.5807367735346325	True	0.4192632264653675	reported_expression_eligible	True
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	primary	GSM5319991	MCAO												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	primary	GSM5319992	MCAO	0.87283856	0.0	0.76180196	0.5090606300665528	0.657196210114457	0.03475936	0.865845	0.0098673849201325	0.3482351013646411	True	0.6517648986353589	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	primary	GSM5319992	MCAO	1.1812357	0.0	1.3357401	1.1725084398072751	0.9558715120017548	0.040945444	0.8952463	0.0098673849201325	0.1112870930443933	True	0.8887129069556067	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	primary	GSM5319992	MCAO	1.268724	0.0	1.137336	0.6204393394127671	1.2006819614838748	0.018728664	0.8874634	0.0135992436971139	0.0772858835146317	True	0.9227141164853683	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	primary	GSM5319992	MCAO	1.0035219	1.0	0.2964555	-0.0883136816504299	-0.8652288211049919	0.0072374255	0.8010413	1.0	0.635879996270883	True	0.364120003729117	reported_expression_eligible	True
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	primary	GSM5319992	MCAO												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	GSM5319987	Sham	1.1403036	0.0	1.2776705	0.5506269553750798	0.9041060234093709	0.03872129	0.8953553	0.0202665081500358	0.1792910787988534	True	0.8207089212011466	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_singlet	GSM5319987	Sham	1.6939408	0.0	2.8674533	1.836336498417241	1.5445802342906283	0.06990917	0.92763007	0.0152986922666423	0.026602548565804	True	0.973397451434196	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	GSM5319987	Sham	0.720971	0.0	0.4839842	0.4839596804797139	0.9295014091651465	0.022566963	0.8404096	0.059497516278679	0.6980630465201659	True	0.30193695347983407	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	GSM5319987	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	GSM5319987	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	GSM5319988	Sham	1.1003919	0.0	1.2001821	0.5489999123500161	0.8378362344445124	0.03790937	0.891154	0.0176452344864499	0.1781695272202228	True	0.8218304727797772	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_singlet	GSM5319988	Sham	1.6632259	0.0	2.7599442	1.7550246797196123	1.4604624852403083	0.07511552	0.9254598	0.0081269847576638	0.0279092613748327	True	0.9720907386251673	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	GSM5319988	Sham	0.68883014	0.0	0.4375721	0.42378868146853	0.7890086715351718	0.018067444	0.8317512	0.1053322222753324	0.7040929449167471	True	0.2959070550832529	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	GSM5319988	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	GSM5319988	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	GSM5319989	Sham	1.0888567	0.0	1.1678736	0.5366936950855559	0.8563144668457924	0.032516256	0.89134175	0.0164636646193192	0.1774571221574762	True	0.8225428778425238	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_singlet	GSM5319989	Sham	1.67528	0.0	2.8040211	1.758952831414113	1.335233027861974	0.06401544	0.927065	0.0103587365944024	0.0270257843591308	True	0.9729742156408692	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	GSM5319989	Sham	0.654293	0.0	0.39120576	0.3647157697354163	0.6615590433198063	0.015651817	0.8260183	0.102038117814218	0.7828032698353086	True	0.21719673016469143	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	GSM5319989	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	GSM5319989	Sham												not_reported_by_expression_or_resource_filter	False
