dataset	config	sample	condition	n_exported_eligible_rows	all_pair_rows	n_context_cells	n_context_types	liana_version
GSE174574	primary	GSM5319987	Sham	256	17267	4918	11	1.10.0
GSE174574	primary	GSM5319988	Sham	263	19603	4794	11	1.10.0
GSE174574	primary	GSM5319989	Sham	285	23300	5686	12	1.10.0
GSE174574	primary	GSM5319990	MCAO	329	31174	7921	13	1.10.0
GSE174574	primary	GSM5319991	MCAO	318	28267	7628	13	1.10.0
GSE174574	primary	GSM5319992	MCAO	379	33735	5782	13	1.10.0
GSE174574	reference_singlet	GSM5319987	Sham	246	16462	4556	11	1.10.0
GSE174574	reference_singlet	GSM5319988	Sham	271	18777	4399	11	1.10.0
GSE174574	reference_singlet	GSM5319989	Sham	272	22042	5222	12	1.10.0
GSE174574	reference_singlet	GSM5319990	MCAO	327	29561	7071	13	1.10.0
GSE174574	reference_singlet	GSM5319991	MCAO	278	26847	6777	13	1.10.0
GSE174574	reference_singlet	GSM5319992	MCAO	365	31153	5253	13	1.10.0
GSE245386	primary	GSM7841720	Sham	608	64189	10135	15	1.10.0
GSE245386	primary	GSM7841721	Sham	653	59565	7451	13	1.10.0
GSE245386	primary	GSM7841722	Sham	667	57934	7045	13	1.10.0
GSE245386	primary	GSM7841723	MCAO	751	77691	7266	14	1.10.0
GSE245386	primary	GSM7841724	MCAO	694	61427	9592	13	1.10.0
GSE245386	reference_singlet	GSM7841720	Sham	619	64301	9545	15	1.10.0
GSE245386	reference_singlet	GSM7841721	Sham	654	56411	7080	13	1.10.0
GSE245386	reference_singlet	GSM7841722	Sham	670	55019	6701	13	1.10.0
GSE245386	reference_singlet	GSM7841723	MCAO	810	74478	6827	14	1.10.0
GSE245386	reference_singlet	GSM7841724	MCAO	682	58042	8988	13	1.10.0
