dataset	config	metric	custom_gate	n_common	n_direction_evaluable	n_zero_effect	n_same_direction	same_direction_fraction	spearman_rho
GSE174574	primary	lr_means	0.1	217	217	0	198	0.9124423963133641	0.8952082042730098
GSE245386	primary	lr_means	0.1	476	476	0	425	0.8928571428571429	0.8864382553848291
GSE174574	primary	expr_prod	0.1	217	217	0	217	1.0	0.9848386537992911
GSE245386	primary	expr_prod	0.1	476	476	0	472	0.9915966386554622	0.9823743539896426
GSE174574	primary	lr_logfc	0.1	217	217	0	146	0.6728110599078341	0.480806686964002
GSE245386	primary	lr_logfc	0.1	476	476	0	343	0.7205882352941176	0.6185477963102416
GSE174574	primary	spec_weight	0.1	217	217	0	135	0.6221198156682027	0.3799291256976597
GSE245386	primary	spec_weight	0.1	476	476	0	335	0.7037815126050421	0.5950532029473917
GSE174574	primary	lrscore	0.1	217	217	0	208	0.9585253456221198	0.9264034667927176
GSE245386	primary	lrscore	0.1	476	476	0	427	0.8970588235294118	0.9225934723357138
GSE174574	primary	magnitude_rank	0.1	217	207	10	141	0.6811594202898551	0.39907571251209856
GSE245386	primary	magnitude_rank	0.1	476	468	8	313	0.6688034188034188	0.4423362085657938
GSE174574	reference_singlet	lr_means	0.1	194	194	0	168	0.865979381443299	0.8647244063428616
GSE245386	reference_singlet	lr_means	0.1	524	524	0	472	0.9007633587786259	0.8803991970153887
GSE174574	reference_singlet	expr_prod	0.1	194	194	0	193	0.9948453608247423	0.985452770399979
GSE245386	reference_singlet	expr_prod	0.1	524	524	0	524	1.0	0.978408007693893
GSE174574	reference_singlet	lr_logfc	0.1	194	194	0	131	0.6752577319587629	0.4584407131774792
GSE245386	reference_singlet	lr_logfc	0.1	524	524	0	393	0.75	0.6696823766996679
GSE174574	reference_singlet	spec_weight	0.1	194	194	0	120	0.6185567010309279	0.43118376416756515
GSE245386	reference_singlet	spec_weight	0.1	524	524	0	371	0.7080152671755725	0.5901632466813999
GSE174574	reference_singlet	lrscore	0.1	194	194	0	184	0.9484536082474226	0.9330952349646304
GSE245386	reference_singlet	lrscore	0.1	524	524	0	469	0.8950381679389313	0.9104620781267763
GSE174574	reference_singlet	magnitude_rank	0.1	194	184	10	131	0.7119565217391305	0.49633890833167094
GSE245386	reference_singlet	magnitude_rank	0.1	524	516	8	335	0.6492248062015504	0.35099865420496235
