dataset	sample	cell_type	selection	n_cells	gene	fraction_detected	mean_logcp10k
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Aldh1l1	0.3716475095785441	0.6024162870320321
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Slc1a3	0.9961685823754789	3.3526831423577015
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Slc1a2	0.9808429118773946	3.100307331248389
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Gja1	0.9655172413793104	2.7050433192544294
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Glul	1.0	3.8801507469388654
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Sox9	0.7547892720306514	1.415135722348113
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Aldoc	0.9961685823754789	4.163131679771411
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Pecam1	0.06513409961685823	0.09073024290826295
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Cdh5	0.05363984674329502	0.06840243468448738
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Esam	0.15708812260536398	0.2206449314343283
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Tek	0.04597701149425287	0.07233550425746668
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Erg	0.01532567049808429	0.022372200316493368
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Vwf	0.034482758620689655	0.04668818922979759
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Kdr	0.05747126436781609	0.08122614684471423
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Ptprc	0.0038314176245210726	0.0048053386178815456
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Tyrobp	0.2260536398467433	0.33127582797198873
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Lyz2	0.25287356321839083	0.37315977878448203
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	C1qa	0.49808429118773945	0.8014517084493674
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Rgs5	0.05747126436781609	0.0919963520076612
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Pdgfrb	0.25287356321839083	0.39847858746059184
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Acta2	0.20306513409961685	0.2995719250626312
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Plp1	0.42911877394636017	0.6806952185662694
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Mbp	0.1111111111111111	0.17120290048099576
GSE174574	GSM5319987	Astrocyte	original_reference_supported	261	Snap25	0.0	0.0
GSE174574	GSM5319987	Astrocyte	reference_added	4	Aldh1l1	0.0	0.0
GSE174574	GSM5319987	Astrocyte	reference_added	4	Slc1a3	0.25	0.902853343468918
GSE174574	GSM5319987	Astrocyte	reference_added	4	Slc1a2	0.25	0.7936866717292249
GSE174574	GSM5319987	Astrocyte	reference_added	4	Gja1	0.25	0.6615007337439536
GSE174574	GSM5319987	Astrocyte	reference_added	4	Glul	1.0	2.3907703359675616
GSE174574	GSM5319987	Astrocyte	reference_added	4	Sox9	0.25	0.34117842601265636
GSE174574	GSM5319987	Astrocyte	reference_added	4	Aldoc	0.5	1.458306506868329
GSE174574	GSM5319987	Astrocyte	reference_added	4	Pecam1	0.0	0.0
GSE174574	GSM5319987	Astrocyte	reference_added	4	Cdh5	0.0	0.0
GSE174574	GSM5319987	Astrocyte	reference_added	4	Esam	1.0	1.9124757523491223
GSE174574	GSM5319987	Astrocyte	reference_added	4	Tek	0.0	0.0
GSE174574	GSM5319987	Astrocyte	reference_added	4	Erg	0.0	0.0
GSE174574	GSM5319987	Astrocyte	reference_added	4	Vwf	0.25	0.409051570187525
GSE174574	GSM5319987	Astrocyte	reference_added	4	Kdr	0.0	0.0
GSE174574	GSM5319987	Astrocyte	reference_added	4	Ptprc	0.25	0.34117842601265636
GSE174574	GSM5319987	Astrocyte	reference_added	4	Tyrobp	0.5	1.4524384967527724
GSE174574	GSM5319987	Astrocyte	reference_added	4	Lyz2	0.75	2.240308873504543
GSE174574	GSM5319987	Astrocyte	reference_added	4	C1qa	0.75	2.6432108461175865
GSE174574	GSM5319987	Astrocyte	reference_added	4	Rgs5	0.25	0.3513937052997557
GSE174574	GSM5319987	Astrocyte	reference_added	4	Pdgfrb	0.25	0.5814193586936657
GSE174574	GSM5319987	Astrocyte	reference_added	4	Acta2	0.5	1.8349178931141683
GSE174574	GSM5319987	Astrocyte	reference_added	4	Plp1	0.5	0.7502299962001814
GSE174574	GSM5319987	Astrocyte	reference_added	4	Mbp	0.5	0.9010302861047063
GSE174574	GSM5319987	Astrocyte	reference_added	4	Snap25	0.0	0.0
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Aldh1l1	0.34615384615384615	0.5388079652479928
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Slc1a3	0.7115384615384616	1.9049018281867438
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Slc1a2	0.6923076923076923	1.6842453026512745
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Gja1	0.75	1.6493634162021285
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Glul	0.9711538461538461	3.04608669838029
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Sox9	0.4807692307692308	0.7768897145741173
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Aldoc	0.7019230769230769	2.3203131391814003
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Pecam1	0.3942307692307692	0.7267241213669074
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Cdh5	0.20192307692307693	0.3233314292113189
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Esam	0.6923076923076923	1.4724424510095973
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Tek	0.22115384615384615	0.3536250551303547
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Erg	0.08653846153846154	0.13287754593879755
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Vwf	0.14423076923076922	0.2353958833382754
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Kdr	0.2692307692307692	0.4428315124256829
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Ptprc	0.038461538461538464	0.05270152341566093
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Tyrobp	0.22115384615384615	0.45760237491697897
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Lyz2	0.25961538461538464	0.44937050994874517
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	C1qa	0.5673076923076923	1.1207434993572014
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Rgs5	0.009615384615384616	0.017883502741393678
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Pdgfrb	0.14423076923076922	0.20575605233165833
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Acta2	0.19230769230769232	0.3141654652040554
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Plp1	0.40384615384615385	0.6459619034708375
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Mbp	0.14423076923076922	0.2303544088287954
GSE174574	GSM5319987	Astrocyte	original_not_retained	104	Snap25	0.0	0.0
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Aldh1l1	0.0014545454545454545	0.0022557184005491063
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Slc1a3	0.05309090909090909	0.08025731172009351
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Slc1a2	0.04581818181818182	0.0728668985597888
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Gja1	0.15854545454545454	0.2703338468316828
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Glul	0.8421818181818181	2.2079589937954442
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Sox9	0.04218181818181818	0.06298424069886063
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Aldoc	0.072	0.11471849255679101
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Pecam1	0.7941818181818182	1.6132142828306175
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Cdh5	0.7083636363636364	1.3194533541902573
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Esam	0.9498181818181818	2.4009568995661783
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Tek	0.584	1.0560041036235632
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Erg	0.4167272727272727	0.7218530623096813
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Vwf	0.49963636363636366	0.9833491349800254
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Kdr	0.6661818181818182	1.2907094637835448
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Ptprc	0.009454545454545455	0.014851382432003698
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Tyrobp	0.18836363636363637	0.3091202252522408
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Lyz2	0.17236363636363636	0.28029185647826066
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	C1qa	0.3970909090909091	0.7046370898402504
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Rgs5	0.07054545454545455	0.116433393546554
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Pdgfrb	0.0036363636363636364	0.005730943616070009
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Acta2	0.15418181818181817	0.2528606153816254
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Plp1	0.25672727272727275	0.4284168354168905
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Mbp	0.10763636363636364	0.1739145386844172
GSE174574	GSM5319987	Endothelial	original_reference_supported	1375	Snap25	0.0	0.0
GSE174574	GSM5319987	Endothelial	reference_added	2823	Aldh1l1	0.015232022670917464	0.02532090788125298
GSE174574	GSM5319987	Endothelial	reference_added	2823	Slc1a3	0.05667729365922777	0.09669512832918443
GSE174574	GSM5319987	Endothelial	reference_added	2823	Slc1a2	0.06482465462274177	0.11056717723836569
GSE174574	GSM5319987	Endothelial	reference_added	2823	Gja1	0.13744243712362736	0.24437491167607478
GSE174574	GSM5319987	Endothelial	reference_added	2823	Glul	0.8413035777541622	2.2794744201290205
GSE174574	GSM5319987	Endothelial	reference_added	2823	Sox9	0.03896563939071909	0.0658769227357247
GSE174574	GSM5319987	Endothelial	reference_added	2823	Aldoc	0.0832447750619908	0.14495581524426757
GSE174574	GSM5319987	Endothelial	reference_added	2823	Pecam1	0.5260361317747078	1.0428575184405804
GSE174574	GSM5319987	Endothelial	reference_added	2823	Cdh5	0.36911087495572087	0.680132230286394
GSE174574	GSM5319987	Endothelial	reference_added	2823	Esam	0.8827488487424725	2.1737237582666897
GSE174574	GSM5319987	Endothelial	reference_added	2823	Tek	0.2692171448813319	0.48672387329226174
GSE174574	GSM5319987	Endothelial	reference_added	2823	Erg	0.13212894084307475	0.22360457437670586
GSE174574	GSM5319987	Endothelial	reference_added	2823	Vwf	0.19057739992915337	0.35307233225989965
GSE174574	GSM5319987	Endothelial	reference_added	2823	Kdr	0.3145589798087141	0.5914819986876346
GSE174574	GSM5319987	Endothelial	reference_added	2823	Ptprc	0.01381509032943677	0.021901907386403307
GSE174574	GSM5319987	Endothelial	reference_added	2823	Tyrobp	0.18703506907545164	0.344341518495869
GSE174574	GSM5319987	Endothelial	reference_added	2823	Lyz2	0.17534537725823593	0.32558086812731135
GSE174574	GSM5319987	Endothelial	reference_added	2823	C1qa	0.3981579879560751	0.772917756167597
GSE174574	GSM5319987	Endothelial	reference_added	2823	Rgs5	0.09705986539142757	0.18564151389817615
GSE174574	GSM5319987	Endothelial	reference_added	2823	Pdgfrb	0.01664895501239816	0.030028848059067102
GSE174574	GSM5319987	Endothelial	reference_added	2823	Acta2	0.15621679064824653	0.27412376227019347
GSE174574	GSM5319987	Endothelial	reference_added	2823	Plp1	0.2695713779667021	0.4890055930665945
GSE174574	GSM5319987	Endothelial	reference_added	2823	Mbp	0.11052072263549416	0.19606885172141914
GSE174574	GSM5319987	Endothelial	reference_added	2823	Snap25	0.0021253985122210413	0.003830367496643347
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Aldh1l1	0.0	0.0
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Slc1a3	0.04504504504504504	0.07593151981170829
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Slc1a2	0.09009009009009009	0.16301185616515707
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Gja1	0.0990990990990991	0.18939558919028515
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Glul	0.7927927927927928	1.8951813209274335
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Sox9	0.02702702702702703	0.0482321058027695
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Aldoc	0.07207207207207207	0.12564757607074523
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Pecam1	0.7567567567567568	1.6417975928049215
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Cdh5	0.4864864864864865	0.9323773334030059
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Esam	0.9459459459459459	2.3740866117419412
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Tek	0.6036036036036037	1.1524983223993883
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Erg	0.2972972972972973	0.5432008902263555
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Vwf	0.5855855855855856	1.3253367358842567
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Kdr	0.6846846846846847	1.3556208699726466
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Ptprc	0.018018018018018018	0.029965724678294788
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Tyrobp	0.14414414414414414	0.2516028414251229
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Lyz2	0.10810810810810811	0.17522267140268366
GSE174574	GSM5319987	Endothelial	original_not_retained	111	C1qa	0.3063063063063063	0.5891492397741938
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Rgs5	0.06306306306306306	0.11157657736230625
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Pdgfrb	0.009009009009009009	0.013684587804336854
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Acta2	0.06306306306306306	0.10441321566183144
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Plp1	0.18018018018018017	0.31129745356133204
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Mbp	0.06306306306306306	0.1096744732106537
GSE174574	GSM5319987	Endothelial	original_not_retained	111	Snap25	0.0	0.0
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Aldh1l1	0.3880597014925373	0.604498972462862
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Slc1a3	0.996268656716418	3.3468278096257054
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Slc1a2	0.9813432835820896	3.0404552480699545
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Gja1	0.9738805970149254	2.61983494395812
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Glul	0.996268656716418	3.8581099640737984
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Sox9	0.7052238805970149	1.3544632122951035
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Aldoc	1.0	4.1422917558713745
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Pecam1	0.08955223880597014	0.1307298139263624
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Cdh5	0.05970149253731343	0.08006508501875997
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Esam	0.19402985074626866	0.2930418501785511
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Tek	0.06716417910447761	0.09308589140516338
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Erg	0.0037313432835820895	0.005628683111854799
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Vwf	0.055970149253731345	0.07839987654695625
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Kdr	0.03731343283582089	0.04934540275776814
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Ptprc	0.011194029850746268	0.01357405456726486
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Tyrobp	0.29850746268656714	0.4503297872115381
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Lyz2	0.2835820895522388	0.43130623114915706
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	C1qa	0.6007462686567164	1.025756523552217
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Rgs5	0.041044776119402986	0.05772279367572835
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Pdgfrb	0.21641791044776118	0.3330241310837799
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Acta2	0.27238805970149255	0.39670318195759513
GSE174574	GSM5319988	Astrocyte	original_reference_supported	268	Plp1	0.40298507462686567	0.637550136765624
