dataset	sample	condition	panel	score	unit
GSE174574	GSM5319987	Sham	BBB_junction	8.809996037250464	mean log2 pseudobulk CPM+1
GSE174574	GSM5319988	Sham	BBB_junction	8.747186924881083	mean log2 pseudobulk CPM+1
GSE174574	GSM5319989	Sham	BBB_junction	8.759820098349719	mean log2 pseudobulk CPM+1
GSE174574	GSM5319990	MCAO	BBB_junction	8.36211632324645	mean log2 pseudobulk CPM+1
GSE174574	GSM5319991	MCAO	BBB_junction	8.323301743053948	mean log2 pseudobulk CPM+1
GSE174574	GSM5319992	MCAO	BBB_junction	8.35960929025123	mean log2 pseudobulk CPM+1
GSE174574	GSM5319987	Sham	BBB_transport	8.477231423332054	mean log2 pseudobulk CPM+1
GSE174574	GSM5319988	Sham	BBB_transport	8.547219679351455	mean log2 pseudobulk CPM+1
GSE174574	GSM5319989	Sham	BBB_transport	8.394985475088687	mean log2 pseudobulk CPM+1
GSE174574	GSM5319990	MCAO	BBB_transport	8.216573149447429	mean log2 pseudobulk CPM+1
GSE174574	GSM5319991	MCAO	BBB_transport	8.17322748129229	mean log2 pseudobulk CPM+1
GSE174574	GSM5319992	MCAO	BBB_transport	8.293004418072067	mean log2 pseudobulk CPM+1
GSE174574	GSM5319987	Sham	Endothelial_activation	3.6152227308356557	mean log2 pseudobulk CPM+1
GSE174574	GSM5319988	Sham	Endothelial_activation	3.612808741272144	mean log2 pseudobulk CPM+1
GSE174574	GSM5319989	Sham	Endothelial_activation	3.7952039500695665	mean log2 pseudobulk CPM+1
GSE174574	GSM5319990	MCAO	Endothelial_activation	5.517257244321098	mean log2 pseudobulk CPM+1
GSE174574	GSM5319991	MCAO	Endothelial_activation	5.470907245798412	mean log2 pseudobulk CPM+1
GSE174574	GSM5319992	MCAO	Endothelial_activation	5.6448308418757	mean log2 pseudobulk CPM+1
GSE174574	GSM5319987	Sham	Angiogenesis_associated	4.836076239986125	mean log2 pseudobulk CPM+1
GSE174574	GSM5319988	Sham	Angiogenesis_associated	4.922020949352608	mean log2 pseudobulk CPM+1
GSE174574	GSM5319989	Sham	Angiogenesis_associated	4.6226657306573005	mean log2 pseudobulk CPM+1
GSE174574	GSM5319990	MCAO	Angiogenesis_associated	5.795924764239937	mean log2 pseudobulk CPM+1
GSE174574	GSM5319991	MCAO	Angiogenesis_associated	5.728387704477426	mean log2 pseudobulk CPM+1
GSE174574	GSM5319992	MCAO	Angiogenesis_associated	5.966600194860436	mean log2 pseudobulk CPM+1
GSE245386	GSM7841720	Sham	BBB_junction	9.451018397033724	mean log2 pseudobulk CPM+1
GSE245386	GSM7841721	Sham	BBB_junction	9.638315262916837	mean log2 pseudobulk CPM+1
GSE245386	GSM7841722	Sham	BBB_junction	9.619020273478563	mean log2 pseudobulk CPM+1
GSE245386	GSM7841723	MCAO	BBB_junction	9.414271851559212	mean log2 pseudobulk CPM+1
GSE245386	GSM7841724	MCAO	BBB_junction	9.430257268851634	mean log2 pseudobulk CPM+1
GSE245386	GSM7841720	Sham	BBB_transport	8.526516469802603	mean log2 pseudobulk CPM+1
GSE245386	GSM7841721	Sham	BBB_transport	8.61054666838883	mean log2 pseudobulk CPM+1
GSE245386	GSM7841722	Sham	BBB_transport	8.502509485666964	mean log2 pseudobulk CPM+1
GSE245386	GSM7841723	MCAO	BBB_transport	8.674528859780352	mean log2 pseudobulk CPM+1
GSE245386	GSM7841724	MCAO	BBB_transport	8.915221837754915	mean log2 pseudobulk CPM+1
GSE245386	GSM7841720	Sham	Endothelial_activation	4.94678828129402	mean log2 pseudobulk CPM+1
GSE245386	GSM7841721	Sham	Endothelial_activation	5.294783381813558	mean log2 pseudobulk CPM+1
GSE245386	GSM7841722	Sham	Endothelial_activation	4.376687971112744	mean log2 pseudobulk CPM+1
GSE245386	GSM7841723	MCAO	Endothelial_activation	5.607985696786869	mean log2 pseudobulk CPM+1
GSE245386	GSM7841724	MCAO	Endothelial_activation	4.517667573025158	mean log2 pseudobulk CPM+1
GSE245386	GSM7841720	Sham	Angiogenesis_associated	4.8583453985548415	mean log2 pseudobulk CPM+1
GSE245386	GSM7841721	Sham	Angiogenesis_associated	5.0408694446694895	mean log2 pseudobulk CPM+1
GSE245386	GSM7841722	Sham	Angiogenesis_associated	4.911328987411896	mean log2 pseudobulk CPM+1
GSE245386	GSM7841723	MCAO	Angiogenesis_associated	5.630951195385738	mean log2 pseudobulk CPM+1
GSE245386	GSM7841724	MCAO	Angiogenesis_associated	4.922140986266413	mean log2 pseudobulk CPM+1
