dataset	sender	receiver	ligand	receptor	role	cell_type	gene	effect	ci_low	ci_high	pvalue	padj
GSE174574	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	ligand	Astrocyte	Spp1	8.442535775610972	7.2503431427771785	9.634728408444765	8.400269555506845e-44	6.994839841412429e-41
GSE174574	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itga5	1.5016052891856764	1.1796147282859437	1.823595850085409	6.217916105559137e-20	2.091897734038406e-18
GSE174574	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itgb1	0.5414646013920811	0.4064724165285945	0.6764567862555677	3.788974015894844e-15	9.040428588134037e-14
GSE174574	Astrocyte	Endothelial	Timp3	Kdr	ligand	Astrocyte	Timp3	-0.4901041829807783	-0.6880294803557935	-0.2921788856057631	1.2138247385478477e-06	3.660070416373384e-05
GSE174574	Astrocyte	Endothelial	Timp3	Kdr	receptor	Endothelial	Kdr	-0.6812604702673553	-0.8181321793145542	-0.5443887612201563	1.7450404049467973e-22	7.08262840513104e-21
GSE174574	Endothelial	Astrocyte	Ptn	Ptprz1	ligand	Endothelial	Ptn	-1.2254211794342516	-1.3567935722676705	-1.0940487866008326	1.1392030044141308e-74	2.498578897181377e-72
GSE174574	Endothelial	Astrocyte	Ptn	Ptprz1	receptor	Astrocyte	Ptprz1	-0.0435022463593874	-0.22673200223691345	0.13972750951813864	0.641686945850339	0.8653356113165632
GSE174574	Endothelial	Astrocyte	Plat	Lrp1	ligand	Endothelial	Plat	1.731413312641688	1.6082034578781326	1.8546231674052434	5.366599341805248e-167	5.100505457774071e-164
GSE174574	Endothelial	Astrocyte	Plat	Lrp1	receptor	Astrocyte	Lrp1	0.3512112890406507	0.09244979497109646	0.6099727831102049	0.0078079209917761	0.0610258084736296
GSE245386	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	ligand	Astrocyte	Spp1	6.859187773931327	4.2814410258129705	9.436934522049684	1.8341037881489762e-07	2.1065544192432425e-05
GSE245386	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itga5	0.4006630596867772	0.03966450048938758	0.7616616188841667	0.0296036118179742	0.1148195076493986
GSE245386	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itgb1	0.014211423009056	-0.24001291861187293	0.2684357646299849	0.9127534363143324	0.964922086583359
GSE245386	Astrocyte	Endothelial	Timp3	Kdr	ligand	Astrocyte	Timp3	-0.7911851650517524	-1.2826047379981298	-0.2997655921053749	0.0016016911126386	0.0317707057924957
GSE245386	Astrocyte	Endothelial	Timp3	Kdr	receptor	Endothelial	Kdr	-1.0426486355109474	-1.2712709437437297	-0.8140263272781652	3.9369581594034754e-19	2.2132678065871566e-17
GSE245386	Endothelial	Astrocyte	Ptn	Ptprz1	ligand	Endothelial	Ptn	-3.107974134547109	-3.7841635751951994	-2.4317846938990186	2.083968194007041e-19	1.1891106904755533e-17
GSE245386	Endothelial	Astrocyte	Ptn	Ptprz1	receptor	Astrocyte	Ptprz1	-0.37119535709498	-0.79323376662578	0.050843052435820046	0.08472979670318	0.4190474971429852
GSE245386	Endothelial	Astrocyte	Plat	Lrp1	ligand	Endothelial	Plat	0.9497380699391004	0.7233421241999722	1.1761340156782285	1.9970153994283627e-16	8.970550800886093e-15
GSE245386	Endothelial	Astrocyte	Plat	Lrp1	receptor	Astrocyte	Lrp1	0.6101579583740807	0.10317431196771998	1.1171416047804414	0.0183305703585296	0.1705920620167662
GSE163752	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	ligand	Astrocyte	Spp1	3.37644071689032	0.6532917572107291	6.09958967656991	0.0243391764393336	0.2740470492274302
GSE163752	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itga5	1.485709025468655	-0.9422407730476148	3.913658823984924	0.1765307708790737	0.5878639430004062
GSE163752	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	receptor	Endothelial	Itgb1	0.3745745953227004	0.0016205566773056	0.7475286339680952	0.049327277190986	0.3773578118506377
GSE163752	Astrocyte	Endothelial	Timp3	Kdr	ligand	Astrocyte	Timp3	-0.6856968898918371	-1.0959592527605484	-0.2754345270231257	0.0077420616990033	0.2170140594511903
GSE163752	Astrocyte	Endothelial	Timp3	Kdr	receptor	Endothelial	Kdr	0.0325863798672581	-0.6662660588873066	0.731438818621823	0.909259634058872	0.9802011532541112
GSE163752	Endothelial	Astrocyte	Ptn	Ptprz1	ligand	Endothelial	Ptn	-1.9321894450158132	-2.8743991020294146	-0.989979788002212	0.0032677582425871	0.1583089545507631
GSE163752	Endothelial	Astrocyte	Ptn	Ptprz1	receptor	Astrocyte	Ptprz1	-0.3436647399940782	-0.8661746140632649	0.1788451340751084	0.1516804576161602	0.4797778494365111
GSE163752	Endothelial	Astrocyte	Plat	Lrp1	ligand	Endothelial	Plat	-0.0433751964472168	-0.808587122791089	0.7218367298966553	0.8898419287291287	0.9751980944485208
GSE163752	Endothelial	Astrocyte	Plat	Lrp1	receptor	Astrocyte	Lrp1	-0.0707301267963576	-0.5341096151084397	0.3926493615157245	0.7109508429228217	0.8813478225351803
