sample	time	ligand	receptor	n_spots	spearman_same_spot	spearman_neighbor	ligand_fraction	receptor_fraction
GSM7437221	Control	Spp1	Itga5	2416	0.01466696305560012	-0.03409194113620781	0.23096026490066227	0.03518211920529801
GSM7437221	Control	Ptn	Ptprz1	2416	0.044389804296415945	-0.03817045220353873	0.9896523178807947	0.8311258278145696
GSM7437221	Control	Plat	Lrp1	2416	0.00675550250173736	-0.026119791002839482	0.3091887417218543	0.9163907284768212
GSM7437221	Control	Timp3	Kdr	2416	0.05185433909777485	0.05656778657762641	0.6121688741721855	0.12293046357615894
GSM7437222	Day 1	Spp1	Itga5	2498	0.15663503035546048	0.2860942549293807	0.40072057646116893	0.07285828662930344
GSM7437222	Day 1	Ptn	Ptprz1	2498	0.23373103078635574	0.26292693300310216	0.7742193755004003	0.5720576461168935
GSM7437222	Day 1	Plat	Lrp1	2498	0.09381622321421475	0.1265548366570291	0.3294635708566854	0.7257806244995997
GSM7437222	Day 1	Timp3	Kdr	2498	0.07990934589825617	0.057285005643765076	0.44155324259407525	0.0844675740592474
GSM7437223	Day 3	Spp1	Itga5	2548	0.32909667550009625	0.5395541609908504	0.5596546310832025	0.0890894819466248
GSM7437223	Day 3	Ptn	Ptprz1	2548	0.2058988068244743	0.29754466302344174	0.8489010989010989	0.6687598116169545
GSM7437223	Day 3	Plat	Lrp1	2548	0.039483441531235425	0.0502991391047797	0.31475667189952905	0.82574568288854
GSM7437223	Day 3	Timp3	Kdr	2548	0.042768362515245774	0.0064456085858522055	0.5105965463108321	0.10596546310832025
GSM7437224	Day 7a	Spp1	Itga5	2591	0.26046427551731105	0.38330344786713644	0.41837128521806255	0.0760324199150907
GSM7437224	Day 7a	Ptn	Ptprz1	2591	0.11314670884373193	0.11691066091796741	0.9027402547279043	0.7294480895407178
GSM7437224	Day 7a	Plat	Lrp1	2591	0.03361633052872594	0.10178814200414993	0.27981474334233886	0.8351987649556156
GSM7437224	Day 7a	Timp3	Kdr	2591	0.01134406430183517	0.036762163450329226	0.5658047086067155	0.09648784253184099
GSM7437225	Day 7b	Spp1	Itga5	1916	0.06187790878620505	0.13455774062410436	0.12317327766179541	0.0360125260960334
GSM7437225	Day 7b	Ptn	Ptprz1	1916	0.13071199214217588	0.13265825834304493	0.8919624217118998	0.657098121085595
GSM7437225	Day 7b	Plat	Lrp1	1916	0.07409986043691613	0.11692808892129865	0.1884133611691023	0.7306889352818372
GSM7437225	Day 7b	Timp3	Kdr	1916	0.08708234352681313	0.08711063479242667	0.41388308977035493	0.07776617954070981
