"source_genesymbol","target_genesymbol","resource"
"Dll1","Notch1","mouseconsensus"
"Dll1","Notch2","mouseconsensus"
"Dll1","Notch4","mouseconsensus"
"Dll1","Notch3","mouseconsensus"
"Nrg2","Erbb2_Erbb3","mouseconsensus"
"Nrg2","Erbb2_Erbb4","mouseconsensus"
"Adam10","Tspan15","mouseconsensus"
"Adam10","Tspan12","mouseconsensus"
"Adam10","Met","mouseconsensus"
"Adam10","Il6ra","mouseconsensus"
"Adam10","Cd44","mouseconsensus"
"Adam10","Epha3","mouseconsensus"
"Adam10","Axl","mouseconsensus"
"Adam10","Notch1","mouseconsensus"
"Adam10","Notch2","mouseconsensus"
"Adam10","Nrcam","mouseconsensus"
"Adam10","Tspan17","mouseconsensus"
"Adam10","Tspan10","mouseconsensus"
"Adam10","Trem2","mouseconsensus"
"Tnfsf11","Tnfrsf11b","mouseconsensus"
"Tnfsf11","Lgr4","mouseconsensus"
"Tnfsf11","Tnfrsf11a","mouseconsensus"
"Ereg","Egfr_Erbb2","mouseconsensus"
"Ereg","Erbb2_Erbb4","mouseconsensus"
"Ereg","Erbb3","mouseconsensus"
"Adam12","Itgb1","mouseconsensus"
"Adam12","Itga9","mouseconsensus"
"Tnfsf12","Tnfrsf8","mouseconsensus"
"Tnfsf12","Cd163","mouseconsensus"
"Tnfsf12","Tnfrsf25","mouseconsensus"
"Tnfsf12","Tnfrsf12a","mouseconsensus"
"Tnfsf14","Ltbr","mouseconsensus"
"Tnfsf14","Tnfrsf14","mouseconsensus"
"Adam23","Itgb3","mouseconsensus"
"Adam23","Itga5","mouseconsensus"
"Adam23","Itga4","mouseconsensus"
"Adam11","Itga4","mouseconsensus"
"Icosl","Cd28","mouseconsensus"
"Icosl","Ctla4","mouseconsensus"
"Icosl","Icos","mouseconsensus"
"Sema7a","Itga1_Itgb1","mouseconsensus"
"Sema7a","Plxnc1","mouseconsensus"
"Tnfsf13","Tnfrsf11b","mouseconsensus"
"Tnfsf13","Tnfrsf13b","mouseconsensus"
"Tnfsf13","Tnfrsf1a","mouseconsensus"
