dataset	sample	condition	config	cell_type	n_cells	total_target_counts	removed_cells
GSE174574	GSM5319987	Sham	primary	Astrocyte	365	1170918	
GSE174574	GSM5319987	Sham	primary	Endothelial	1486	3842028	
GSE174574	GSM5319987	Sham	primary	Pericyte	110	288589	
GSE174574	GSM5319987	Sham	strict_identity	Astrocyte	326	1065659	
GSE174574	GSM5319987	Sham	strict_identity	Endothelial	809	2145812	
GSE174574	GSM5319987	Sham	strict_identity	Pericyte	79	209945	
GSE174574	GSM5319987	Sham	mt10	Astrocyte	344	1104759	
GSE174574	GSM5319987	Sham	mt10	Endothelial	1478	3824574	
GSE174574	GSM5319987	Sham	mt10	Pericyte	107	279682	
GSE174574	GSM5319988	Sham	primary	Astrocyte	370	1195590	
GSE174574	GSM5319988	Sham	primary	Endothelial	1360	3735945	
GSE174574	GSM5319988	Sham	primary	Pericyte	115	310174	
GSE174574	GSM5319988	Sham	strict_identity	Astrocyte	331	1104081	
GSE174574	GSM5319988	Sham	strict_identity	Endothelial	729	2061538	
GSE174574	GSM5319988	Sham	strict_identity	Pericyte	89	240796	
GSE174574	GSM5319988	Sham	mt10	Astrocyte	349	1140851	
GSE174574	GSM5319988	Sham	mt10	Endothelial	1348	3706421	
GSE174574	GSM5319988	Sham	mt10	Pericyte	113	305977	
GSE174574	GSM5319989	Sham	primary	Astrocyte	463	1592073	
GSE174574	GSM5319989	Sham	primary	Endothelial	1667	4548588	
GSE174574	GSM5319989	Sham	primary	Pericyte	139	409552	
GSE174574	GSM5319989	Sham	strict_identity	Astrocyte	421	1497198	
GSE174574	GSM5319989	Sham	strict_identity	Endothelial	900	2564272	
GSE174574	GSM5319989	Sham	strict_identity	Pericyte	112	318229	
GSE174574	GSM5319989	Sham	mt10	Astrocyte	440	1534026	
GSE174574	GSM5319989	Sham	mt10	Endothelial	1658	4525225	
GSE174574	GSM5319989	Sham	mt10	Pericyte	137	405113	
GSE174574	GSM5319990	MCAO	primary	Astrocyte	784	2934723	
GSE174574	GSM5319990	MCAO	primary	Endothelial	1961	6005268	
GSE174574	GSM5319990	MCAO	primary	Pericyte	336	974456	
GSE174574	GSM5319990	MCAO	strict_identity	Astrocyte	713	2703934	
GSE174574	GSM5319990	MCAO	strict_identity	Endothelial	1215	3773395	
GSE174574	GSM5319990	MCAO	strict_identity	Pericyte	259	729382	
GSE174574	GSM5319990	MCAO	mt10	Astrocyte	753	2871712	
GSE174574	GSM5319990	MCAO	mt10	Endothelial	1957	5992198	
GSE174574	GSM5319990	MCAO	mt10	Pericyte	328	953455	
GSE174574	GSM5319991	MCAO	primary	Astrocyte	746	2788916	
GSE174574	GSM5319991	MCAO	primary	Endothelial	1843	5448774	
GSE174574	GSM5319991	MCAO	primary	Pericyte	308	832553	
GSE174574	GSM5319991	MCAO	strict_identity	Astrocyte	682	2561526	
GSE174574	GSM5319991	MCAO	strict_identity	Endothelial	1139	3405614	
GSE174574	GSM5319991	MCAO	strict_identity	Pericyte	245	660096	
GSE174574	GSM5319991	MCAO	mt10	Astrocyte	725	2750966	
GSE174574	GSM5319991	MCAO	mt10	Endothelial	1838	5438998	
GSE174574	GSM5319991	MCAO	mt10	Pericyte	302	821973	
GSE174574	GSM5319992	MCAO	primary	Astrocyte	514	2327745	
GSE174574	GSM5319992	MCAO	primary	Endothelial	1552	5550504	
GSE174574	GSM5319992	MCAO	primary	Pericyte	235	790868	
GSE174574	GSM5319992	MCAO	strict_identity	Astrocyte	467	2159021	
GSE174574	GSM5319992	MCAO	strict_identity	Endothelial	989	3572198	
GSE174574	GSM5319992	MCAO	strict_identity	Pericyte	194	642701	
GSE174574	GSM5319992	MCAO	mt10	Astrocyte	502	2300779	
GSE174574	GSM5319992	MCAO	mt10	Endothelial	1551	5545203	
GSE174574	GSM5319992	MCAO	mt10	Pericyte	232	782892	
GSE174574	GSM5319987	Sham	low_myeloid	Astrocyte	363	1160334	2.0
GSE174574	GSM5319987	Sham	low_myeloid	Endothelial	1486	3842028	0.0
GSE174574	GSM5319987	Sham	low_myeloid	Pericyte	109	284912	1.0
GSE174574	GSM5319988	Sham	low_myeloid	Astrocyte	366	1172892	4.0
GSE174574	GSM5319988	Sham	low_myeloid	Endothelial	1360	3735945	0.0
GSE174574	GSM5319988	Sham	low_myeloid	Pericyte	114	306329	1.0
GSE174574	GSM5319989	Sham	low_myeloid	Astrocyte	459	1565597	4.0
GSE174574	GSM5319989	Sham	low_myeloid	Endothelial	1667	4548588	0.0
GSE174574	GSM5319989	Sham	low_myeloid	Pericyte	137	400712	2.0
GSE174574	GSM5319990	MCAO	low_myeloid	Astrocyte	778	2901873	6.0
GSE174574	GSM5319990	MCAO	low_myeloid	Endothelial	1960	6000826	1.0
GSE174574	GSM5319990	MCAO	low_myeloid	Pericyte	328	940959	8.0
GSE174574	GSM5319991	MCAO	low_myeloid	Astrocyte	737	2728589	9.0
GSE174574	GSM5319991	MCAO	low_myeloid	Endothelial	1842	5440877	1.0
GSE174574	GSM5319991	MCAO	low_myeloid	Pericyte	304	812489	4.0
GSE174574	GSM5319992	MCAO	low_myeloid	Astrocyte	513	2325717	1.0
GSE174574	GSM5319992	MCAO	low_myeloid	Endothelial	1551	5542122	1.0
GSE174574	GSM5319992	MCAO	low_myeloid	Pericyte	233	781242	2.0
