dataset	sample	condition	selected_source	audit_relative_path	audit_sha256	contamination_sha256	n_cells	maxIter	last_iteration	last_max_change	converged	median_estimated_contamination	mean_estimated_contamination	raw_total	corrected_total	n_zero_corrected_total	data_dtype	fractional_values
GSE174574	GSM5319987	Sham	repro_decontx	repro_decontx/GSE174574/GSM5319987/audit.json	9ac2f3b6dec1ff0fd45cdb2286b79053484855e91188d4515b8dfa8d2dd05c01	0de4da08d4d1760eaf002efb2ed49d81acc4ae11a029f4f6694dd4cdca86e37a	8753	500	71	0.0009776	True	0.0540934551384838	0.08127677721895302	25344542	23022274.023906603	0	float64	True
GSE174574	GSM5319988	Sham	repro_decontx	repro_decontx/GSE174574/GSM5319988/audit.json	376e38252c728b0287d5381c922f4b3a0b8c93308a18589a348ff428b3735c27	d4b27df97559b2e268fb142fe718ff04c06e887419436b793ca77fc305fdd22c	8512	500	243	0.0009911	True	0.06237526874804755	0.08932747884059515	25082388	22621753.6271518	0	float64	True
GSE174574	GSM5319989	Sham	repro_decontx	repro_decontx/GSE174574/GSM5319989/audit.json	2f4b86a0b934b5efa3d7f05ec48b203cf4ac6b3e74c20d13c9b93f4a97bab283	ca8b0e4123b99ea4b7549adc7511e94482111919eec73d03f6786e38156377ea	9951	500	154	0.0009785	True	0.0678280321648568	0.09458108735549806	29703967	26585712.644649036	0	float64	True
GSE174574	GSM5319990	MCAO	repro_decontx	repro_decontx/GSE174574/GSM5319990/audit.json	8bcf8e8bec784cebc8704f38ae5d5035b8fe638cd2562c271b24df2773083e4f	039b3354c1b3b0fac9301c230ea819f2ea3ee7d0dc28b70023c64131cf6f5e68	11717	500	184	0.000985	True	0.0746676047189904	0.14377399209986766	42673777	36220875.24039942	0	float64	True
GSE174574	GSM5319991	MCAO	repro_decontx	repro_decontx/GSE174574/GSM5319991/audit.json	cd229f36111c3e62eaa4014551eaa4860cd1e65e30de5e91ccbdb3a3d7707f6a	6a2aa3a938c491846deb6bfa69d6f81564504229eec600188895280d55fe1f92	11320	500	141	0.0009877	True	0.07924580535472664	0.15013156107504114	40177883	33752547.65507721	0	float64	True
GSE174574	GSM5319992	MCAO	repro_decontx_maxiter2000	repro_decontx_maxiter2000/GSE174574/GSM5319992/audit.json	a8877f7abb57d6b3f55815aedb915605aece3e47528590e5d9fae4c722037f48	2b10e45d8c5ae1323f48dcaffd073fe40dd00810c5b769027f3e08004ecb916a	8080	2000	637	0.0009979	True	0.0613947998261188	0.12193122370562313	34493405	30041406.223684404	0	float64	True
GSE245386	GSM7841720	Sham	repro_decontx	repro_decontx/GSE245386/GSM7841720/audit.json	08aa5e00ace9a01ceeb3b608a724088d056bd49151c80ed1fd2a7d5088a7c33d	ae93b206fb877bc67e4a054997ebd8b29e19c65be2da48fa8204018a33dda72c	15206	500	68	0.0009548	True	0.08156461203244761	0.2345457307495409	97891982	86982868.1448667	0	float64	True
GSE245386	GSM7841721	Sham	repro_decontx	repro_decontx/GSE245386/GSM7841721/audit.json	d666507e580b5da812cbae1584f4e0faab3c9caa24f2d3f973c5dff25e797638	8ac365ec6f181ed95a23b4dd38d754a66be81d86d988a83bf978b6d6e113ee5f	10017	500	56	0.0009538	True	0.0443773706552335	0.09596687532182895	95984596	89175447.01403125	0	float64	True
GSE245386	GSM7841722	Sham	repro_decontx	repro_decontx/GSE245386/GSM7841722/audit.json	2d36134ed93544efae770d280900162ceca9804c5166128ccdc8743432039256	f603408c08ade24e53b9a7db06d2940087a7806a074188d7e98732955cc3d731	9625	500	53	0.0009974	True	0.0398405720365036	0.09157386533975229	91982205	86052238.27629483	0	float64	True
GSE245386	GSM7841723	MCAO	repro_decontx	repro_decontx/GSE245386/GSM7841723/audit.json	33f4a65d62a52694f568d5bc51369c7666ebdb9431b21f96994b70fe23e71ae7	f691b6f006c460fc980d3f50b6a925e884524648238558eb67d93a360153b79e	9852	500	77	0.0009716	True	0.05098416074443655	0.11671726408821452	107154665	98685973.66763082	0	float64	True
GSE245386	GSM7841724	MCAO	repro_decontx	repro_decontx/GSE245386/GSM7841724/audit.json	7e6d5145b7da210eb9442f162ac3e7d5f49926e9046f0a907fdafc36d38c65c3	be377464d825e293dc7dbe96a47849524c4ed82602a51484038c0a8ad29ba825	12322	500	55	0.0009651	True	0.060277479045506704	0.10582977797905913	116486186	106018984.57678199	0	float64	True
