dataset	sample	n_cells	mean_estimated_contamination	median_estimated_contamination	q25_estimated_contamination	q75_estimated_contamination	q95_estimated_contamination	raw_total	corrected_total	removed_total_fraction	decontX_version	elapsed_seconds	condition	last_logged_iteration	last_logged_max_divergence	convergence_threshold_reached	n_zero_corrected_total	fractional_values
GSE174574	GSM5319987	8753	0.081276777218953	0.0540934551384838	0.041619175675275	0.0724048030434508	0.2520618526240708	25344542	23022274.023906603	0.0916279322030516	1.10.0	150.9207739830017	Sham	71	0.0009776	True	0	True
GSE174574	GSM5319988	8512	0.0893274788405951	0.0623752687480475	0.0488692224572626	0.0822012943891389	0.2706142794385203	25082388	22621753.6271518	0.0981020775553029	1.10.0	169.760901927948	Sham	243	0.0009911	True	0	True
GSE174574	GSM5319989	9951	0.094581087355498	0.0678280321648568	0.0534774821166676	0.0883933697595733	0.2827525685021955	29703967	26585712.64464904	0.1049777073665266	1.10.0	178.6398801803589	Sham	154	0.0009785	True	0	True
GSE174574	GSM5319990	11717	0.1437739920998676	0.0746676047189904	0.0541330288238122	0.121779297260555	0.5980599959306382	42673777	36220875.24039942	0.1512146852996063	1.10.0	211.05410623550412	MCAO	184	0.000985	True	0	True
GSE174574	GSM5319991	11320	0.1501315610750411	0.0792458053547266	0.0587217215273453	0.127080950441913	0.626612933639262	40177883	33752547.65507721	0.159922197616106	1.10.0	191.8032670021057	MCAO	141	0.0009877	True	0	True
GSE174574	GSM5319992	8080	0.1230161095562085	0.0631552531951284	0.0447783116822438	0.1010110695659447	0.532802365827608	34493405	29984985.446875148	0.1307038128919093	1.10.0	217.9702479839325	MCAO	500	0.004584	False	0	True
GSE245386	GSM7841720	15206	0.2345457307495409	0.0815646120324476	0.0309055324217746	0.418398847984283	0.770429985675979	97891982	86982868.1448667	0.1114403205681676	1.10.0		Sham	68	0.0009548	True	0	True
GSE245386	GSM7841721	10017	0.0959668753218289	0.0443773706552335	0.0325144797848317	0.0742339749815405	0.4041548669024529	95984596	89175447.01403125	0.0709400181875928	1.10.0	331.6848421096802	Sham	56	0.0009538	True	0	True
GSE245386	GSM7841722	9625	0.0915738653397522	0.0398405720365036	0.0287893091555925	0.0713757679985662	0.4115421038685667	91982205	86052238.27629483	0.0644686298149209	1.10.0	357.3090629577637	Sham	53	0.0009974	True	0	True
GSE245386	GSM7841723	9852	0.1167172640882145	0.0509841607444365	0.0364595049330916	0.0875169448571004	0.5418748757733965	107154665	98685973.66763082	0.0790324092037353	1.10.0	170.76436495780945	MCAO	77	0.0009716	True	0	True
GSE245386	GSM7841724	12322	0.1058297779790591	0.0602774790455067	0.0458690646153249	0.094099195676511	0.3935136985135294	116486186	106018984.576782	0.0898578774243498	1.10.0	139.11691999435425	MCAO	55	0.0009651	True	0	True
