dataset	sample	condition	config	cell_type	gene	raw_detection	corrected_detection_gt0	corrected_detection_ge1	raw_mean_count	corrected_mean_estimated_count	raw_mean_logcp10k	corrected_mean_logcp10k
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Slc1a2	0.9727626459143937	0.9727626459143937	0.896887159533071	11.268482490272342	10.732203231029263	2.9878796027769265	3.0250652456190585
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Slc1a3	0.9474708171206194	0.9474708171206194	0.8560311284046664	9.686770428015537	9.235265846139198	2.8346579130313527	2.8543002798254906
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Aldh1l1	0.4591439688715939	0.4591439688715939	0.13035019455252894	0.6595330739299594	0.618341339502974	0.6318546676914618	0.6435675077079962
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Pecam1	0.15953307392996074	0.15953307392996074	0.027237354085603113	0.28404669260700355	0.14236287016862173	0.2331653925931518	0.15665716245646277
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Cdh5	0.10116731517509714	0.10116731517509714	0.011673151750972763	0.1420233463035019	0.06304419768759821	0.13152875571384864	0.08834419721824376
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Kdr	0.07587548638132291	0.07587548638132291	0.005836575875486381	0.11089494163424118	0.04660749213173286	0.10312443031193584	0.06813975326792523
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Ptprc	0.06809338521400776	0.06809338521400776	0.005836575875486381	0.07392996108949412	0.045739118237057654	0.08111727364176742	0.0702409141965546
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Tyrobp	0.43774319066147727	0.43774319066147727	0.07587548638132291	1.0252918287937725	0.3572220585266524	0.6931014681966823	0.4253573684661559
GSE174574	GSM5319992	MCAO	primary	Astrocyte	C1qa	0.7198443579766514	0.7198443579766514	0.2101167315175092	2.3035019455252876	0.891570270581708	1.2459302894467312	0.8285789023846145
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Lyz2	0.45330739299610756	0.45330739299610756	0.009727626459143969	0.7509727626459126	0.15031821446041274	0.6491981686282681	0.22277337985299306
