dataset	sample	condition	config	cell_type	n_cells	total_estimated_counts
GSE245386	GSM7841720	Sham	primary	Astrocyte	748	2915454.7423512302
GSE245386	GSM7841720	Sham	primary	Endothelial	1958	13831542.684736531
GSE245386	GSM7841720	Sham	reference_singlet	Astrocyte	404	2471251.4145748084
GSE245386	GSM7841720	Sham	reference_singlet	Endothelial	1712	13333227.298156016
GSE245386	GSM7841721	Sham	primary	Astrocyte	537	3711160.208286324
GSE245386	GSM7841721	Sham	primary	Endothelial	1860	14535885.063876484
GSE245386	GSM7841721	Sham	reference_singlet	Astrocyte	443	3392656.810349913
GSE245386	GSM7841721	Sham	reference_singlet	Endothelial	1765	14014528.447204871
GSE245386	GSM7841722	Sham	primary	Astrocyte	378	2528705.748205193
GSE245386	GSM7841722	Sham	primary	Endothelial	2238	19148831.74776686
GSE245386	GSM7841722	Sham	reference_singlet	Astrocyte	287	2268716.9050826253
GSE245386	GSM7841722	Sham	reference_singlet	Endothelial	2141	18856152.02315798
GSE245386	GSM7841723	MCAO	primary	Astrocyte	288	1954311.280797568
GSE245386	GSM7841723	MCAO	primary	Endothelial	1996	19329058.002896387
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	179	1599403.3341677135
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	1837	18840659.55667138
GSE245386	GSM7841724	MCAO	primary	Astrocyte	716	5200115.620808695
GSE245386	GSM7841724	MCAO	primary	Endothelial	2147	15272870.350092834
GSE245386	GSM7841724	MCAO	reference_singlet	Astrocyte	583	4636658.306470844
GSE245386	GSM7841724	MCAO	reference_singlet	Endothelial	1983	14675905.19840834
