Package	Version	LibPath
BH	1.90.0-1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
Biobase	2.72.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
BiocGenerics	0.58.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
BiocManager	1.30.27	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
BiocNeighbors	2.6.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
BiocParallel	1.46.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
BiocSingular	1.28.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
BiocVersion	3.23.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
ComplexHeatmap	2.28.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
DelayedArray	0.38.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
FNN	1.1.4.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
GenomicRanges	1.64.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
GetoptLong	1.1.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
GlobalOptions	0.1.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
IRanges	2.46.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
MCMCprecision	0.4.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
MatrixGenerics	1.24.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
QuickJSR	1.11.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
R6	2.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
RANN	2.6.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
RColorBrewer	1.1-3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
