dataset	sample	label_source	label	n_cells	mean_estimated_contamination	median_estimated_contamination	q25_estimated_contamination	q75_estimated_contamination	q95_estimated_contamination	raw_total	corrected_total	removed_total_fraction
GSE174574	GSM5319992	whole_brain_broad	ABC	12	0.12130954837601216	0.00238967993791435	0.00069794690164915	0.00682860226617425	0.6905941625884627	97826	87267.02187249232	0.10793631680236015
GSE174574	GSM5319992	whole_brain_broad	Astrocyte	564	0.2308229800419349	0.068752413517332	0.0334666974432086	0.30299768323055676	0.9936196847919789	2452417	1891308.030434105	0.22879835263166703
GSE174574	GSM5319992	whole_brain_broad	Astroependymal	7	0.14294446138010475	0.0007029263333218	0.0006030680936361501	0.00208034172222795	0.6967543526619551	26568	24424.500574095655	0.080679743522446
GSE174574	GSM5319992	whole_brain_broad	Choroid	515	0.09503560037988125	0.0523296623384666	0.0309155373390099	0.103191568324931	0.34027199435824085	3087495	2758976.3306185147	0.1064029802093559
GSE174574	GSM5319992	whole_brain_broad	Dendritic	760	0.1214745793874455	0.06182639255477135	0.03249482972618543	0.156692127552617	0.3966924778684439	5023446	4385211.720283065	0.12705108798162357
GSE174574	GSM5319992	whole_brain_broad	Endothelial	3381	0.11654417834756754	0.0637319137421972	0.0493358125919293	0.0888210406319196	0.530213442169867	11292255	9807557.370096682	0.131479286458136
GSE174574	GSM5319992	whole_brain_broad	Ependymal	36	0.05489697562346922	0.01325356387890325	0.003088250021674375	0.055166196142700324	0.20595272851183477	185502	176670.84896131314	0.04760676994688395
GSE174574	GSM5319992	whole_brain_broad	Fibroblast	77	0.20357346227704465	0.104926771833596	0.0557579820708041	0.195890852303375	0.7972360010673559	342381	272341.2694045643	0.20456663949061338
GSE174574	GSM5319992	whole_brain_broad	Hypendymal	2	0.0002608602142963	0.0002608602142963	0.00025398135219725	0.00026773907639534997	0.00027324216607459	10938	10935.13870899348	0.00026159179068574456
GSE174574	GSM5319992	whole_brain_broad	Lymphocyte	69	0.1382293853089036	0.0494019423499678	0.0095999516384439	0.11579822807578	0.7074852104796597	257759	224260.94929691133	0.12995880145053584
GSE174574	GSM5319992	whole_brain_broad	Macrophage	236	0.08170038483746413	0.03707420781660275	0.017960240948374374	0.07838166430221796	0.35441970833617326	1076570	980385.7159181818	0.0893432699051786
GSE174574	GSM5319992	whole_brain_broad	Microglia	1378	0.08745406773751012	0.0616146026445843	0.047016798335227324	0.08479069511025329	0.22573412186603029	6490673	5901532.440547878	0.09076725317268675
GSE174574	GSM5319992	whole_brain_broad	Monocytes	130	0.17272883318741802	0.08148028713242	0.010582112900689625	0.2539360391617563	0.6115247693440948	311226	252700.68246677623	0.18804764876078406
